"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.00251066703225734
2.005,-0.00251930559652104
2.01,-0.00252786976176178
2.015,-0.00253636120267779
2.02,-0.00254478158139429
2.025,-0.00255313254765815
2.03,-0.00256141573901229
2.035,-0.00256963278097104
2.04,-0.00257778528720616
2.045,-0.00258587485970964
2.05,-0.00259390308897009
2.055,-0.0026018715541346
2.06,-0.00260978182317836
2.065,-0.00261763545306078
2.07,-0.00262543398989028
2.075,-0.00263317896908232
2.08,-0.00264087191550496
2.085,-0.00264851434364169
2.09,-0.0026561077577312
2.095,-0.00266365365192349
2.1,-0.00267115351041964
2.105,-0.00267860880761444
2.11,-0.00268602100823615
2.115,-0.0026933915674949
2.12,-0.00270072193119936
2.125,-0.00270801353591381
2.13,-0.00271526780906997
2.135,-0.00272248616911156
2.14,-0.0027296700256129
2.145,-0.0027368207794032
2.15,-0.0027439398227141
2.155,-0.00275102853925864
2.16,-0.00275808830439716
2.165,-0.00276512048522202
2.17,-0.00277212644069458
2.175,-0.00277910752174829
2.18,-0.0027860650714121
2.185,-0.00279300042490689
2.19,-0.0027999149097746
2.195,-0.00280680984597084
2.2,-0.00281368654597282
2.205,-0.00282054631489604
2.21,-0.00282739045058971
2.215,-0.00283422024372838
2.22,-0.00284103697792857
2.225,-0.00284784192984421
2.23,-0.00285463636925156
2.235,-0.00286142155916387
2.24,-0.00286819875590953
2.245,-0.00287496920923136
2.25,-0.00288173416238114
2.255,-0.00288849485220347
2.26,-0.00289525250923031
2.265,-0.00290200835776385
2.27,-0.00290876361596529
2.275,-0.00291551949594452
2.28,-0.00292227720383046
2.285,-0.00292903793986565
2.29,-0.00293580289848433
2.295,-0.00294257326839439
2.3,-0.00294935023264398
2.305,-0.00295613496872079
2.31,-0.00296292864860902
2.315,-0.00296973243887903
2.32,-0.00297654750075003
2.325,-0.0029833749901673
2.33,-0.00299021605788318
2.335,-0.00299707184951299
2.34,-0.00300394350562481
2.345,-0.00301083216177802
2.35,-0.00301773894863422
2.355,-0.00302466499198046
2.36,-0.00303161141282272
2.365,-0.00303857932744775
2.37,-0.00304556984748088
2.375,-0.00305258407994879
2.38,-0.00305962312735182
2.385,-0.00306668808771324
2.39,-0.00307378005464769
2.395,-0.00308090011742203
2.4,-0.00308804936100547
2.405,-0.00309522886614005
2.41,-0.00310243970938597
2.415,-0.00310968296318818
2.42,-0.00311695969592272
2.425,-0.0031242709719604
2.43,-0.00313161785171698
2.435,-0.00313900139170242
2.44,-0.00314642264458069
2.445,-0.00315388265921613
2.45,-0.00316138248073036
2.455,-0.00316892315054673
2.46,-0.00317650570644145
2.465,-0.00318413118259957
2.47,-0.00319180060964496
2.475,-0.00319951501471651
2.48,-0.00320727542148363
2.485,-0.00321508285021572
2.49,-0.0032229383178218
2.495,-0.00323084283788718
2.5,-0.00323879742072945
2.505,-0.00324680307343425
2.51,-0.00325486079989965
2.515,-0.00326297160088829
2.52,-0.00327113647404869
2.525,-0.0032793564139799
2.53,-0.00328763241225855
2.535,-0.0032959654574804
2.54,-0.00330435653530478
2.545,-0.0033128066284845
2.55,-0.0033213167169219
2.555,-0.00332988777768143
2.56,-0.00333852078505528
2.565,-0.00334721671057603
2.57,-0.00335597652307065
2.575,-0.0033648011886867
2.58,-0.00337369167092704
2.585,-0.00338264893069525
2.59,-0.00339167392632177
2.595,-0.00340076761359576
2.6,-0.00340993094580568
2.605,-0.00341916487376831
2.61,-0.00342847034585969
2.615,-0.00343784830805954
2.62,-0.00344729970395906
2.625,-0.00345682547482078
2.63,-0.00346642655958448
2.635,-0.00347610389491443
2.64,-0.00348585841522562
2.645,-0.00349569105270207
2.65,-0.00350560273734806
2.655,-0.00351559439699401
2.66,-0.00352566695734091
2.665,-0.0035358213419816
2.67,-0.00354605847243177
2.675,-0.00355637926814831
2.68,-0.00356678464657281
2.685,-0.00357727552314323
2.69,-0.00358785281132583
2.695,-0.00359851742263834
2.7,-0.0036092702666858
2.705,-0.00362011225116735
2.71,-0.00363104428192167
2.715,-0.0036420672629319
2.72,-0.00365318209636813
2.725,-0.00366438968259428
2.73,-0.00367569092020385
2.735,-0.00368708670604221
2.74,-0.00369857793521343
2.745,-0.00371016550113248
2.75,-0.00372185029551852
2.755,-0.00373363320843267
2.76,-0.0037455151282993
2.765,-0.00375749694191959
2.77,-0.00376957953449483
2.775,-0.00378176378965641
2.78,-0.00379405058947839
2.785,-0.00380644081448831
2.79,-0.0038189353437135
2.795,-0.00383153505467253
2.8,-0.0038442408234139
2.805,-0.00385705352452096
2.81,-0.00386997403114863
2.815,-0.0038830032150226
2.82,-0.00389614194647023
2.825,-0.00390939109443709
2.83,-0.00392275152649574
2.835,-0.00393622410887958
2.84,-0.00394980970648684
2.845,-0.00396350918289897
2.85,-0.0039773234004078
2.855,-0.0039912532200185
2.86,-0.00400529950147961
2.865,-0.00401946310328413
2.87,-0.00403374488270622
2.875,-0.00404814569578983
2.88,-0.00406266639738826
2.885,-0.00407730784117688
2.89,-0.00409207087964259
2.895,-0.00410695636413605
2.9,-0.00412196514486502
2.905,-0.00413709807090508
2.91,-0.00415235599023064
2.915,-0.00416773974971309
2.92,-0.00418325019514698
2.925,-0.0041988881712569
2.93,-0.00421465452171202
2.935,-0.00423055008913687
2.94,-0.00424657571513651
2.945,-0.00426273224029473
2.95,-0.00427902050419441
2.955,-0.00429544134543021
2.96,-0.00431199560161732
2.965,-0.00432868410941384
2.97,-0.00434550770451409
2.975,-0.00436246722168445
2.98,-0.00437956349475383
2.985,-0.00439679735663887
2.99,-0.00441416963935373
2.995,-0.00443168117401115
3,-0.0044493327908448
