"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0291144070511676
2.005,-0.0296105780745667
2.01,-0.0301391194998018
2.015,-0.0307041443214564
2.02,-0.0313104622738015
2.025,-0.031963725559035
2.03,-0.0326706113343954
2.035,-0.0334390519212629
2.04,-0.0342785275104519
2.045,-0.0352004414761226
2.05,-0.0362186059753359
2.055,-0.0373498763643889
2.06,-0.0386149887458062
2.065,-0.0400396782416706
2.07,-0.0416561904682788
2.075,-0.0435053518237192
2.08,-0.045639446632989
2.085,-0.0481262796277502
2.09,-0.0510550131139228
2.095,-0.05454471725051
2.1,-0.058757164857178
2.105,-0.0639164387119529
2.11,-0.0703397892561751
2.115,-0.07848767413215
2.12,-0.0890476957743996
2.125,-0.103080908266488
2.13,-0.122288197114443
2.135,-0.149519788878429
2.14,-0.18980472693842
2.145,-0.252554535178966
2.15,-0.356520671716179
2.155,-0.540927817569871
2.16,-0.884102261902628
2.165,-1.46153442396357
2.17,-1.88704975184435
2.175,-1.47876748148904
2.18,-0.901689532952184
2.185,-0.555492439454621
2.19,-0.368774711767816
2.195,-0.263317481834347
2.2,-0.199628088519431
2.205,-0.15876056720338
2.21,-0.131183874852585
2.215,-0.111795458574202
2.22,-0.0976984058920689
2.225,-0.0871610774422692
2.23,-0.0791014535946202
2.235,-0.0728171964892063
2.24,-0.0678372115463903
2.245,-0.0638363889234344
2.25,-0.0605847191858633
2.255,-0.0579158796502137
2.26,-0.0557072516807504
2.265,-0.0538668664700362
2.27,-0.0523246717466327
2.275,-0.0510265630599345
2.28,-0.04993022513787
2.285,-0.0490021833632251
2.29,-0.0482156797618274
2.295,-0.0475491205745622
2.3,-0.0469849264004094
2.305,-0.0465086700297159
2.31,-0.0461084226462805
2.315,-0.0457742528298869
2.32,-0.0454978389054021
2.325,-0.0452721662746984
2.33,-0.0450912891027824
2.335,-0.0449501411920299
2.34,-0.0448443847810487
2.345,-0.0447702888235382
2.35,-0.0447246303592077
2.355,-0.0447046141041074
2.36,-0.0447078065140793
2.365,-0.0447320814194892
2.37,-0.0447755749677831
2.375,-0.0448366480962875
2.38,-0.0449138551307137
2.385,-0.0450059173926627
2.39,-0.0451117009233183
2.395,-0.0452301976056542
2.4,-0.0453605091051426
2.405,-0.0455018331580862
2.41,-0.0456534518232985
2.415,-0.045814721382228
2.42,-0.0459850636283533
2.425,-0.0461639583315876
2.43,-0.0463509366999977
2.435,-0.046545575690656
2.44,-0.0467474930459762
2.445,-0.0469563429516036
2.45,-0.047171812228491
2.455,-0.0473936169853334
2.46,-0.047621499668835
2.465,-0.04785522645871
2.47,-0.0480945849620684
2.475,-0.0483393821685888
2.48,-0.048589442633259
2.485,-0.0488446068582443
2.49,-0.0491047298493429
2.495,-0.0493696798258238
2.5,-0.0496393370654093
2.505,-0.0499135928683536
2.51,-0.0501923486269717
2.515,-0.0504755149884384
2.52,-0.0507630111004228
2.525,-0.0510547639303327
2.53,-0.0513507076501265
2.535,-0.0516507830795908
2.54,-0.0519549371818945
2.545,-0.0522631226058912
2.55,-0.0525752972703312
2.555,-0.0528914239857461
2.56,-0.053211470110119
2.565,-0.0535354072350589
2.57,-0.0538632108994391
2.575,-0.0541948603278455
2.58,-0.0545303381914463
2.585,-0.0548696303891933
2.59,-0.0552127258474365
2.595,-0.0555596163362477
2.6,-0.0559102963009766
2.605,-0.0562647627076052
2.61,-0.0566230149007454
2.615,-0.0569850544731289
2.62,-0.0573508851456218
2.625,-0.0577205126568449
2.63,-0.0580939446616239
2.635,-0.0584711906374995
2.64,-0.0588522617986706
2.645,-0.0592371710167584
2.65,-0.0596259327478245
2.655,-0.0600185629652077
2.66,-0.0604150790976785
2.665,-0.0608154999725259
2.67,-0.0612198457632033
2.675,-0.0616281379412174
2.68,-0.0620403992319009
2.685,-0.062456653573873
2.69,-0.0628769260818223
2.695,-0.0633012430124923
2.7,-0.0637296317335734
2.705,-0.0641621206953514
2.71,-0.0645987394049066
2.715,-0.0650395184027329
2.72,-0.0654844892415929
2.725,-0.0659336844674901
2.73,-0.0663871376026437
2.735,-0.0668448831303149
2.74,-0.0673069564814418
2.745,-0.0677733940228981
2.75,-0.0682442330473923
2.755,-0.06871951176481
2.76,-0.0691992692950514
2.765,-0.0696835456621773
2.77,-0.0701723817898884
2.775,-0.0706658194982265
2.78,-0.0711639015014856
2.785,-0.0716666714072436
2.79,-0.0721741737165183
2.795,-0.0726864538249529
2.8,-0.0732035580250527
2.805,-0.073725533509405
2.81,-0.0742524283748411
2.815,-0.0747842916275465
2.82,-0.0753211731890879
2.825,-0.0758631239033079
2.83,-0.0764101955440939
2.835,-0.0769624408240067
2.84,-0.0775199134037159
2.845,-0.0780826679023005
2.85,-0.078650759908286
2.855,-0.0792242459915664
2.86,-0.079803183716039
2.865,-0.0803876316530538
2.87,-0.0809776493956509
2.875,-0.0815732975735302
2.88,-0.082174637868824
2.885,-0.0827817330326003
2.89,-0.0833946469021771
2.895,-0.0840134444191236
2.9,-0.0846381916481111
2.905,-0.0852689557964647
2.91,-0.0859058052345098
2.915,-0.0865488095166854
2.92,-0.087198039403429
2.925,-0.0878535668838412
2.93,-0.0885154651991512
2.935,-0.0891838088669461
2.94,-0.089858673706223
2.945,-0.0905401368632501
2.95,-0.0912282768382281
2.955,-0.0919231735127817
2.96,-0.0926249081783011
2.965,-0.0933335635651103
2.97,-0.0940492238725071
2.975,-0.0947719747996671
2.98,-0.095501903577419
2.985,-0.0962390990009404
2.99,-0.0969836514633281
2.995,-0.097735652990118
3,-0.0984951972747184
