"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0330225699911574
2.005,-0.0334242807697244
2.01,-0.0338303440258681
2.015,-0.0342407884159194
2.02,-0.0346556436760995
2.025,-0.0350749406360726
2.03,-0.0354987112328933
2.035,-0.0359269885253401
2.04,-0.0363598067086458
2.045,-0.0367972011295868
2.05,-0.0372392083020418
2.055,-0.037685865922907
2.06,-0.0381372128884676
2.065,-0.0385932893111917
2.07,-0.0390541365369548
2.075,-0.0395197971627307
2.08,-0.0399903150547207
2.085,-0.0404657353669634
2.09,-0.0409461045604259
2.095,-0.0414314704225652
2.1,-0.0419218820874094
2.105,-0.0424173900561305
2.11,-0.0429180462181553
2.115,-0.0434239038727915
2.12,-0.0439350177514196
2.125,-0.0444514440402106
2.13,-0.0449732404034543
2.135,-0.045500466007431
2.14,-0.0460331815449137
2.145,-0.0465714492602575
2.15,-0.047115332975121
2.155,-0.0476648981148428
2.16,-0.0482202117354449
2.165,-0.0487813425513443
2.17,-0.0493483609637127
2.175,-0.0499213390895786
2.18,-0.0505003507916299
2.185,-0.0510854717087681
2.19,-0.0516767792874011
2.195,-0.0522743528135628
2.2,-0.052878273445772
2.205,-0.0534886242487509
2.21,-0.0541054902279796
2.215,-0.054728958365083
2.22,-0.0553591176541518
2.225,-0.0559960591389246
2.23,-0.0566398759509338
2.235,-0.0572906633485945
2.24,-0.0579485187572713
2.245,-0.0586135418103692
2.25,-0.0592858343914523
2.255,-0.0599655006774215
2.26,-0.0606526471827925
2.265,-0.0613473828050996
2.27,-0.0620498188714508
2.275,-0.0627600691862558
2.28,-0.0634782500802082
2.285,-0.0642044804604848
2.29,-0.0649388818622505
2.295,-0.0656815785014949
2.3,-0.0664326973292141
2.305,-0.0671923680870184
2.31,-0.0679607233641654
2.315,-0.0687378986560758
2.32,-0.0695240324243909
2.325,-0.0703192661585919
2.33,-0.0711237444392384
2.335,-0.0719376150028769
2.34,-0.0727610288086533
2.345,-0.0735941401067045
2.35,-0.074437106508359
2.355,-0.0752900890582114
2.36,-0.0761532523081345
2.365,-0.0770267643932627
2.37,-0.0779107971100356
2.375,-0.0788055259963454
2.38,-0.0797111304138687
2.385,-0.0806277936326213
2.39,-0.0815557029178388
2.395,-0.082495049619235
2.4,-0.0834460292627142
2.405,-0.0844088416446225
2.41,-0.0853836909285961
2.415,-0.0863707857451314
2.42,-0.0873703392939086
2.425,-0.0883825694489961
2.43,-0.0894076988670099
2.435,-0.0904459550983411
2.44,-0.0914975707015186
2.445,-0.0925627833608381
2.45,-0.093641836007337
2.455,-0.0947349769432707
2.46,-0.0958424599701316
2.465,-0.0969645445204007
2.47,-0.0981014957931008
2.475,-0.0992535848933199
2.48,-0.100421088975785
2.485,-0.101604291392691
2.49,-0.10280348184586
2.495,-0.104018956543393
2.5,-0.10525101836102
2.505,-0.106499977008225
2.51,-0.107766149199372
2.515,-0.109049858829948
2.52,-0.110351437158166
2.525,-0.111671222992056
2.53,-0.113009562882248
2.535,-0.114366811320643
2.54,-0.115743330945209
2.545,-0.117139492751076
2.55,-0.118555676308123
2.555,-0.119992269985412
2.56,-0.12144967118253
2.565,-0.122928286568253
2.57,-0.124428532326668
2.575,-0.125950834411091
2.58,-0.127495628806036
2.585,-0.129063361797527
2.59,-0.130654490252037
2.595,-0.132269481904405
2.6,-0.133908815655019
2.605,-0.13557298187663
2.61,-0.137262482731115
2.615,-0.138977832496621
2.62,-0.140719557905372
2.625,-0.142488198492645
2.63,-0.14428430695723
2.635,-0.146108449533877
2.64,-0.147961206378141
2.645,-0.149843171964076
2.65,-0.151754955495322
2.655,-0.153697181330001
2.66,-0.155670489420048
2.665,-0.157675535765433
2.67,-0.159712992883893
2.675,-0.161783550296771
2.68,-0.163887915031549
2.685,-0.166026812141745
2.69,-0.168200985244837
2.695,-0.1704111970789
2.7,-0.172658230078707
2.705,-0.174942886972062
2.71,-0.177265991397088
2.715,-0.179628388541398
2.72,-0.182030945803923
2.725,-0.184474553480351
2.73,-0.186960125473067
2.735,-0.189488600026608
2.74,-0.192060940489632
2.745,-0.194678136104468
2.75,-0.197341202825335
2.755,-0.200051184166426
2.76,-0.202809152081023
2.765,-0.205616207872912
2.77,-0.208473483141426
2.775,-0.211382140761475
2.78,-0.214343375899956
2.785,-0.217358417070121
2.79,-0.220428527225369
2.795,-0.22355500489414
2.8,-0.226739185357586
2.805,-0.229982441871816
2.81,-0.233286186936528
2.815,-0.23665187361198
2.82,-0.240080996886326
2.825,-0.243575095095407
2.83,-0.247135751397186
2.835,-0.250764595303158
2.84,-0.254463304269102
2.845,-0.258233605347678
2.85,-0.262077276905524
2.855,-0.265996150407548
2.86,-0.269992112271254
2.865,-0.274067105794154
2.87,-0.278223133157286
2.875,-0.28246225750817
2.88,-0.286786605126555
2.885,-0.291198367676494
2.89,-0.295699804548511
2.895,-0.300293245295647
2.9,-0.304981092167504
2.905,-0.309765822746445
2.91,-0.31464999269039
2.915,-0.319636238586827
2.92,-0.324727280922767
2.925,-0.329925927175759
2.93,-0.33523507503111
2.935,-0.340657715730858
2.94,-0.346196937560104
2.945,-0.351855929476772
2.95,-0.35763798489089
2.955,-0.363546505599958
2.96,-0.369585005887117
2.965,-0.375757116789164
2.97,-0.38206659054179
2.975,-0.388517305209651
2.98,-0.395113269509291
2.985,-0.401858627833198
2.99,-0.40875766548367
2.995,-0.415814814125486
3,-0.423034657466766
