"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0210729827703073
2.005,-0.0213497904483517
2.01,-0.0216353891778306
2.015,-0.0219300835379247
2.02,-0.0222341941586944
2.025,-0.0225480586917129
2.03,-0.0228720328502171
2.035,-0.0232064915245244
2.04,-0.0235518299789396
2.045,-0.0239084651369813
2.05,-0.0242768369624388
2.055,-0.0246574099444285
2.06,-0.025050674695488
2.065,-0.0254571496725572
2.07,-0.0258773830317364
2.075,-0.0263119546287672
2.08,-0.0267614781783998
2.085,-0.0272266035871508
2.09,-0.0277080194755064
2.095,-0.0282064559072254
2.1,-0.0287226873453521
2.105,-0.029257535856603
2.11,-0.029811874588146
2.115,-0.0303866315434598
2.12,-0.0309827936868875
2.125,-0.0316014114098772
2.13,-0.0322436033955799
2.135,-0.0329105619228292
2.14,-0.0336035586551861
2.145,-0.0343239509662315
2.15,-0.0350731888583728
2.155,-0.0358528225394137
2.16,-0.0366645107290037
2.165,-0.0375100297761277
2.17,-0.038391283678992
2.175,-0.0393103151104527
2.18,-0.0402693175654343
2.185,-0.0412706487622436
2.19,-0.0423168454472485
2.195,-0.0434106397727
2.2,-0.0445549774408695
2.205,-0.0457530378346613
2.21,-0.0470082563861269
2.215,-0.0483243494705192
2.22,-0.049705342155756
2.225,-0.0511555991860803
2.23,-0.0526798596361564
2.235,-0.0542832757388167
2.24,-0.0559714564684119
2.245,-0.0577505165541721
2.25,-0.0596271317072761
2.255,-0.0616086009741871
2.26,-0.0637029172819926
2.265,-0.0659188474233181
2.27,-0.0682660229454597
2.275,-0.0707550436679354
2.28,-0.0733975958642648
2.285,-0.0762065875188156
2.29,-0.079196303522857
2.295,-0.0823825842233156
2.3,-0.0857830314064144
2.305,-0.0894172466148786
2.31,-0.0933071076989459
2.315,-0.0974770907342499
2.32,-0.101954645964283
2.325,-0.106770638318492
2.33,-0.111959865419449
2.335,-0.117561668953894
2.34,-0.123620659013735
2.345,-0.130187575738057
2.35,-0.137320318604106
2.355,-0.145085181419551
2.36,-0.153558340992691
2.365,-0.162827660320167
2.37,-0.172994883911163
2.375,-0.18417832490462
2.38,-0.196516172784681
2.385,-0.210170589342112
2.39,-0.225332812694508
2.395,-0.242229559810708
2.4,-0.261131114448467
2.405,-0.282361620349921
2.41,-0.306312284483139
2.415,-0.333458454994227
2.42,-0.364381907550868
2.425,-0.399800203550233
2.43,-0.440605753127854
2.435,-0.487918347108987
2.44,-0.543156606351296
2.445,-0.608136338426112
2.45,-0.685207680385889
2.455,-0.777448944174141
2.46,-0.888944600199019
2.465,-1.0251900865041
2.47,-1.19369099800288
2.475,-1.40486555322485
2.48,-1.67342960584144
2.485,-2.0205670667397
2.49,-2.4774161277335
2.495,-3.09085324491344
2.5,-3.93356618415645
2.505,-5.12307919457655
2.51,-6.86310828381368
2.515,-9.55711466773735
2.52,-14.2666745284992
2.525,-27.4606739238498
2.53,-19.0709315158002
2.535,-11.8213485155951
2.54,-8.28106168660058
2.545,-6.11362674019238
2.55,-4.66970726043936
2.555,-3.66203104204696
2.56,-2.9357190973119
2.565,-2.39855325557087
2.57,-1.99244093231862
2.575,-1.67940307572712
2.58,-1.43390250188425
2.585,-1.23836027691364
2.59,-1.08042264985068
2.595,-0.951243689659521
2.6,-0.844379540120246
2.605,-0.755061326354827
2.61,-0.679707885785864
2.615,-0.615593458668236
2.62,-0.560617339472012
2.625,-0.513141756992833
2.63,-0.471876136752803
2.635,-0.435793365327469
2.64,-0.404068445049918
2.645,-0.376033021599463
2.65,-0.351141304349385
2.655,-0.328944259849423
2.66,-0.309069879494269
2.665,-0.291207953388518
2.67,-0.275098220046378
2.675,-0.260521068576993
2.68,-0.247290187729248
2.685,-0.235246712166031
2.69,-0.224254529203712
2.695,-0.21419649167345
2.7,-0.204971343282529
2.705,-0.196491207965728
2.71,-0.188679528500304
2.715,-0.18146936515146
2.72,-0.174801984492105
2.725,-0.168625683371489
2.73,-0.162894804432972
2.735,-0.15756890843993
2.74,-0.152612075578089
2.745,-0.147992313323229
2.75,-0.143681052738891
2.755,-0.139652718459597
2.76,-0.13588436031764
2.765,-0.132355336736049
2.77,-0.129047041752142
2.775,-0.125942668943814
2.78,-0.123027006673612
2.785,-0.120286259997183
2.79,-0.11770789534506
2.795,-0.115280504713131
2.8,-0.112993686613548
2.805,-0.110837941465367
2.81,-0.108804579458945
2.815,-0.106885639224006
2.82,-0.105073815878357
2.825,-0.103362397241475
2.83,-0.101745207171487
2.835,-0.100216555131022
2.84,-0.0987711912117942
2.845,-0.0974042659530747
2.85,-0.0961112943790427
2.855,-0.0948881237562675
2.86,-0.0937309046379867
2.865,-0.0926360648177613
2.87,-0.0916002858631905
2.875,-0.090620481941561
2.88,-0.0896937806852257
2.885,-0.0888175058750747
2.89,-0.0879891617473245
2.895,-0.0872064187519978
2.9,-0.0864671006115246
2.905,-0.0857691725456186
2.91,-0.0851107305437521
2.915,-0.0844899915800303
2.92,-0.0839052846770324
2.925,-0.0833550427354261
2.93,-0.082837795055244
2.935,-0.0823521604827207
2.94,-0.0818968411235613
2.945,-0.0814706165697666
2.95,-0.0810723385926418
2.955,-0.0807009262593822
2.96,-0.0803553614351666
2.965,-0.0800346846362317
2.97,-0.0797379912030769
2.975,-0.0794644277658482
2.98,-0.079213188976671
2.985,-0.0789835144861828
2.99,-0.0787746861436463
2.995,-0.0785860254019185
3,-0.078416890910415
