"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0343651004559468
2.005,-0.034694387700416
2.01,-0.0350253386914974
2.015,-0.0353579686667674
2.02,-0.0356922932169822
2.025,-0.0360283282904173
2.03,-0.0363660901973405
2.035,-0.0367055956145207
2.04,-0.0370468615898604
2.045,-0.0373899055471213
2.05,-0.0377347452907196
2.055,-0.038081399010641
2.06,-0.0384298852874538
2.065,-0.0387802230973899
2.07,-0.0391324318175711
2.075,-0.0394865312313105
2.08,-0.039842541533526
2.085,-0.0402004833362673
2.09,-0.0405603776743336
2.095,-0.0409222460110424
2.1,-0.0412861102440624
2.105,-0.0416519927113989
2.11,-0.0420199161975017
2.115,-0.0423899039394531
2.12,-0.0427619796333314
2.125,-0.0431361674406748
2.13,-0.0435124919950622
2.135,-0.0438909784088685
2.14,-0.0442716522801108
2.145,-0.0446545396994635
2.15,-0.0450396672574003
2.155,-0.0454270620514862
2.16,-0.0458167516938187
2.165,-0.0462087643186196
2.17,-0.046603128589985
2.175,-0.0469998737097813
2.18,-0.0473990294257316
2.185,-0.0478006260396365
2.19,-0.0482046944157965
2.195,-0.0486112659895707
2.2,-0.0490203727761694
2.205,-0.0494320473795733
2.21,-0.0498463230016856
2.215,-0.0502632334516432
2.22,-0.050682813155358
2.225,-0.0511050971652301
2.23,-0.0515301211700949
2.235,-0.0519579215053661
2.24,-0.0523885351634099
2.245,-0.0528219998041321
2.25,-0.0532583537658118
2.255,-0.0536976360761626
2.26,-0.0541398864636263
2.265,-0.0545851453689435
2.27,-0.0550334539569554
2.275,-0.0554848541286861
2.28,-0.0559393885336814
2.285,-0.0563971005826443
2.29,-0.0568580344603415
2.295,-0.0573222351388037
2.3,-0.0577897483908463
2.305,-0.058260620803879
2.31,-0.0587348997940494
2.315,-0.0592126336207098
2.32,-0.0596938714012366
2.325,-0.0601786631261589
2.33,-0.0606670596747131
2.335,-0.0611591128306908
2.34,-0.0616548752987314
2.345,-0.062154400720964
2.35,-0.0626577436940716
2.355,-0.0631649597867789
2.36,-0.0636761055577399
2.365,-0.0641912385738958
2.37,-0.0647104174292711
2.375,-0.0652337017642555
2.38,-0.065761152285351
2.385,-0.0662928307854196
2.39,-0.0668288001644678
2.395,-0.0673691244509381
2.4,-0.0679138688235515
2.405,-0.0684630996337358
2.41,-0.0690168844286052
2.415,-0.0695752919745741
2.42,-0.0701383922815729
2.425,-0.0707062566279185
2.43,-0.0712789575858325
2.435,-0.0718565690476693
2.44,-0.0724391662528291
2.445,-0.0730268258154212
2.45,-0.0736196257526751
2.455,-0.0742176455141333
2.46,-0.0748209660116606
2.465,-0.0754296696502961
2.47,-0.0760438403599434
2.475,-0.0766635636279914
2.48,-0.0772889265328473
2.485,-0.0779200177784153
2.49,-0.0785569277296027
2.495,-0.0791997484488172
2.5,-0.0798485737335575
2.505,-0.0805034991550978
2.51,-0.0811646220983126
2.515,-0.0818320418026831
2.52,-0.0825058594045323
2.525,-0.0831861779805594
2.53,-0.0838731025926407
2.535,-0.0845667403340362
2.54,-0.0852672003770111
2.545,-0.0859745940219118
2.55,-0.0866890347477858
2.555,-0.0874106382645619
2.56,-0.0881395225669052
2.565,-0.0888758079897452
2.57,-0.0896196172655974
2.575,-0.0903710755837132
2.58,-0.0911303106511423
2.585,-0.091897452755779
2.59,-0.0926726348314561
2.595,-0.0934559925252077
2.6,-0.0942476642667375
2.605,-0.0950477913401838
2.61,-0.0958565179583462
2.615,-0.0966739913393386
2.62,-0.0975003617859128
2.625,-0.0983357827674315
2.63,-0.099180411004696
2.635,-0.100034406557693
2.64,-0.100897932916368
2.645,-0.10177115709461
2.65,-0.10265424972751
2.655,-0.103547385172083
2.66,-0.104450741611567
2.665,-0.105364501163443
2.67,-0.106288849991372
2.675,-0.107223978421161
2.68,-0.108170081060991
2.685,-0.109127356926006
2.69,-0.110096009567533
2.695,-0.111076247207079
2.7,-0.11206828287533
2.705,-0.113072334556362
2.71,-0.114088625337301
2.715,-0.115117383563638
2.72,-0.116158843000515
2.725,-0.117213243000155
2.73,-0.118280828675781
2.735,-0.119361851082271
2.74,-0.120456567403873
2.745,-0.121565241149283
2.75,-0.122688142354405
2.755,-0.123825547793175
2.76,-0.124977741196775
2.765,-0.126145013481664
2.77,-0.127327662986756
2.775,-0.128525995720261
2.78,-0.129740325616537
2.785,-0.130970974803493
2.79,-0.132218273880983
2.795,-0.133482562210726
2.8,-0.134764188218276
2.805,-0.136063509707617
2.81,-0.137380894188985
2.815,-0.138716719220504
2.82,-0.140071372764351
2.825,-0.141445253558059
2.83,-0.14283877150179
2.835,-0.144252348062198
2.84,-0.145686416693843
2.845,-0.147141423278842
2.85,-0.14861782658576
2.855,-0.150116098748587
2.86,-0.151636725766851
2.865,-0.153180208027817
2.87,-0.154747060851908
2.875,-0.156337815062481
2.88,-0.157953017581084
2.885,-0.159593232049563
2.89,-0.16125903948024
2.895,-0.162951038935564
2.9,-0.164669848238771
2.905,-0.166416104716958
2.91,-0.168190465978304
2.915,-0.169993610725036
2.92,-0.171826239603997
2.925,-0.173689076096599
2.93,-0.175582867450199
2.935,-0.177508385652938
2.94,-0.179466428454163
2.945,-0.181457820432758
2.95,-0.183483414115755
2.955,-0.185544091149701
2.96,-0.187640763527415
2.965,-0.18977437487289
2.97,-0.191945901787217
2.975,-0.194156355258511
2.98,-0.196406782139048
2.985,-0.19869826669286
2.99,-0.201031932217243
2.995,-0.203408942741799
3,-0.205830504808717
