"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0210589433496366
2.005,-0.0212111223749687
2.01,-0.0213647107764962
2.015,-0.0215197644466461
2.02,-0.0216763435705663
2.025,-0.021834513066359
2.03,-0.0219943430789957
2.035,-0.0221559095354046
2.04,-0.0223192947695431
2.045,-0.0224845882276212
2.05,-0.0226518872653881
2.055,-0.0228212980513893
2.06,-0.0229929365924895
2.065,-0.0231669299008216
2.07,-0.0233434173247967
2.075,-0.0235225520708378
2.08,-0.0237045029475902
2.085,-0.0238894563702959
2.09,-0.0240776186703851
2.095,-0.024269218764227
2.1,-0.0244645112459523
2.105,-0.0246637799826266
2.11,-0.0248673423066902
2.115,-0.0250755539211059
2.12,-0.0252888146582784
2.125,-0.0255075752658651
2.13,-0.0257323454329453
2.135,-0.0259637033210479
2.14,-0.0262023069293742
2.145,-0.0264489077066847
2.15,-0.026704366929016
2.155,-0.026969675500966
2.16,-0.027245978018612
2.165,-0.0275346021693334
2.17,-0.0278370948573581
2.175,-0.0281552668622936
2.18,-0.0284912484004787
2.185,-0.0288475587224249
2.19,-0.0292271939252292
2.195,-0.0296337386052913
2.2,-0.0300715089990987
2.205,-0.0305457381197384
2.21,-0.0310628174903174
2.215,-0.0316306160113159
2.22,-0.0322589052269677
2.225,-0.0329599332834665
2.23,-0.0337492096344998
2.235,-0.0346465930576981
2.24,-0.0356778235438469
2.245,-0.0368767157075739
2.25,-0.0382883579848037
2.255,-0.0399738750134517
2.26,-0.0420176791092855
2.265,-0.0445387929300341
2.27,-0.0477090320124664
2.275,-0.0517831337779372
2.28,-0.0571504649692029
2.285,-0.0644272978225008
2.29,-0.0746287007453344
2.295,-0.0895035641897113
2.3,-0.112216006074959
2.305,-0.148764130040257
2.31,-0.210770884850019
2.315,-0.318746973293211
2.32,-0.487828996494679
2.325,-0.629909458820924
2.33,-0.561286289432395
2.335,-0.387736984605597
2.34,-0.2591121985129
2.345,-0.182882004344441
2.35,-0.137919123156267
2.355,-0.110172240335113
2.36,-0.0921638216679267
2.365,-0.0799386422459059
2.37,-0.0713199245006988
2.375,-0.0650510663077813
2.38,-0.0603727601817169
2.385,-0.0568069852812044
2.39,-0.0540417501362893
2.395,-0.0518668947532609
2.4,-0.0501368830203756
2.405,-0.0487484490816689
2.41,-0.0476267278315122
2.415,-0.0467163975218908
2.42,-0.0459758749808414
2.425,-0.0453734218827851
2.43,-0.044884477545871
2.435,-0.0444897968710184
2.44,-0.0441741277495499
2.445,-0.043925256746946
2.45,-0.0437333105284107
2.455,-0.0435902376855918
2.46,-0.0434894196682759
2.465,-0.0434253753494925
2.47,-0.0433935343404194
2.475,-0.0433900613652085
2.48,-0.0434117189631779
2.485,-0.043455759247829
2.49,-0.043519837899595
2.495,-0.0436019453198541
2.5,-0.0437003511392798
2.505,-0.0438135591980696
2.51,-0.0439402707971449
2.515,-0.0440793545266151
2.52,-0.0442298213583708
2.525,-0.0443908039775236
2.53,-0.0445615395468539
2.535,-0.0447413552668688
2.54,-0.0449296562243033
2.545,-0.0451259151231406
2.55,-0.0453296635716162
2.555,-0.0455404846610187
2.56,-0.0457580066216453
2.565,-0.0459818973805721
2.57,-0.0462118598774109
2.575,-0.0464476280195589
2.58,-0.0466889631789704
2.585,-0.0469356511489816
2.59,-0.0471874994933414
2.595,-0.0474443352306467
2.6,-0.0477060028065016
2.605,-0.0479723623132227
2.61,-0.0482432879230945
2.615,-0.0485186665064224
2.62,-0.0487983964098645
2.625,-0.049082386374146
2.63,-0.0493705545733079
2.635,-0.0496628277601499
2.64,-0.049959140504697
2.645,-0.0502594345143082
2.65,-0.0505636580256497
2.655,-0.0508717652599934
2.66,-0.051183715934451
2.665,-0.0514994748227616
2.67,-0.0518190113599776
2.675,-0.0521422992861987
2.68,-0.0524693163250294
2.685,-0.0528000438930262
2.69,-0.0531344668368124
2.695,-0.0534725731949501
2.7,-0.0538143539820307
2.705,-0.0541598029926533
2.71,-0.0545089166233594
2.715,-0.0548616937106707
2.72,-0.0552181353837036
2.725,-0.0555782449299115
2.73,-0.0559420276727553
2.735,-0.0563094908601106
2.74,-0.0566806435624929
2.745,-0.0570554965801433
2.75,-0.0574340623582195
2.755,-0.0578163549093552
2.76,-0.0582023897429442
2.765,-0.0585921838005772
2.77,-0.0589857553971162
2.775,-0.0593831241669106
2.78,-0.0597843110147837
2.785,-0.0601893380713569
2.79,-0.0605982286523701
2.795,-0.0610110072217582
2.8,-0.0614276993580895
2.805,-0.0618483317242149
2.81,-0.0622729320398171
2.815,-0.0627015290567135
2.82,-0.0631341525366795
2.825,-0.0635708332316354
2.83,-0.0640116028660482
2.835,-0.0644564941213854
2.84,-0.0649055406225175
2.845,-0.0653587769259381
2.85,-0.0658162385096855
2.855,-0.0662779617648939
2.86,-0.0667439839888716
2.865,-0.0672143433796123
2.87,-0.067689079031721
2.875,-0.0681682309336159
2.88,-0.0686518399660092
2.885,-0.0691399479015779
2.89,-0.0696325974058001
2.895,-0.0701298320388989
2.9,-0.0706316962588589
2.905,-0.0711382354254942
2.91,-0.0716494958055225
2.915,-0.0721655245786173
2.92,-0.0726863698444325
2.925,-0.0732120806305879
2.93,-0.0737427069015364
2.935,-0.0742782995683988
2.94,-0.0748189104996612
2.945,-0.0753645925327819
2.95,-0.0759153994867
2.955,-0.0764713861752041
2.96,-0.0770326084211898
2.965,-0.0775991230718167
2.97,-0.0781709880145376
2.975,-0.0787482621940125
2.98,-0.0793310056299221
2.985,-0.0799192794356957
2.99,-0.080513145838135
2.995,-0.0811126681979671
3,-0.0817179110313506
