"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0573887395522073
2.005,-0.0584797051723713
2.01,-0.0595921460348254
2.015,-0.060726596303767
2.02,-0.0618836058606214
2.025,-0.063063740913754
2.03,-0.064267584635092
2.035,-0.0654957378249851
2.04,-0.0667488196068032
2.045,-0.0680274681527456
2.05,-0.0693323414425058
2.055,-0.0706641180564815
2.06,-0.0720234980053311
2.065,-0.0734112035978133
2.07,-0.07482798034889
2.075,-0.0762745979302915
2.08,-0.0777518511657447
2.085,-0.0792605610733602
2.09,-0.0808015759576409
2.095,-0.0823757725539067
2.1,-0.0839840572279397
2.105,-0.0856273672339595
2.11,-0.0873066720341341
2.115,-0.0890229746830949
2.12,-0.0907773132811164
2.125,-0.0925707624998365
2.13,-0.0944044351847061
2.135,-0.0962794840385209
2.14,-0.0981971033907859
2.145,-0.100158531057872
2.15,-0.102165050299333
2.155,-0.104217991876031
2.16,-0.106318736216154
2.165,-0.108468715695571
2.17,-0.110669417039452
2.175,-0.112922383852513
2.18,-0.115229219285725
2.185,-0.11759158884797
2.19,-0.120011223371598
2.195,-0.122489922141524
2.2,-0.125029556198169
2.205,-0.127632071825307
2.21,-0.130299494234607
2.215,-0.133033931459583
2.22,-0.135837578472521
2.225,-0.138712721539003
2.23,-0.141661742825637
2.235,-0.144687125277913
2.24,-0.147791457786153
2.245,-0.150977440659085
2.25,-0.15424789142594
2.255,-0.15760575098955
2.26,-0.161054090154774
2.265,-0.164596116558328
2.27,-0.168235182028251
2.275,-0.17197479040338
2.28,-0.175818605845724
2.285,-0.179770461681117
2.29,-0.183834369806582
2.295,-0.188014530705784
2.3,-0.192315344117508
2.305,-0.196741420405695
2.31,-0.201297592683724
2.315,-0.205988929750026
2.32,-0.210820749896956
2.325,-0.215798635660183
2.33,-0.220928449581694
2.335,-0.226216351065825
2.34,-0.231668814414759
2.345,-0.237292648137632
2.35,-0.243095015635722
2.355,-0.24908345737557
2.36,-0.255265914671986
2.365,-0.261650755214154
2.37,-0.268246800480397
2.375,-0.275063355200782
2.38,-0.282110239041793
2.385,-0.289397820703953
2.39,-0.296937054641527
2.395,-0.30473952063392
2.4,-0.312817466460735
2.405,-0.321183853957489
2.41,-0.329852408756624
2.415,-0.338837674049137
2.42,-0.348155068736343
2.425,-0.357820950379271
2.43,-0.36785268339535
2.435,-0.378268712999357
2.44,-0.389088645437995
2.445,-0.400333335126258
2.45,-0.412024979359336
2.455,-0.424187221347147
2.46,-0.436845262400893
2.465,-0.450025984193074
2.47,-0.463758082115924
2.475,-0.478072210879301
2.48,-0.493001143619832
2.485,-0.508579945940057
2.49,-0.524846166462214
2.495,-0.541840045668176
2.5,-0.559604745008364
2.505,-0.578186598501192
2.51,-0.597635389314944
2.515,-0.618004654130332
2.52,-0.639352018429475
2.525,-0.661739566251928
2.53,-0.685234248407216
2.535,-0.709908333644564
2.54,-0.73583990786335
2.545,-0.763113427112808
2.55,-0.791820330889998
2.555,-0.822059723114963
2.56,-0.853939129159261
2.565,-0.8875753384484
2.57,-0.923095343474053
2.575,-0.960637387566138
2.58,-1.00035213552083
2.585,-1.04240398319753
2.59,-1.08697252453194
2.595,-1.13425419711977
2.6,-1.18446413067214
2.605,-1.23783822631097
2.61,-1.29463549895813
2.615,-1.3551407200955
2.62,-1.41966740408408
2.625,-1.4885611882121
2.63,-1.56220366492835
2.635,-1.64101673460323
2.64,-1.72546755902686
2.645,-1.81607421019554
2.65,-1.91341212640787
2.655,-2.01812150915796
2.66,-2.13091582094899
2.665,-2.25259157755701
2.67,-2.38403967066525
2.675,-2.52625851125485
2.68,-2.68036935504799
2.685,-2.84763426489239
2.69,-3.02947729025908
2.695,-3.22750961413827
2.7,-3.44355965195396
2.705,-3.67970941462366
2.71,-3.93833891234569
2.715,-4.22218104424728
2.72,-4.53439039631052
2.725,-4.87863082205239
2.73,-5.25918887623866
2.735,-5.68112355754788
2.74,-6.15046815153033
2.745,-6.67450858517351
2.75,-7.26217703551876
2.755,-7.9246241647952
2.76,-8.67607735085372
2.765,-9.53517449805929
2.77,-10.5271250086289
2.775,-11.6873892856807
2.78,-13.068335846861
2.785,-14.7522294643068
2.79,-16.8790737795739
2.795,-19.7132522167612
2.8,-23.8103615827848
2.805,-29.7505523008935
2.81,-28.4550977204372
2.815,-22.8118592000264
2.82,-19.0733668479804
2.825,-16.4407113821894
2.83,-14.4417867075313
2.835,-12.847973208846
2.84,-11.5351963173262
2.845,-10.4291361151239
2.85,-9.48178435716142
2.855,-8.66026642384315
2.86,-7.94100912992871
2.865,-7.30647015850622
2.87,-6.74319387569559
2.875,-6.24059873139132
2.88,-5.79018974994454
2.885,-5.38502901255981
2.89,-5.01936861814519
2.895,-4.68838929506953
2.9,-4.38800967311173
2.905,-4.11474402056297
2.91,-3.86559399533898
2.915,-3.63796477901325
2.92,-3.42959903768095
2.925,-3.23852415865839
2.93,-3.06300954545501
2.935,-2.90153165632476
2.94,-2.75274509336452
2.945,-2.61545848400037
2.95,-2.48861420556952
2.955,-2.3712712263318
2.96,-2.26259049902948
2.965,-2.16182246382247
2.97,-2.06829630816184
2.975,-1.98141070027674
2.98,-1.90062576626155
2.985,-1.82545612237135
2.99,-1.75546480699728
2.995,-1.69025798301624
3,-1.62948030233724
