"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-6.62651535259145
2.005,-8.728474234062
2.01,-9.7043699239645
2.015,-8.34630418393593
2.02,-6.28755485650211
2.025,-4.62912863288854
2.03,-3.45387155042765
2.035,-2.63630327508382
2.04,-2.06105165694173
2.045,-1.6479541952641
2.05,-1.34455034730024
2.055,-1.11676081281699
2.06,-0.942208535657265
2.065,-0.805939533274113
2.07,-0.697759530245569
2.075,-0.610577485869766
2.08,-0.539364050221126
2.085,-0.480486153486718
2.09,-0.431274223552276
2.095,-0.389735500470714
2.1,-0.3543606836629
2.105,-0.323991257458329
2.11,-0.297726952665837
2.115,-0.274860202620272
2.12,-0.254829045866078
2.125,-0.237182825346001
2.13,-0.221556891289313
2.135,-0.207653724137317
2.14,-0.195228692880022
2.145,-0.184079199806929
2.15,-0.174036326646287
2.155,-0.164958347605144
2.16,-0.156725649399257
2.165,-0.149236721423801
2.17,-0.142404966918707
2.175,-0.136156149136874
2.18,-0.13042633244916
2.185,-0.125160212028581
2.19,-0.120309750716806
2.195,-0.115833060313928
2.2,-0.111693478560313
2.205,-0.107858803717348
2.21,-0.104300656779196
2.215,-0.100993947596579
2.22,-0.0979164260306238
2.225,-0.0950483030223332
2.23,-0.0923719294153352
2.235,-0.0898715226955968
2.24,-0.0875329336548171
2.245,-0.0853434464518254
2.25,-0.0832916067209613
2.255,-0.0813670733211484
2.26,-0.0795604900823864
2.265,-0.0778633745257366
2.27,-0.0762680210373443
2.275,-0.0747674163899
2.28,-0.0733551658440298
2.285,-0.0720254283416191
2.29,-0.0707728595343412
2.295,-0.0695925615828425
2.3,-0.0684800388218787
2.305,-0.0674311585205435
2.31,-0.0664421160788789
2.315,-0.0655094040963435
2.32,-0.0646297848272912
2.325,-0.0638002656058329
2.33,-0.0630180768795235
2.335,-0.062280652539857
2.34,-0.0615856122789237
2.345,-0.0609307457370243
2.35,-0.0603139982362048
2.355,-0.0597334579208664
2.36,-0.0591873441488418
2.365,-0.0586739969958679
2.37,-0.0581918677528569
2.375,-0.0577395103100342
2.38,-0.0573155733344833
2.385,-0.0569187931586137
2.39,-0.0565479873065332
2.395,-0.0562020485937163
2.4,-0.0558799397425221
2.405,-0.0555806884625849
2.41,-0.0553033829506163
2.415,-0.0550471677691431
2.42,-0.0548112400679369
2.425,-0.0545948461158248
2.43,-0.0543972781138189
2.435,-0.0542178712635557
2.44,-0.0540560010676648
2.445,-0.0539110808409631
2.45,-0.0537825594135155
2.455,-0.0536699190084039
2.46,-0.0535726732786705
2.465,-0.0534903654893984
2.47,-0.0534225668321355
2.475,-0.0533688748600699
2.48,-0.0533289120333559
2.485,-0.0533023243649117
2.49,-0.0532887801578774
2.495,-0.0532879688265467
2.5,-0.0532995997933617
2.505,-0.0533234014550406
2.51,-0.0533591202114663
2.515,-0.0534065195514671
2.52,-0.0534653791899347
2.525,-0.0535354942512184
2.53,-0.0536166744939715
2.535,-0.0537087435730253
2.54,-0.0538115383340199
2.545,-0.0539249081369602
2.55,-0.0540487142049075
2.555,-0.0541828289944481
2.56,-0.0543271355846936
2.565,-0.0544815270818238
2.57,-0.0546459060365176
2.575,-0.0548201838717839
2.58,-0.055004280319048
2.585,-0.0551981228607437
2.59,-0.0554016461779244
2.595,-0.0556147916019082
2.6,-0.0558375065695185
2.605,-0.0560697440819137
2.61,-0.0563114621677852
2.615,-0.056562623352367
2.62,-0.0568231941345556
2.625,-0.0570931444753356
2.63,-0.0573724473017789
2.635,-0.0576610780319384
2.64,-0.057959014127134
2.645,-0.0582662346793994
2.65,-0.0585827200430609
2.655,-0.05890845152061
2.66,-0.0592434111142589
2.665,-0.0595875813554508
2.67,-0.059940945225423
2.675,-0.0603034861803544
2.68,-0.06067518829463
2.685,-0.0610560365352502
2.69,-0.0614460171793637
2.695,-0.0618451183849248
2.7,-0.0622533309219705
2.705,-0.062670649068427
2.71,-0.0630970716701317
2.715,-0.063532603359526
2.72,-0.0639772559217483
2.725,-0.0644310497905303
2.73,-0.0648940156496636
2.735,-0.065366196109367
2.74,-0.0658476474207113
2.745,-0.0663384411860813
2.75,-0.0668386660195266
2.755,-0.0673484291086325
2.76,-0.0678678576289619
2.765,-0.0683970999640354
2.77,-0.0689363266878187
2.775,-0.0694857312730859
2.78,-0.0700455304973256
2.785,-0.0706159645279383
2.79,-0.0711972966796689
2.795,-0.071789812848897
2.8,-0.0723938206411237
2.805,-0.073009648218744
2.81,-0.0736376429057565
2.815,-0.0742781695935552
2.82,-0.0749316089973647
2.825,-0.0755983558157891
2.83,-0.0762788168463284
2.835,-0.0769734091079896
2.84,-0.0776825580181389
2.845,-0.0784066956653038
2.85,-0.0791462592128747
2.855,-0.0799016894612638
2.86,-0.0806734295883201
2.865,-0.0814619240803222
2.87,-0.0822676178587437
2.875,-0.0830909556016574
2.88,-0.0839323812533482
2.885,-0.0847923377112095
2.89,-0.0856712666757745
2.895,-0.0865696086474339
2.9,-0.0874878030519748
2.905,-0.0884262884765687
2.91,-0.0893855029979741
2.915,-0.090365884585411
2.92,-0.0913678715616753
2.925,-0.0923919031074778
2.93,-0.0934384197955648
2.935,-0.0945078641428557
2.94,-0.0956006811705217
2.945,-0.096717318963571
2.95,-0.0978582292230169
2.955,-0.0990238678051492
2.96,-0.100214695243724
2.965,-0.101431177251944
2.97,-0.102673785202146
2.975,-0.103942996581913
2.98,-0.105239295426015
2.985,-0.106563172724117
2.99,-0.107915126804747
2.995,-0.109295663696204
3,-0.110705297465517
