"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0269281305887046
2.005,-0.0272728354523438
2.01,-0.0276232752258486
2.015,-0.0279795385755769
2.02,-0.0283417169337243
2.025,-0.0287099045770749
2.03,-0.029084198708663
2.035,-0.0294646995424678
2.04,-0.0298515103912363
2.045,-0.0302447377576085
2.05,-0.0306444914286289
2.055,-0.0310508845738278
2.06,-0.0314640338469974
2.065,-0.0318840594918278
2.07,-0.032311085451545
2.075,-0.0327452394827651
2.08,-0.0331866532736801
2.085,-0.0336354625668297
2.09,-0.0340918072866028
2.095,-0.0345558316716997
2.1,-0.035027684412777
2.105,-0.0355075187954584
2.11,-0.0359954928490366
2.115,-0.0364917695010036
2.12,-0.0369965167377716
2.125,-0.0375099077718099
2.13,-0.0380321212154797
2.135,-0.038563341261916
2.14,-0.0391037578732365
2.145,-0.0396535669764329
2.15,-0.0402129706672885
2.155,-0.0407821774227268
2.16,-0.0413614023219281
2.165,-0.0419508672766885
2.17,-0.0425508012714126
2.175,-0.0431614406132301
2.18,-0.0437830291926907
2.185,-0.0444158187555776
2.19,-0.0450600691863705
2.195,-0.0457160488038883
2.2,-0.0463840346697809
2.205,-0.0470643129104375
2.21,-0.0477571790530166
2.215,-0.0484629383762872
2.22,-0.0491819062770342
2.225,-0.0499144086528006
2.23,-0.0506607823018267
2.235,-0.0514213753410268
2.24,-0.0521965476429862
2.245,-0.0529866712929006
2.25,-0.0537921310665506
2.255,-0.0546133249304085
2.26,-0.0554506645650207
2.265,-0.0563045759129253
2.27,-0.0571754997524208
2.275,-0.0580638922985767
2.28,-0.0589702258329466
2.285,-0.0598949893635871
2.29,-0.0608386893170222
2.295,-0.061801850263907
2.3,-0.0627850156803307
2.305,-0.0637887487466879
2.31,-0.0648136331862722
2.315,-0.0658602741458598
2.32,-0.0669292991206727
2.325,-0.0680213589262774
2.33,-0.0691371287201751
2.335,-0.0702773090759316
2.34,-0.0714426271129988
2.345,-0.0726338376854993
2.35,-0.0738517246335052
2.355,-0.0750971021005579
2.36,-0.0763708159214694
2.365,-0.0776737450846579
2.37,-0.0790068032736428
2.375,-0.080370940492553
2.38,-0.0817671447809314
2.385,-0.0831964440234478
2.39,-0.0846599078604766
2.395,-0.0861586497060648
2.4,-0.0876938288801208
2.405,-0.0892666528622556
2.41,-0.090878379675223
2.415,-0.0925303204064936
2.42,-0.0942238418771015
2.425,-0.0959603694676253
2.43,-0.0977413901119002
2.435,-0.0995684554698419
2.44,-0.101443185291654
2.445,-0.103367270986623
2.45,-0.105342479410781
2.455,-0.107370656888714
2.46,-0.10945373348619
2.465,-0.111593727551427
2.47,-0.113792750544376
2.475,-0.116053012174897
2.48,-0.118376825872467
2.485,-0.120766614611899
2.49,-0.12322491712155
2.495,-0.125754394502819
2.5,-0.128357837292076
2.505,-0.131038172998864
2.51,-0.133798474157155
2.515,-0.136641966929584
2.52,-0.139572040308145
2.525,-0.142592255958639
2.53,-0.145706358760445
2.535,-0.148918288097744
2.54,-0.152232189963537
2.545,-0.155652429943386
2.55,-0.159183607151997
2.555,-0.162830569202654
2.56,-0.166598428297053
2.565,-0.170492578531425
2.57,-0.174518714524148
2.575,-0.178682851480195
2.58,-0.182991346819196
2.585,-0.187450923506395
2.59,-0.192068695239858
2.595,-0.196852193662699
2.6,-0.201809397786486
2.605,-0.206948765831185
2.61,-0.212279269708448
2.615,-0.217810432399029
2.62,-0.223552368501895
2.625,-0.229515828262472
2.63,-0.235712245421057
2.635,-0.24215378925995
2.64,-0.248853421270087
2.645,-0.255824956905293
2.65,-0.263083132945635
2.655,-0.270643681051374
2.66,-0.278523408156765
2.665,-0.286740284429372
2.67,-0.295313539607047
2.675,-0.304263768622603
2.68,-0.313613047537047
2.685,-0.323385060928195
2.69,-0.333605242024611
2.695,-0.344300927037519
2.7,-0.355501525329006
2.705,-0.367238707266645
2.71,-0.379546611856562
2.715,-0.392462076524236
2.72,-0.406024891729583
2.725,-0.420278083467644
2.73,-0.435268227125075
2.735,-0.451045796645251
2.74,-0.467665553511215
2.745,-0.485186980698346
2.75,-0.503674767492223
2.755,-0.523199351928517
2.76,-0.543837528611724
2.765,-0.565673130831721
2.77,-0.588797797250683
2.775,-0.613311835011436
2.78,-0.639325192962844
2.785,-0.666958560856602
2.79,-0.696344612900868
2.795,-0.727629417029134
2.8,-0.760974034741043
2.805,-0.79655634049588
2.81,-0.834573094510815
2.815,-0.875242308581144
2.82,-0.918805951377048
2.825,-0.965533047797994
2.83,-1.01572323664718
2.835,-1.06971086245101
2.84,-1.12786969109601
2.845,-1.19061835559029
2.85,-1.25842665830884
2.855,-1.3318228803505
2.86,-1.41140227814183
2.865,-1.49783698349711
2.87,-1.5918875677313
2.875,-1.69441658546419
2.88,-1.80640448263465
2.885,-1.92896834038869
2.89,-2.06338403817358
2.895,-2.21111256459576
2.9,-2.37383139666115
2.905,-2.55347212679341
2.91,-2.7522658727883
2.915,-2.97279850546173
2.92,-3.21807844583229
2.925,-3.49162083581786
2.93,-3.7975534643193
2.935,-4.14075224885156
2.94,-4.52701786070681
2.945,-4.96331114865936
2.95,-5.45807496697932
2.955,-6.02168676448254
2.96,-6.66711533139418
2.965,-7.41090717723672
2.97,-8.27472511057607
2.975,-9.28785080741582
2.98,-10.4914498676117
2.985,-11.9462237123783
2.99,-13.7468584894314
2.995,-16.049931595977
3,-19.1174722978598
