"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0300348423236832
2.005,-0.0303112347558558
2.01,-0.0305874209403235
2.015,-0.0308634703431521
2.02,-0.0311394516580646
2.025,-0.0314154328138212
2.03,-0.0316914809814767
2.035,-0.031967662581581
2.04,-0.0322440432913365
2.045,-0.0325206880516772
2.05,-0.0327976610742879
2.055,-0.0330750258485931
2.06,-0.0333528451486895
2.065,-0.0336311810402312
2.07,-0.0339100948872862
2.075,-0.0341896473591585
2.08,-0.0344698984371789
2.085,-0.0347509074214725
2.09,-0.0350327329377139
2.095,-0.035315432943857
2.1,-0.0355990647368649
2.105,-0.0358836849594195
2.11,-0.0361693496066508
2.115,-0.0364561140328498
2.12,-0.0367440329582011
2.125,-0.0370331604755332
2.13,-0.0373235500570674
2.135,-0.037615254561211
2.14,-0.0379083262393583
2.145,-0.0382028167427456
2.15,-0.0384987771293314
2.155,-0.0387962578707063
2.16,-0.0390953088590847
2.165,-0.0393959794143121
2.17,-0.0396983182909554
2.175,-0.0400023736854535
2.18,-0.0403081932433181
2.185,-0.0406158240664362
2.19,-0.0409253127204339
2.195,-0.0412367052421264
2.2,-0.0415500471470693
2.205,-0.0418653834372055
2.21,-0.0421827586085962
2.215,-0.0425022166592865
2.22,-0.0428238010972773
2.225,-0.0431475549486086
2.23,-0.0434735207655836
2.235,-0.0438017406351192
2.24,-0.0441322561872411
2.245,-0.0444651086037248
2.25,-0.044800338626889
2.255,-0.0451379865685567
2.26,-0.0454780923191767
2.265,-0.0458206953571273
2.27,-0.0461658347581959
2.275,-0.0465135492052572
2.28,-0.0468638769981431
2.285,-0.0472168560637247
2.29,-0.0475725239661996
2.295,-0.0479309179176054
2.3,-0.0482920747885798
2.305,-0.0486560311193276
2.31,-0.0490228231308633
2.315,-0.0493924867364993
2.32,-0.0497650575535963
2.325,-0.0501405709156069
2.33,-0.0505190618843746
2.335,-0.0509005652627573
2.34,-0.0512851156075392
2.345,-0.051672747242661
2.35,-0.052063494272769
2.355,-0.0524573905971276
2.36,-0.0528544699238236
2.365,-0.0532547657843983
2.37,-0.0536583115487933
2.375,-0.0540651404407045
2.38,-0.0544752855533281
2.385,-0.0548887798654986
2.39,-0.0553056562582657
2.395,-0.0557259475318854
2.4,-0.0561496864232703
2.405,-0.0565769056238767
2.41,-0.0570076377980931
2.415,-0.0574419156020905
2.42,-0.0578797717031911
2.425,-0.0583212387997331
2.43,-0.0587663496414928
2.435,-0.059215137050631
2.44,-0.0596676339432186
2.445,-0.0601238733513272
2.45,-0.0605838884457404
2.455,-0.0610477125592436
2.46,-0.061515379210584
2.465,-0.0619869221290548
2.47,-0.0624623752797513
2.475,-0.0629417728895346
2.48,-0.0634251494736845
2.485,-0.0639125398632757
2.49,-0.0644039792333223
2.495,-0.0648995031316839
2.5,-0.0653991475087587
2.505,-0.0659029487479958
2.51,-0.0664109436972389
2.515,-0.0669231697009449
2.52,-0.067439664633273
2.525,-0.0679604669320844
2.53,-0.0684856156338816
2.535,-0.0690151504097127
2.54,-0.0695491116020602
2.545,-0.0700875402627233
2.55,-0.0706304781917843
2.555,-0.0711779679776166
2.56,-0.0717300530379947
2.565,-0.0722867776623526
2.57,-0.0728481870551873
2.575,-0.0734143273806718
2.58,-0.0739852458084774
2.585,-0.0745609905608774
2.59,-0.0751416109611238
2.595,-0.075727157483166
2.6,-0.0763176818027414
2.605,-0.0769132368498549
2.61,-0.0775138768627049
2.615,-0.0781196574430917
2.62,-0.0787306356133464
2.625,-0.0793468698748127
2.63,-0.0799684202679385
2.635,-0.0805953484340136
2.64,-0.0812277176785846
2.645,-0.0818655930366252
2.65,-0.0825090413394677
2.655,-0.0831581312835701
2.66,-0.0838129335011695
2.665,-0.084473520632842
2.67,-0.0851399674020568
2.675,-0.0858123506917585
2.68,-0.0864907496230123
2.685,-0.0871752456358318
2.69,-0.0878659225721479
2.695,-0.088562866761061
2.7,-0.0892661671064082
2.705,-0.0899759151766727
2.71,-0.0906922052973639
2.715,-0.0914151346458557
2.72,-0.0921448033488156
2.725,-0.0928813145822321
2.73,-0.0936247746741722
2.735,-0.0943752932102654
2.74,-0.0951329831420443
2.745,-0.0958979608981878
2.75,-0.0966703464987406
2.755,-0.0974502636723942
2.76,-0.0982378399768992
2.765,-0.099033206922691
2.77,-0.099836500099812
2.775,-0.10064785930821
2.78,-0.101467428691492
2.785,-0.102295356874223
2.79,-0.103131797102884
2.795,-0.103976907390523
2.8,-0.104830850665228
2.805,-0.105693794922537
2.81,-0.106565913381825
2.815,-0.107447384646786
2.82,-0.10833839287016
2.825,-0.109239127922703
2.83,-0.110149785566618
2.835,-0.111070567633445
2.84,-0.112001682206609
2.845,-0.112943343808655
2.85,-0.11389577359335
2.855,-0.114859199542699
2.86,-0.115833856669056
2.865,-0.116819987222365
2.87,-0.117817840902737
2.875,-0.118827675078415
2.88,-0.119849755009266
2.885,-0.120884354075945
2.89,-0.121931754014821
2.895,-0.122992245158799
2.9,-0.124066126684206
2.905,-0.125153706863798
2.91,-0.126255303326048
2.915,-0.127371243320908
2.92,-0.12850186399203
2.925,-0.129647512655766
2.93,-0.130808547086888
2.935,-0.131985335811322
2.94,-0.133178258405942
2.945,-0.134387705805561
2.95,-0.135614080617306
2.955,-0.13685779744245
2.96,-0.138119283205892
2.965,-0.139398977493367
2.97,-0.140697332896553
2.975,-0.142014815366198
2.98,-0.143351904573412
2.985,-0.144709094279212
2.99,-0.146086892712497
2.995,-0.147485822956558
3,-0.148906423344234
