"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0249975515783537
2.005,-0.0252245976651875
2.01,-0.0254559447683711
2.015,-0.0256915779813126
2.02,-0.0259314831926687
2.025,-0.0261756470923005
2.03,-0.0264240571775639
2.035,-0.0266767017599541
2.04,-0.026933569972062
2.045,-0.0271946517748906
2.05,-0.0274599379655271
2.055,-0.0277294201851592
2.06,-0.0280030909274652
2.065,-0.0282809435473612
2.07,-0.028562972270126
2.075,-0.0288491722009158
2.08,-0.0291395393346361
2.085,-0.0294340705662489
2.09,-0.0297327637014468
2.095,-0.030035617467749
2.1,-0.03034263152601
2.105,-0.0306538064823465
2.11,-0.0309691439005011
2.115,-0.0312886463146516
2.12,-0.031612317242646
2.125,-0.0319401611997191
2.13,-0.0322721837126556
2.135,-0.0326083913344413
2.14,-0.0329487916593901
2.145,-0.0332933933387721
2.15,-0.033642206096943
2.155,-0.0339952407479963
2.16,-0.0343525092129227
2.165,-0.0347140245373405
2.17,-0.0350798009097495
2.175,-0.0354498536803514
2.18,-0.0358241993804585
2.185,-0.0362028557424702
2.19,-0.036585841720472
2.195,-0.0369731775114297
2.2,-0.0373648845770238
2.205,-0.037760985666123
2.21,-0.0381615048379177
2.215,-0.0385664674857312
2.22,-0.0389759003614957
2.225,-0.0393898316009889
2.23,-0.0398082907497198
2.235,-0.0402313087896262
2.24,-0.0406589181664744
2.245,-0.0410911528180751
2.25,-0.0415280482032708
2.255,-0.0419696413317472
2.26,-0.0424159707946859
2.265,-0.0428670767962602
2.27,-0.043323001186018
2.275,-0.0437837874921631
2.28,-0.044249480955764
2.285,-0.0447201285658964
2.29,-0.0451957790957645
2.295,-0.0456764831398193
2.3,-0.0461622931518951
2.305,-0.0466532634843876
2.31,-0.0471494504285193
2.315,-0.0476509122557
2.32,-0.0481577092600109
2.325,-0.048669903801867
2.33,-0.0491875603528596
2.335,-0.0497107455418268
2.34,-0.0502395282021742
2.345,-0.0507739794204994
2.35,-0.0513141725865212
2.355,-0.051860183444385
2.36,-0.0524120901453673
2.365,-0.0529699733019789
2.37,-0.0535339160436059
2.375,-0.0541040040736044
2.38,-0.0546803257279793
2.385,-0.0552629720356577
2.39,-0.0558520367803959
2.395,-0.0564476165644049
2.4,-0.0570498108736446
2.405,-0.0576587221449788
2.41,-0.0582744558351149
2.415,-0.0588971204914199
2.42,-0.059526827824719
2.425,-0.0601636927840339
2.43,-0.0608078336334044
2.435,-0.0614593720307984
2.44,-0.0621184331091812
2.445,-0.06278514555984
2.45,-0.0634596417179574
2.455,-0.0641420576505752
2.46,-0.0648325332469678
2.465,-0.0655312123115044
2.47,-0.0662382426590815
2.475,-0.0669537762131989
2.48,-0.0676779691067512
2.485,-0.068410981785598
2.49,-0.0691529791150362
2.495,-0.0699041304892132
2.5,-0.0706646099435973
2.505,-0.0714345962705839
2.51,-0.0722142731383306
2.515,-0.0730038292129202
2.52,-0.0738034582839397
2.525,-0.0746133593935898
2.53,-0.0754337369694315
2.535,-0.0762648009608595
2.54,-0.0771067669794367
2.545,-0.0779598564431882
2.55,-0.0788242967249769
2.555,-0.0797003213051076
2.56,-0.080588169928238
2.565,-0.0814880887647768
2.57,-0.0824003305768878
2.575,-0.083325154889215
2.58,-0.0842628281645182
2.585,-0.0852136239843303
2.59,-0.0861778232348136
2.595,-0.0871557142979641
2.6,-0.0881475932483266
2.605,-0.0891537640554124
2.61,-0.0901745387919397
2.615,-0.091210237848183
2.62,-0.0922611901524652
2.625,-0.0933277333981556
2.63,-0.094410214277249
2.635,-0.0955089887207785
2.64,-0.0966244221462871
2.645,-0.0977568897125715
2.65,-0.0989067765818865
2.655,-0.100074478189932
2.66,-0.101260400523775
2.665,-0.102464960408026
2.67,-0.103688585799485
2.675,-0.104931716090568
2.68,-0.106194802421757
2.685,-0.107478308003396
2.69,-0.108782708447079
2.695,-0.110108492107011
2.7,-0.111456160431612
2.705,-0.112826228325675
2.71,-0.114219224523492
2.715,-0.115635691973234
2.72,-0.117076188232977
2.725,-0.118541285878739
2.73,-0.120031572924957
2.735,-0.121547653257735
2.74,-0.12309014708137
2.745,-0.124659691378494
2.75,-0.126256940384381
2.755,-0.127882566075772
2.76,-0.1295372586748
2.765,-0.131221727168415
2.77,-0.132936699843917
2.775,-0.134682924841043
2.78,-0.13646117072119
2.785,-0.138272227054364
2.79,-0.140116905024398
2.795,-0.141996038053073
2.8,-0.143910482443765
2.805,-0.145861118045268
2.81,-0.14784884893645
2.815,-0.149874604132471
2.82,-0.151939338313247
2.825,-0.154044032574914
2.83,-0.156189695205097
2.835,-0.158377362482717
2.84,-0.160608099503213
2.845,-0.162883001030022
2.85,-0.165203192373162
2.855,-0.167569830295905
2.86,-0.169984103950396
2.865,-0.172447235843274
2.87,-0.174960482832239
2.875,-0.177525137154689
2.88,-0.180142527489405
2.885,-0.182814020052507
2.89,-0.185541019728775
2.895,-0.188324971239518
2.9,-0.191167360348321
2.905,-0.194069715105821
2.91,-0.197033607134936
2.915,-0.200060652957862
2.92,-0.203152515366281
2.925,-0.206310904836203
2.93,-0.209537580989004
2.935,-0.212834354100167
2.94,-0.21620308665738
2.945,-0.219645694969633
2.95,-0.223164150829046
2.955,-0.226760483227186
2.96,-0.230436780127758
2.965,-0.234195190297489
2.97,-0.23803792519722
2.975,-0.241967260935218
2.98,-0.245985540284755
2.985,-0.250095174768144
2.99,-0.254298646809426
2.995,-0.258598511957999
3,-0.262997401185539
