"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0196929758202248
2.005,-0.0199087698986642
2.01,-0.0201289857450946
2.015,-0.0203537264819495
2.02,-0.0205830989190815
2.025,-0.0208172137032811
2.03,-0.0210561854750626
2.035,-0.021300133033084
2.04,-0.0215491795066555
2.045,-0.0218034525367602
2.05,-0.0220630844661011
2.055,-0.0223282125386635
2.06,-0.0225989791093284
2.065,-0.0228755318641379
2.07,-0.023158024051829
2.075,-0.0234466147272676
2.08,-0.0237414690075015
2.085,-0.0240427583411928
2.09,-0.0243506607921914
2.095,-0.0246653613381398
2.1,-0.0249870521849776
2.105,-0.0253159330983607
2.11,-0.0256522117529885
2.115,-0.0259961041009888
2.12,-0.0263478347605089
2.125,-0.02670763742584
2.13,-0.0270757553003515
2.135,-0.0274524415537856
2.14,-0.0278379598054306
2.145,-0.0282325846348192
2.15,-0.0286366021218529
2.155,-0.0290503104181574
2.16,-0.0294740203518666
2.165,-0.0299080560679872
2.17,-0.0303527557067901
2.175,-0.0308084721227939
2.18,-0.031275573647159
2.185,-0.0317544448964441
2.19,-0.0322454876310082
2.195,-0.0327491216665383
2.2,-0.0332657858424666
2.205,-0.0337959390513451
2.21,-0.0343400613336177
2.215,-0.034898655042506
2.22,-0.0354722460842156
2.225,-0.036061385239001
2.23,-0.036666649569187
2.235,-0.0372886439206835
2.24,-0.0379280025251589
2.245,-0.0385853907105794
2.25,-0.0392615067285515
2.255,-0.0399570837076576
2.26,-0.0406728917427003
2.265,-0.04140974013079
2.27,-0.0421684797660829
2.275,-0.0429500057061085
2.28,-0.0437552599238651
2.285,-0.0445852342610776
2.29,-0.0454409735995513
2.295,-0.0463235792691196
2.3,-0.0472342127125243
2.305,-0.0481740994294221
2.31,-0.0491445332240463
2.315,-0.0501468807833504
2.32,-0.0511825866152443
2.325,-0.0522531783794851
2.33,-0.0533602726471457
2.335,-0.0545055811283089
2.34,-0.0556909174117736
2.345,-0.0569182042652428
2.35,-0.0581894815496127
2.355,-0.0595069148068258
2.36,-0.0608728045873089
2.365,-0.0622895965903003
2.37,-0.0637598926986403
2.375,-0.0652864629989029
2.38,-0.0668722588881837
2.385,-0.068520427380693
2.39,-0.0702343267407131
2.395,-0.0720175435835543
2.4,-0.0738739116033523
2.405,-0.0758075321060954
2.41,-0.077822796548379
2.415,-0.0799244113077756
2.42,-0.0821174249395122
2.425,-0.0844072582071929
2.43,-0.0867997372131341
2.435,-0.0893011299972502
2.44,-0.0919181870233354
2.445,-0.0946581860290264
2.45,-0.0975289817820919
2.455,-0.10053906136226
2.46,-0.103697605676788
2.465,-0.107014558020934
2.47,-0.110500700614719
2.475,-0.114167740187086
2.48,-0.118028403842385
2.485,-0.12209654663557
2.49,-0.126387272507591
2.495,-0.130917070497508
2.5,-0.135703968460385
2.505,-0.140767706890184
2.51,-0.146129935885873
2.515,-0.15181443882141
2.52,-0.15784738690359
2.525,-0.164257629547846
2.53,-0.171077026397615
2.535,-0.178340827891369
2.54,-0.186088112584275
2.545,-0.194362291010814
2.55,-0.203211687795553
2.555,-0.21269021606429
2.56,-0.22285816108059
2.565,-0.233783093565901
2.57,-0.245540937523787
2.575,-0.258217222796538
2.58,-0.271908559314418
2.585,-0.286724378414565
2.59,-0.302788997176797
2.595,-0.320244075059646
2.6,-0.339251549025826
2.605,-0.359997154883658
2.61,-0.382694670147552
2.615,-0.407591049216224
2.62,-0.434972667602898
2.625,-0.465172951730597
2.63,-0.498581749046988
2.635,-0.535656896226429
2.64,-0.576938579682314
2.645,-0.623067264501196
2.65,-0.674806211925263
2.655,-0.733069935049555
2.66,-0.798960390501329
2.665,-0.873813317538636
2.67,-0.959257982717639
2.675,-1.05729476586395
2.68,-1.17039667514102
2.685,-1.3016432196377
2.69,-1.45489842301331
2.695,-1.63504964163114
2.7,-1.84833108521601
2.705,-2.10276694614121
2.71,-2.40878640424503
2.715,-2.78009151775201
2.72,-3.23490969637212
2.725,-3.79785890408724
2.73,-4.50285361175295
2.735,-5.39793289612544
2.74,-6.55402502165741
2.745,-8.0828345297862
2.75,-10.1793791986763
2.755,-13.2471756039152
2.76,-18.4237107148523
2.765,-32.523986272661
2.77,-21.3580406941458
2.775,-14.7394632507958
2.78,-11.1843780756508
2.785,-8.84477236422957
2.79,-7.17069952665554
2.795,-5.91801616677322
2.8,-4.95396618075494
2.805,-4.1971420747439
2.81,-3.59372662602743
2.815,-3.1063700721205
2.82,-2.70828849121453
2.825,-2.37982211124845
2.83,-2.10628321232172
2.835,-1.87654110974161
2.84,-1.6820577653982
2.845,-1.51621316013701
2.85,-1.37382401704586
2.855,-1.25079510695446
2.86,-1.14386335247327
2.865,-1.05040793813419
2.87,-0.968307992930156
2.875,-0.895834948891999
2.88,-0.831570429982733
2.885,-0.774343110390606
2.89,-0.723179787725083
2.895,-0.677267193968223
2.9,-0.635921979552322
2.905,-0.598566963844688
2.91,-0.564712223693109
2.915,-0.533939942282046
2.92,-0.50589219943565
2.925,-0.480261077044882
2.93,-0.456780597482611
2.935,-0.435220121563964
2.94,-0.415378915070941
2.945,-0.397081655808373
2.95,-0.380174701496851
2.955,-0.364522976142699
2.96,-0.350007361520853
2.965,-0.336522503047657
2.97,-0.323974957091693
2.975,-0.312281620789651
2.98,-0.301368396546818
2.985,-0.291169052252092
2.99,-0.281624245317881
2.995,-0.27268068434485
3,-0.264290406802648
