"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0667428959608829
2.005,-0.069001268845235
2.01,-0.0713778673280797
2.015,-0.0738804953041786
2.02,-0.0765176087043615
2.025,-0.0792983808847588
2.03,-0.0822327757128747
2.035,-0.0853316293931126
2.04,-0.0886067422346933
2.045,-0.0920709817523966
2.05,-0.0957383987111853
2.055,-0.0996243579852416
2.06,-0.103745686408451
2.065,-0.108120840155922
2.07,-0.112770094626363
2.075,-0.117715760306902
2.08,-0.122982428712259
2.085,-0.12859725322042
2.09,-0.134590270502588
2.095,-0.140994769298871
2.1,-0.147847714562304
2.105,-0.155190236532494
2.11,-0.163068196168142
2.115,-0.171532840642837
2.12,-0.180641565388796
2.125,-0.190458802581537
2.13,-0.201057060151493
2.135,-0.212518140583913
2.14,-0.224934575178616
2.145,-0.238411317408507
2.15,-0.253067748952362
2.155,-0.26904006441325
2.16,-0.286484116349994
2.165,-0.305578821923045
2.17,-0.326530257320139
2.175,-0.349576597641123
2.18,-0.374994099966616
2.185,-0.403104378327415
2.19,-0.434283284317766
2.195,-0.468971790061887
2.2,-0.507689376020606
2.205,-0.551050560639931
2.21,-0.59978537901397
2.215,-0.654764831044999
2.22,-0.717032582886851
2.225,-0.78784452222145
2.23,-0.868718132387114
2.235,-0.961494035802371
2.24,-1.06841239258596
2.245,-1.19220696585192
2.25,-1.33621924614806
2.255,-1.50453339131055
2.26,-1.70212856584365
2.265,-1.93503601142104
2.27,-2.21046899850051
2.275,-2.53685557677442
2.28,-2.92362994759972
2.285,-3.38049867966347
2.29,-3.91564631833273
2.295,-4.53193315235489
2.3,-5.21963197448457
2.305,-5.94430665811747
2.31,-6.63155075501665
2.315,-7.16131570751272
2.32,-7.39963858711664
2.325,-7.2757710274356
2.33,-6.83664609101556
2.335,-6.20854811262947
2.34,-5.51700808554478
2.345,-4.84502776942957
2.35,-4.23376667585147
2.355,-3.69723868505226
2.36,-3.23516101161704
2.365,-2.84090795159978
2.37,-2.50574442243023
2.375,-2.22086065235509
2.38,-1.9782382172364
2.385,-1.7709342538734
2.39,-1.59309450464402
2.395,-1.43985275305323
2.4,-1.30719347116571
2.405,-1.19181310148334
2.41,-1.09099468208641
2.415,-1.00250048948753
2.42,-0.924482769727632
2.425,-0.855410732368276
2.43,-0.794011395049172
2.435,-0.739221877513407
2.44,-0.69015099919251
2.445,-0.646048362587681
2.45,-0.606279427961425
2.455,-0.570305371900865
2.46,-0.537666764162996
2.465,-0.50797029503564
2.47,-0.480877944444021
2.475,-0.45609811049108
2.48,-0.433378315091235
2.485,-0.412499183142453
2.49,-0.393269453699919
2.495,-0.375521830444988
2.5,-0.359109517237155
2.505,-0.34390331494078
2.51,-0.329789179789794
2.515,-0.316666162665335
2.52,-0.304444663879761
2.525,-0.293044950218997
2.53,-0.282395890739507
2.535,-0.272433875653354
2.54,-0.263101888958564
2.545,-0.25434871059264
2.55,-0.24612822804703
2.555,-0.238398840771633
2.56,-0.231122943471968
2.565,-0.22426647667769
2.57,-0.217798534834395
2.575,-0.211691023718055
2.58,-0.205918360252814
2.585,-0.200457208877702
2.59,-0.195286249495189
2.595,-0.190385972775893
2.6,-0.185738499215275
2.605,-0.181327418860443
2.61,-0.177137649065107
2.615,-0.173155308002641
2.62,-0.169367601982039
2.625,-0.165762724878939
2.63,-0.162329768221438
2.635,-0.159058640664696
2.64,-0.155939995754193
2.645,-0.152965167020003
2.65,-0.15012610956654
2.655,-0.147415347427511
2.66,-0.144825926046591
2.665,-0.142351369322734
2.67,-0.13998564072699
2.675,-0.13772310805669
2.68,-0.135558511444046
2.685,-0.13348693428089
2.69,-0.13150377676025
2.695,-0.129604731769454
2.7,-0.127785762899259
2.705,-0.126043084359746
2.71,-0.124373142616511
2.715,-0.122772599581083
2.72,-0.121238317207145
2.725,-0.119767343359955
2.73,-0.118356898840233
2.735,-0.117004365455998
2.74,-0.115707275046924
2.745,-0.114463299375216
2.75,-0.113270240805843
2.755,-0.11212602370646
2.76,-0.11102868650425
2.765,-0.109976374343
2.77,-0.108967332289138
2.775,-0.107999899040371
2.78,-0.107072501094853
2.785,-0.106183647342854
2.79,-0.105331924046214
2.795,-0.104515990174227
2.8,-0.103734573067312
2.805,-0.102986464402413
2.81,-0.102270516436375
2.815,-0.101585638505677
2.82,-0.100930793762684
2.825,-0.100304996130385
2.83,-0.0997073074590382
2.835,-0.0991368348696064
2.84,-0.0985927282700955
2.845,-0.0980741780320633
2.85,-0.0975804128156313
2.855,-0.0971106975322428
2.86,-0.0966643314353449
2.865,-0.0962406463298422
2.87,-0.0958390048920681
2.875,-0.0954587990924576
2.88,-0.0950994487139244
2.885,-0.0947603999593028
2.89,-0.0944411241418616
2.895,-0.094141116453262
2.9,-0.093859894803812
2.905,-0.0935969987302197
2.91,-0.0933519883663964
2.915,-0.0931244434732416
2.92,-0.0929139625235827
2.925,-0.0927201618387184
2.93,-0.0925426747733308
2.935,-0.0923811509456728
2.94,-0.0922352555102389
2.945,-0.0921046684702622
2.95,-0.0919890840276088
2.955,-0.091888209967746
2.96,-0.0918017670777314
2.965,-0.0917294885951629
2.97,-0.0916711196863013
2.975,-0.0916264169516196
2.98,-0.0915951479571461
2.985,-0.0915770907901662
2.99,-0.0915720336377829
2.995,-0.0915797743871188
3,-0.0916001202458502
