"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0222132985141295
2.005,-0.0223802571977415
2.01,-0.0225480177542555
2.015,-0.0227165999236504
2.02,-0.0228860233962904
2.025,-0.0230563078155873
2.03,-0.0232274727806994
2.035,-0.0233995378492369
2.04,-0.0235725225399663
2.045,-0.0237464463355501
2.05,-0.0239213286852968
2.055,-0.024097189007927
2.06,-0.0242740466943628
2.065,-0.0244519211105337
2.07,-0.0246308316002198
2.075,-0.024810797487899
2.08,-0.024991838081634
2.085,-0.0251739726759818
2.09,-0.0253572205549352
2.095,-0.0255416009948889
2.1,-0.0257271332676448
2.105,-0.0259138366434464
2.11,-0.0261017303940412
2.115,-0.0262908337958006
2.12,-0.0264811661328525
2.125,-0.026672746700278
2.13,-0.0268655948073265
2.135,-0.0270597297806967
2.14,-0.0272551709678479
2.145,-0.0274519377403504
2.15,-0.027650049497325
2.155,-0.027849525668874
2.16,-0.0280503857196146
2.165,-0.0282526491522499
2.17,-0.0284563355111782
2.175,-0.0286614643861965
2.18,-0.0288680554162286
2.185,-0.0290761282931475
2.19,-0.0292857027656371
2.195,-0.0294967986431325
2.2,-0.0297094357998396
2.205,-0.0299236341788031
2.21,-0.0301394137960608
2.215,-0.0303567947448853
2.22,-0.0305757972000813
2.225,-0.0307964414223745
2.23,-0.0310187477629032
2.235,-0.0312427366677569
2.24,-0.0314684286826347
2.245,-0.0316958444575896
2.25,-0.0319250047518516
2.255,-0.0321559304387739
2.26,-0.0323886425108545
2.265,-0.032623162084878
2.27,-0.0328595104071489
2.275,-0.0330977088588609
2.28,-0.0333377789615284
2.285,-0.0335797423825992
2.29,-0.033823620941132
2.295,-0.0340694366136215
2.3,-0.0343172115399492
2.305,-0.0345669680294473
2.31,-0.0348187285671288
2.315,-0.0350725158200095
2.32,-0.0353283526436128
2.325,-0.0355862620885936
2.33,-0.035846267407521
2.335,-0.0361083920618152
2.34,-0.0363726597288295
2.345,-0.0366390943091163
2.35,-0.0369077199338328
2.355,-0.0371785609723458
2.36,-0.037451642039978
2.365,-0.0377269880059717
2.37,-0.0380046240016099
2.375,-0.0382845754285404
2.38,-0.0385668679672911
2.385,-0.0388515275859907
2.39,-0.0391385805492894
2.395,-0.0394280534275021
2.4,-0.0397199731059498
2.405,-0.0400143667945522
2.41,-0.0403112620376283
2.415,-0.0406106867239465
2.42,-0.0409126690969921
2.425,-0.0412172377655334
2.43,-0.0415244217143923
2.435,-0.0418342503155071
2.44,-0.0421467533392499
2.445,-0.0424619609660394
2.45,-0.0427799037982281
2.455,-0.0431006128722644
2.46,-0.0434241196712006
2.465,-0.0437504561374569
2.47,-0.0440796546859461
2.475,-0.0444117482174876
2.48,-0.0447467701325979
2.485,-0.0450847543455734
2.49,-0.0454257352989778
2.495,-0.0457697479784457
2.5,-0.0461168279279003
2.505,-0.0464670112651213
2.51,-0.0468203346977192
2.515,-0.0471768355395151
2.52,-0.047536551727334
2.525,-0.0478995218382111
2.53,-0.0482657851070571
2.535,-0.0486353814447595
2.54,-0.0490083514567326
2.545,-0.0493847364619863
2.55,-0.0497645785126195
2.555,-0.0501479204138695
2.56,-0.0505348057446366
2.565,-0.0509252788785606
2.57,-0.0513193850056357
2.575,-0.0517171701543546
2.58,-0.0521186812144811
2.585,-0.0525239659603521
2.59,-0.0529330730748245
2.595,-0.0533460521738212
2.6,-0.0537629538315216
2.605,-0.0541838296062195
2.61,-0.054608732066826
2.615,-0.055037714820093
2.62,-0.0554708325385337
2.625,-0.0559081409890807
2.63,-0.0563496970624775
2.635,-0.0567955588034729
2.64,-0.0572457854417733
2.645,-0.0577004374238411
2.65,-0.0581595764455024
2.655,-0.0586232654854501
2.66,-0.0590915688395754
2.665,-0.0595645521562867
2.67,-0.0600422824726837
2.675,-0.0605248282517526
2.68,-0.0610122594205026
2.685,-0.0615046474091576
2.69,-0.0620020651913576
2.695,-0.0625045873254523
2.7,-0.0630122899968835
2.705,-0.0635252510617156
2.71,-0.0640435500913096
2.715,-0.0645672684182155
2.72,-0.0650964891832845
2.725,-0.0656312973840359
2.73,-0.06617177992435
2.735,-0.0667180256654747
2.74,-0.0672701254784246
2.745,-0.0678281722977651
2.75,-0.0683922611768894
2.755,-0.0689624893447599
2.76,-0.0695389562641944
2.765,-0.070121763691726
2.77,-0.070711015739103
2.775,-0.0713068189364458
2.78,-0.0719092822971121
2.785,-0.0725185173843506
2.79,-0.0731346383797506
2.795,-0.0737577621535646
2.8,-0.0743880083369618
2.805,-0.0750254993962282
2.81,-0.0756703607090227
2.815,-0.0763227206427128
2.82,-0.0769827106348525
2.825,-0.0776504652758634
2.83,-0.0783261223940081
2.835,-0.0790098231426577
2.84,-0.079701712090019
2.845,-0.0804019373112597
2.85,-0.0811106504832386
2.855,-0.0818280069817989
2.86,-0.0825541659817727
2.865,-0.0832892905597332
2.87,-0.0840335477996045
2.875,-0.084787108901164
2.88,-0.0855501492915784
2.885,-0.0863228487399978
2.89,-0.0871053914753574
2.895,-0.0878979663074174
2.9,-0.0887007667511747
2.905,-0.0895139911547324
2.91,-0.0903378428307033
2.915,-0.091172530191291
2.92,-0.0920182668870947
2.925,-0.092875271949811
2.93,-0.0937437699388588
2.935,-0.0946239910921453
2.94,-0.0955161714809719
2.945,-0.0964205531692862
2.95,-0.0973373843773642
2.955,-0.0982669196500567
2.96,-0.0992094200296986
2.965,-0.100165153233881
2.97,-0.101134393838126
2.975,-0.102117423463695
2.98,-0.103114530970608
2.985,-0.104126012656037
2.99,-0.105152172458236
2.995,-0.106193322166156
3,-0.107249781634868
