"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.030366093856581
2.005,-0.0306748747414544
2.01,-0.0309854909529845
2.015,-0.0312979563648962
2.02,-0.0316122852133112
2.025,-0.0319284921004456
2.03,-0.0322465919983632
2.035,-0.0325666002528198
2.04,-0.0328885325871642
2.045,-0.0332124051063391
2.05,-0.0335382343009206
2.055,-0.0338660370512734
2.06,-0.0341958306317417
2.065,-0.0345276327149701
2.07,-0.0348614613762426
2.075,-0.0351973350979582
2.08,-0.0355352727741401
2.085,-0.0358752937150601
2.09,-0.0362174176519341
2.095,-0.0365616647416916
2.1,-0.0369080555718393
2.105,-0.0372566111654176
2.11,-0.0376073529860281
2.115,-0.0379603029429572
2.12,-0.0383154833963916
2.125,-0.038672917162718
2.13,-0.039032627519911
2.135,-0.0393946382130307
2.14,-0.0397589734597979
2.145,-0.0401256579562648
2.15,-0.0404947168825847
2.155,-0.040866175908904
2.16,-0.0412400612012921
2.165,-0.0416163994278566
2.17,-0.0419952177648733
2.175,-0.0423765439030976
2.18,-0.0427604060541154
2.185,-0.0431468329568512
2.19,-0.0435358538841646
2.195,-0.0439274986495389
2.2,-0.0443217976139245
2.205,-0.0447187816926464
2.21,-0.045118482362477
2.215,-0.0455209316687777
2.22,-0.045926162232803
2.225,-0.0463342072590941
2.23,-0.0467451005430055
2.235,-0.0471588764783698
2.24,-0.0475755700652752
2.245,-0.0479952169179713
2.25,-0.048417853272907
2.255,-0.0488435159969228
2.26,-0.049272242595546
2.265,-0.0497040712214551
2.27,-0.0501390406830645
2.275,-0.0505771904532568
2.28,-0.0510185606782701
2.285,-0.0514631921867291
2.29,-0.0519111264988157
2.295,-0.0523624058356257
2.3,-0.052817073128641
2.305,-0.0532751720293969
2.31,-0.0537367469192825
2.315,-0.0542018429195443
2.32,-0.0546705059014295
2.325,-0.0551427824964924
2.33,-0.055618720107134
2.335,-0.0560983669172371
2.34,-0.0565817719030633
2.345,-0.0570689848442956
2.35,-0.0575600563352661
2.355,-0.0580550377964087
2.36,-0.0585539814858782
2.365,-0.0590569405113953
2.37,-0.0595639688422866
2.375,-0.0600751213217397
2.38,-0.0605904536792747
2.385,-0.0611100225434309
2.39,-0.0616338854546861
2.395,-0.0621621008785995
2.4,-0.062694728219194
2.405,-0.063231827832577
2.41,-0.0637734610408074
2.415,-0.0643196901460169
2.42,-0.0648705784447764
2.425,-0.0654261902427519
2.43,-0.0659865908695927
2.435,-0.066551846694125
2.44,-0.0671220251398235
2.445,-0.0676971947005506
2.45,-0.0682774249566214
2.455,-0.0688627865911445
2.46,-0.0694533514067036
2.465,-0.0700491923423122
2.47,-0.0706503834907542
2.475,-0.071257000116194
2.48,-0.0718691186721955
2.485,-0.072486816820033
2.49,-0.0731101734473966
2.495,-0.0737392686874719
2.5,-0.074374183938377
2.505,-0.0750150018830071
2.51,-0.0756618065092761
2.515,-0.076314683130763
2.52,-0.0769737184077914
2.525,-0.077639000368942
2.53,-0.0783106184330044
2.535,-0.0789886634314017
2.54,-0.0796732276310658
2.545,-0.0803644047578256
2.55,-0.0810622900202843
2.555,-0.0817669801341984
2.56,-0.0824785733474094
2.565,-0.0831971694653048
2.57,-0.0839228698768568
2.575,-0.084655777581213
2.58,-0.085395997214923
2.585,-0.086143635079751
2.59,-0.0868987991711275
2.595,-0.0876615992072685
2.6,-0.0884321466589596
2.605,-0.0892105547800397
2.61,-0.0899969386386014
2.615,-0.0907914151489394
2.62,-0.0915941031042638
2.625,-0.0924051232102157
2.63,-0.0932245981191714
2.635,-0.094052652465434
2.64,-0.0948894129012702
2.645,-0.0957350081338743
2.65,-0.096589568963246
2.655,-0.097453228321064
2.66,-0.0983261213105268
2.665,-0.099208385247292
2.67,-0.100100159701411
2.675,-0.101001586540455
2.68,-0.101912809973745
2.685,-0.102833976597815
2.69,-0.103765235443079
2.695,-0.104706738021821
2.7,-0.105658638377503
2.705,-0.106621093135461
2.71,-0.107594261555038
2.715,-0.108578305583231
2.72,-0.10957338990985
2.725,-0.110579682024336
2.73,-0.111597352274217
2.735,-0.112626573925331
2.74,-0.113667523223834
2.745,-0.114720379460134
2.75,-0.115785325034714
2.755,-0.11686254552609
2.76,-0.117952229760789
2.765,-0.119054569885621
2.77,-0.120169761442199
2.775,-0.121298003443885
2.78,-0.122439498455209
2.785,-0.123594452673932
2.79,-0.124763076015777
2.795,-0.125945582202031
2.8,-0.127142188850069
2.805,-0.128353117566992
2.81,-0.129578594046455
2.815,-0.130818848168859
2.82,-0.132074114105074
2.825,-0.133344630423792
2.83,-0.134630640202725
2.835,-0.135932391143809
2.84,-0.137250135692574
2.845,-0.138584131161908
2.85,-0.139934639860368
2.855,-0.141301929225302
2.86,-0.142686271960967
2.865,-0.144087946181882
2.87,-0.145507235561691
2.875,-0.146944429487738
2.88,-0.148399823221699
2.885,-0.149873718066497
2.89,-0.151366421539843
2.895,-0.152878247554687
2.9,-0.154409516606972
2.905,-0.155960555970961
2.91,-0.157531699902601
2.915,-0.159123289851259
2.92,-0.160735674680258
2.925,-0.162369210896672
2.93,-0.164024262890819
2.935,-0.165701203185956
2.94,-0.167400412698674
2.945,-0.169122281010576
2.95,-0.170867206651738
2.955,-0.172635597396666
2.96,-0.174427870573306
2.965,-0.176244453385782
2.97,-0.178085783251665
2.975,-0.179952308154443
2.98,-0.181844487012
2.985,-0.183762790062018
2.99,-0.185707699265112
2.995,-0.18767970872671
3,-0.189679325138606
