"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.343358358586571
2.005,-0.374616685683925
2.01,-0.410206187403362
2.015,-0.450931116753581
2.02,-0.497785116335672
2.025,-0.552005502674173
2.03,-0.615145898243107
2.035,-0.689174324469399
2.04,-0.776606944216531
2.045,-0.880692148180276
2.05,-1.00566629118013
2.055,-1.15711205363245
2.06,-1.34246438712036
2.065,-1.57172871617352
2.07,-1.85850237513983
2.075,-2.22142107376749
2.08,-2.68617499115807
2.085,-3.2882070213334
2.09,-4.07595355355162
2.095,-5.11339841655294
2.1,-6.47623226432423
2.105,-8.21688349197756
2.11,-10.1999889666956
2.115,-11.6283825705208
2.12,-11.2357257585752
2.125,-9.46989083105735
2.13,-7.58911402792286
2.135,-6.04102640323666
2.14,-4.84600903708282
2.145,-3.93486372498999
2.15,-3.2374970009017
2.155,-2.69861387422839
2.16,-2.27730178816385
2.165,-1.94384025246005
2.17,-1.67668393154756
2.175,-1.4601359961528
2.18,-1.28266454283908
2.185,-1.1357123458223
2.19,-1.01286116222019
2.195,-0.909244372709644
2.2,-0.821131988596868
2.205,-0.745635207887939
2.21,-0.68049420664557
2.215,-0.623924258361185
2.22,-0.574503054532752
2.225,-0.531087385889419
2.23,-0.492750939930105
2.235,-0.458737427724928
2.24,-0.428424942561256
2.245,-0.401298623466866
2.25,-0.376929514019975
2.255,-0.354958082491842
2.26,-0.335081278237505
2.265,-0.317042292155742
2.27,-0.300622400645225
2.275,-0.285634426621888
2.28,-0.27191746434529
2.285,-0.259332598561282
2.29,-0.247759410922561
2.295,-0.237093113556433
2.3,-0.227242185128675
2.305,-0.218126411768968
2.31,-0.20967525593039
2.315,-0.201826492225221
2.32,-0.194525061669989
2.325,-0.18772210544216
2.33,-0.181374146838374
2.335,-0.175442396110063
2.34,-0.169892157598891
2.345,-0.164692322376887
2.35,-0.159814932624686
2.355,-0.155234806417227
2.36,-0.150929213554303
2.365,-0.146877594669949
2.37,-0.143061317155474
2.375,-0.139463462494683
2.38,-0.13606864048323
2.385,-0.132862826523724
2.39,-0.129833218783273
2.395,-0.126968112493948
2.4,-0.124256789087764
2.405,-0.121689418201049
2.41,-0.119256970870772
2.415,-0.11695114248702
2.42,-0.11476428426955
2.425,-0.112689342208417
2.43,-0.110719802554587
2.435,-0.10884964307033
2.44,-0.10707328935479
2.445,-0.105385575650208
2.45,-0.103781709611532
2.455,-0.102257240588244
2.46,-0.100808031024273
2.465,-0.0994302306308316
2.47,-0.098120253029478
2.475,-0.0968747545993125
2.48,-0.0956906152941064
2.485,-0.094564921222724
2.49,-0.0934949488103244
2.495,-0.0924781503788098
2.5,-0.0915121410033276
2.505,-0.090594686517679
2.51,-0.0897236925556209
2.515,-0.0888971945273654
2.52,-0.0881133484414974
2.525,-0.0873704224921494
2.53,-0.0866667893396673
2.535,-0.0860009190205348
2.54,-0.0853713724290331
2.545,-0.0847767953187644
2.55,-0.0842159127776636
2.555,-0.0836875241345428
2.56,-0.0831904982594521
2.565,-0.0827237692237958
2.57,-0.0822863322894444
2.575,-0.0818772401989699
2.58,-0.0814955997418342
2.585,-0.0811405685736659
2.59,-0.0808113522678599
2.595,-0.0805072015807184
2.6,-0.0802274099128918
2.605,-0.0799713109516269
2.61,-0.0797382764795083
2.615,-0.0795277143367232
2.62,-0.0793390665250553
2.625,-0.0791718074426584
2.63,-0.0790254422397549
2.635,-0.0788995052861165
2.64,-0.078793558741968
2.645,-0.0787071912246483
2.65,-0.078640016563925
2.655,-0.0785916726394617
2.66,-0.078561820294394
2.665,-0.0785501423194337
2.67,-0.0785563425023272
2.675,-0.0785801447378381
2.68,-0.0786212921937501
2.685,-0.0786795465286758
2.69,-0.0787546871576833
2.695,-0.0788465105619739
2.7,-0.0789548296390478
2.705,-0.0790794730898624
2.71,-0.0792202848396851
2.715,-0.079377123489361
2.72,-0.0795498617937135
2.725,-0.079738386163925
2.73,-0.0799425961904477
2.735,-0.080162404183169
2.74,-0.0803977347251061
2.745,-0.0806485242358869
2.75,-0.0809147205407566
2.755,-0.0811962824405427
2.76,-0.0814931792774025
2.765,-0.0818053904904133
2.77,-0.0821329051542792
2.775,-0.082475721493174
2.78,-0.082833846360369
2.785,-0.0832072946725182
2.79,-0.0835960887851495
2.795,-0.0840002577931378
2.8,-0.0844198367362906
2.805,-0.0848548656855969
2.81,-0.0853053886799839
2.815,-0.0857714524758527
2.82,-0.0862531050622668
2.825,-0.0867503938823594
2.83,-0.0872633636855592
2.835,-0.08779205391466
2.84,-0.0883364955046355
2.845,-0.0888967069345969
2.85,-0.089472689327503
2.855,-0.0900644203301458
2.86,-0.0906718464235839
2.865,-0.0912948732043863
2.87,-0.0919333530309263
2.875,-0.0925870692340898
2.88,-0.0932557158341715
2.885,-0.0939388713675952
2.89,-0.0946359649930994
2.895,-0.095346232509555
2.9,-0.0960686592995113
2.905,-0.0968019066121596
2.91,-0.097544217295076
2.915,-0.098293297754548
2.92,-0.0990461761142752
2.925,-0.0997990455982884
2.93,-0.100547124015876
2.935,-0.101284608383271
2.94,-0.102004901890223
2.945,-0.102701471421674
2.95,-0.103369972274122
2.955,-0.104012535895813
2.96,-0.10464481973414
2.965,-0.105304285970642
2.97,-0.106053102649209
2.975,-0.106964668168857
2.98,-0.108091006691941
2.985,-0.109432244571469
2.99,-0.11093765338365
2.995,-0.112536745684443
3,-0.114170471250203
