"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.00257852749727901
2.005,-0.00258846609263725
2.01,-0.00259830163210284
2.015,-0.00260803604740541
2.02,-0.0026176712570793
2.025,-0.00262720916665711
2.03,-0.00263665166881123
2.035,-0.00264600064355035
2.04,-0.00265525795836774
2.045,-0.00266442546841169
2.05,-0.00267350501664156
2.055,-0.00268249843399826
2.06,-0.00269140753955445
2.065,-0.00270023414066578
2.07,-0.00270898003312884
2.075,-0.0027176470013382
2.08,-0.00272623681841345
2.085,-0.0027347512463756
2.09,-0.00274319203626254
2.095,-0.00275156092829674
2.1,-0.0027598596520066
2.105,-0.00276808992637668
2.11,-0.00277625345997877
2.115,-0.00278435195111153
2.12,-0.00279238708792865
2.125,-0.00280036054856792
2.13,-0.00280827400129477
2.135,-0.0028161291046102
2.14,-0.00282392750739335
2.145,-0.00283167084901326
2.15,-0.00283936075946376
2.155,-0.00284699885947043
2.16,-0.00285458676062161
2.165,-0.00286212606547634
2.17,-0.00286961836769059
2.175,-0.0028770652521242
2.18,-0.00288446829495364
2.185,-0.00289182906378665
2.19,-0.00289914911777117
2.195,-0.00290643000770133
2.2,-0.00291367327612825
2.205,-0.00292088045746417
2.21,-0.0029280530780836
2.215,-0.00293519265642741
2.22,-0.00294230070310309
2.225,-0.00294937872099268
2.23,-0.00295642820533466
2.235,-0.00296345064383969
2.24,-0.00297044751677248
2.245,-0.00297742029705396
2.25,-0.00298437045035096
2.255,-0.00299129943516872
2.26,-0.00299820870294345
2.265,-0.00300509969813294
2.27,-0.00301197385830233
2.275,-0.00301883261420706
2.28,-0.00302567738989022
2.285,-0.00303250960275774
2.29,-0.00303933066366519
2.295,-0.00304614197700258
2.3,-0.00305294494077346
2.305,-0.00305974094667879
2.31,-0.00306653138018347
2.315,-0.00307331762061952
2.32,-0.00308010104123814
2.325,-0.00308688300930327
2.33,-0.00309366488615134
2.335,-0.00310044802728679
2.34,-0.00310723378243024
2.345,-0.00311402349561497
2.35,-0.00312081850523898
2.355,-0.00312762014414793
2.36,-0.00313442973969978
2.365,-0.00314124861383037
2.37,-0.00314807808313058
2.375,-0.00315491945890131
2.38,-0.00316177404722971
2.385,-0.00316864314904701
2.39,-0.00317552806019706
2.395,-0.00318243007149806
2.4,-0.00318935046880718
2.405,-0.00319629053307846
2.41,-0.00320325154042071
2.415,-0.00321023476217661
2.42,-0.00321724146495071
2.425,-0.00322427291070105
2.43,-0.00323133035677301
2.435,-0.00323841505596487
2.44,-0.0032455282565867
2.445,-0.00325267120251151
2.45,-0.0032598451332341
2.455,-0.00326705128392031
2.46,-0.00327429088546684
2.465,-0.00328156516454374
2.47,-0.00328887534365811
2.475,-0.0032962226412033
2.48,-0.0033036082715024
2.485,-0.00331103344485937
2.49,-0.00331849936761988
