"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0330663403976246
2.005,-0.0335809652520058
2.01,-0.0341077366216215
2.015,-0.0346469737275714
2.02,-0.035199007405763
2.025,-0.0357641805894168
2.03,-0.0363428488149662
2.035,-0.0369353807527175
2.04,-0.0375421587635924
2.045,-0.0381635794834342
2.05,-0.0388000544363721
2.055,-0.0394520106789579
2.06,-0.0401198914767254
2.065,-0.0408041570151084
2.07,-0.0415052851466472
2.075,-0.042223772176563
2.08,-0.0429601336889894
2.085,-0.0437149054161713
2.09,-0.0444886441532248
2.095,-0.0452819287211056
2.1,-0.0460953609807122
2.105,-0.0469295669011364
2.11,-0.0477851976854044
2.115,-0.0486629309571445
2.12,-0.0495634720119363
2.125,-0.0504875551373479
2.13,-0.0514359450059028
2.135,-0.0524094381455115
2.14,-0.0534088644923044
2.145,-0.0544350890310079
2.15,-0.0554890135285048
2.155,-0.0565715783665169
2.16,-0.057683764479839
2.165,-0.0588265954069718
2.17,-0.0600011394605242
2.175,-0.0612085120252958
2.18,-0.0624498779924595
2.185,-0.0637264543390264
2.19,-0.0650395128622833
2.195,-0.0663903830797569
2.2,-0.0677804553059858
2.205,-0.0692111839182206
2.21,-0.070684090824151
2.215,-0.0722007691457127
2.22,-0.073762887134104
2.225,-0.0753721923323859
2.23,-0.077030516003189
2.235,-0.078739777840577
2.24,-0.0805019909864768
2.245,-0.0823192673738053
2.25,-0.0841938234201407
2.255,-0.0861279860977156
2.26,-0.088124199407578
2.265,-0.0901850312880464
2.27,-0.0923131809900384
2.275,-0.0945114869545117
2.28,-0.0967829352301669
2.285,-0.0991306684727797
2.29,-0.10155799557085
2.295,-0.104068401946174
2.3,-0.106665560581846
2.305,-0.109353343834791
2.31,-0.112135836094691
2.315,-0.115017347356383
2.32,-0.11800242777872
2.325,-0.121095883308888
2.33,-0.124302792458181
2.335,-0.1276285243225
2.34,-0.131078757948923
2.345,-0.134659503158469
2.35,-0.138377122944615
2.355,-0.142238357577524
2.36,-0.146250350555087
2.365,-0.150420676553992
2.37,-0.154757371547279
2.375,-0.159268965268889
2.38,-0.163964516221144
2.385,-0.168853649437489
2.39,-0.173946597230567
2.395,-0.179254243174659
2.4,-0.184788169591525
2.405,-0.190560708830338
2.41,-0.19658499865476
2.415,-0.202875042073992
2.42,-0.209445771979079
2.425,-0.216313120971092
2.43,-0.223494096793211
2.435,-0.231006863804075
2.44,-0.238870830954258
2.445,-0.247106746750387
2.45,-0.255736801711159
2.455,-0.264784738834808
2.46,-0.274275972606307
2.465,-0.28423771707232
2.47,-0.2946991234993
2.475,-0.305691428100872
2.48,-0.317248110269724
2.485,-0.329405061669503
2.49,-0.342200766425639
2.495,-0.355676492489888
2.5,-0.369876494028262
2.505,-0.384848224379831
2.51,-0.400642558733905
2.515,-0.417314025150152
2.52,-0.43492104186956
2.525,-0.453526157995212
2.53,-0.473196293515007
2.535,-0.494002973237386
2.54,-0.516022547448688
2.545,-0.539336389897583
2.55,-0.564031060973909
2.555,-0.590198420568315
2.56,-0.617935670952351
2.565,-0.647345304970473
2.57,-0.678534928742224
2.575,-0.711616920790253
2.58,-0.746707880908628
2.585,-0.783927812073022
2.59,-0.823398967249448
2.595,-0.865244280184034
2.6,-0.909585285452629
2.605,-0.956539418813823
2.61,-1.00621657527329
2.615,-1.05871479086874
2.62,-1.11411490747617
2.625,-1.17247408142615
2.63,-1.233818011197
2.635,-1.29813179318446
2.64,-1.36534937529016
2.645,-1.43534167479678
2.65,-1.50790356908555
2.655,-1.58274016337899
2.66,-1.65945299311129
2.665,-1.73752712602696
2.67,-1.81632047366671
2.675,-1.89505696721415
2.68,-1.97282553803039
2.685,-2.0485869820034
2.69,-2.1211906726708
2.695,-2.18940261243908
2.7,-2.25194539523313
2.705,-2.30754929120268
2.71,-2.35501196408378
2.715,-2.39326254360501
2.72,-2.42142426945107
2.725,-2.43886911617918
2.73,-2.4452580381059
2.735,-2.4405618645224
2.74,-2.42506025500824
2.745,-2.399319034187
2.75,-2.36414904730186
2.755,-2.32055182519912
2.76,-2.26965843946031
2.765,-2.21266788366285
2.77,-2.15079033092432
2.775,-2.0851990582197
2.78,-2.01699309811563
2.785,-1.94717110919267
2.79,-1.87661574946575
2.795,-1.8060870630512
2.8,-1.73622301966889
2.805,-1.66754529311203
2.81,-1.60046852426354
2.815,-1.53531159039647
2.82,-1.47230972042036
2.825,-1.41162660489497
2.83,-1.35336592116641
2.835,-1.29758191544768
2.84,-1.24428885353807
2.845,-1.19346927490603
2.85,-1.14508106869377
2.855,-1.09906344318355
2.86,-1.05534189018234
2.865,-1.01383225926962
2.87,-0.974444059224323
2.875,-0.937083099246088
2.88,-0.901653573768465
2.885,-0.868059683795356
2.89,-0.836206876166649
2.895,-0.806002770856661
2.9,-0.777357835852612
2.905,-0.750185859622095
2.91,-0.724404262765211
2.915,-0.699934283160115
2.92,-0.676701062688859
2.925,-0.654633658378398
2.93,-0.633664996400284
2.935,-0.613731783729284
2.94,-0.594774389260008
2.945,-0.576736703722054
2.95,-0.559565985732203
2.955,-0.543212699698995
2.96,-0.52763034998628
2.965,-0.512775314691289
2.97,-0.4986066815532
2.975,-0.485086087840739
2.98,-0.472177565539681
2.985,-0.459847392746482
2.99,-0.448063951850777
2.995,-0.436797594839128
3,-0.426020515860647
