"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0256936022038852
2.005,-0.026032474279052
2.01,-0.0263613580981062
2.015,-0.0266805710867096
2.02,-0.0269904550941498
2.025,-0.0272913799540306
2.03,-0.0275837474435942
2.035,-0.0278679956686188
2.04,-0.0281446038977348
2.045,-0.0284140978649307
2.05,-0.0286770555513487
2.055,-0.028934113446941
2.06,-0.0291859732780918
2.065,-0.0294334091684968
2.07,-0.0296772751761631
2.075,-0.0299185131190639
2.08,-0.0301581605643958
2.085,-0.0303973588112246
2.09,-0.0306373606431282
2.095,-0.0308795375659481
2.1,-0.0311253861771832
2.105,-0.0313765332387535
2.11,-0.0316347389472371
2.115,-0.031901897818999
2.12,-0.0321800365382482
2.125,-0.0324713080619474
2.13,-0.0327779812468548
2.135,-0.0331024252728678
2.14,-0.0334470881966731
2.145,-0.0338144690941237
2.15,-0.0342070834511176
2.155,-0.0346274217497673
2.16,-0.0350779015719005
2.165,-0.0355608139984812
2.17,-0.0360782656031425
2.175,-0.0366321178879586
2.18,-0.0372239265439179
2.185,-0.0378548833789844
2.19,-0.0385257640786623
2.195,-0.0392368850838155
2.2,-0.0399880727357491
2.205,-0.0407786474188044
2.21,-0.0416074247268145
2.215,-0.042472734729427
2.22,-0.0433724592922959
2.225,-0.0443040862158207
2.23,-0.0452647778217604
2.235,-0.0462514506564225
2.24,-0.047260862294218
2.245,-0.0482897008837113
2.25,-0.0493346731024046
2.255,-0.0503925865540387
2.26,-0.0514604232909619
2.265,-0.0525354019852017
2.27,-0.0536150272040697
2.275,-0.0546971251721289
2.28,-0.0557798662388655
2.285,-0.0568617749622544
2.29,-0.057941729229938
2.295,-0.059018950164421
2.3,-0.060092984708741
2.305,-0.0611636827906204
2.31,-0.0622311708496436
2.315,-0.0632958233191744
2.32,-0.0643582334152227
2.325,-0.0654191843269386
2.33,-0.0664796216493273
2.335,-0.0675406276634525
2.34,-0.0686033978629527
2.345,-0.0696692199518195
2.35,-0.0707394553989931
2.355,-0.0718155235278386
2.36,-0.0728988880404301
2.365,-0.0739910458228822
2.37,-0.0750935178451289
2.375,-0.0762078419514881
2.38,-0.0773355673339712
2.385,-0.0784782504845555
2.39,-0.0796374524333954
2.395,-0.0808147370944291
2.4,-0.0820116705567733
2.405,-0.0832298211778658
2.41,-0.0844707603523351
2.415,-0.0857360638474036
2.42,-0.0870273136118826
2.425,-0.0883460999804197
2.43,-0.0896940242081044
2.435,-0.0910727012823113
2.44,-0.0924837629692724
2.445,-0.0939288610620063
2.45,-0.0954096708043208
2.455,-0.0969278944724685
2.46,-0.0984852651021447
2.465,-0.100083550353605
2.47,-0.10172455651224
2.475,-0.103410132625817
2.48,-0.105142174782953
2.485,-0.106922630540455
2.49,-0.108753503509749
2.495,-0.110636858115084
2.5,-0.11257482453842
2.505,-0.114569603867958
2.51,-0.116623473469348
2.515,-0.118738792600503
2.52,-0.120918008293012
2.525,-0.123163661525083
2.53,-0.125478393713094
2.535,-0.127864953551031
2.54,-0.130326204229406
2.545,-0.132865131067824
2.55,-0.13548484959807
2.555,-0.138188614137513
2.56,-0.140979826895988
2.565,-0.143862047662698
2.57,-0.146839004123749
2.575,-0.14991460286505
2.58,-0.153092941120212
2.585,-0.156378319328079
2.59,-0.159775254570494
2.595,-0.163288494967047
2.6,-0.166923035110739
2.605,-0.170684132636144
2.61,-0.174577326020355
2.615,-0.17860845372644
2.62,-0.18278367480981
2.625,-0.18710949111957
2.63,-0.191592771240002
2.635,-0.196240776331844
2.64,-0.201061188049157
2.645,-0.20606213872557
2.65,-0.211252244043734
2.655,-0.216640638424254
2.66,-0.222237013395251
2.665,-0.22805165923186
2.67,-0.234095510186094
2.675,-0.240380193662725
2.68,-0.246918083736143
2.685,-0.253722359447414
2.69,-0.260807068370439
2.695,-0.268187195992192
2.7,-0.275878741515024
2.705,-0.283898800760319
2.71,-0.292265656933251
2.715,-0.300998880099436
2.72,-0.310119436327382
2.725,-0.319649807567769
2.73,-0.329614123473266
2.735,-0.340038306513924
2.74,-0.350950231915194
2.745,-0.362379904141883
2.75,-0.374359651875636
2.755,-0.386924343689728
2.76,-0.400111626918742
2.765,-0.413962192557313
2.77,-0.428520069409061
2.775,-0.443832951151734
2.78,-0.459952560497378
2.785,-0.476935055217812
2.79,-0.494841481489481
2.795,-0.513738280803034
2.8,-0.533697857600413
2.805,-0.554799215867506
2.81,-0.577128674149368
2.815,-0.600780669898263
2.82,-0.625858665748912
2.825,-0.652476172283536
2.83,-0.680757904153846
2.835,-0.710841089129294
2.84,-0.742876952815822
2.845,-0.777032405525135
2.85,-0.813491962179004
2.855,-0.852459931335128
2.86,-0.894162915576711
2.865,-0.938852672806677
2.87,-0.986809396659495
2.875,-1.03834548457066
2.88,-1.09380987437164
2.885,-1.15359304503369
2.89,-1.21813279489951
2.895,-1.28792093208399
2.9,-1.3635110375415
2.905,-1.44552749267369
2.91,-1.53467600170342
2.915,-1.63175588623886
2.92,-1.73767448801776
2.925,-1.85346408921215
2.93,-1.98030185273051
2.935,-2.11953340458817
2.94,-2.27270083669475
2.945,-2.4415761162667
2.95,-2.62820117007596
2.955,-2.8349363025355
2.96,-3.06451916022251
2.965,-3.32013725735857
2.97,-3.60551826436082
2.975,-3.92504405895648
2.98,-4.28389731843143
2.985,-4.68825382172618
2.99,-5.1455407208323
2.995,-5.66479276983569
3,-6.25715842301877
