"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0238624874586452
2.005,-0.0241029277745304
2.01,-0.0243465107936571
2.015,-0.0245932727644694
2.02,-0.0248432508580603
2.025,-0.0250964831879193
2.03,-0.0253530088302663
2.035,-0.0256128678449515
2.04,-0.0258761012969876
2.045,-0.0261427512786922
2.05,-0.0264128609324824
2.055,-0.0266864744743379
2.06,-0.0269636372179419
2.065,-0.0272443955995402
2.07,-0.0275287972035223
2.075,-0.0278168907887544
2.08,-0.0281087263157018
2.085,-0.0284043549743282
2.09,-0.028703829212848
2.095,-0.0290072027673066
2.1,-0.0293145306920678
2.105,-0.0296258693911775
2.11,-0.029941276650691
2.115,-0.0302608116719606
2.12,-0.0305845351059193
2.125,-0.0309125090883979
2.13,-0.031244797276523
2.135,-0.0315814648861837
2.14,-0.0319225787306847
2.145,-0.0322682072605374
2.15,-0.0326184206044799
2.155,-0.0329732906117604
2.16,-0.0333328908957184
2.165,-0.0336972968787062
2.17,-0.0340665858384041
2.175,-0.0344408369555757
2.18,-0.0348201313633043
2.185,-0.0352045521977822
2.19,-0.0355941846506793
2.195,-0.0359891160231692
2.2,-0.0363894357816541
2.205,-0.0367952356152785
2.21,-0.0372066094952322
2.215,-0.0376236537359993
2.22,-0.0380464670585224
2.225,-0.0384751506554395
2.23,-0.0389098082583943
2.235,-0.0393505462075577
2.24,-0.0397974735233853
2.245,-0.0402507019807495
2.25,-0.0407103461854824
2.255,-0.0411765236534342
2.26,-0.0416493548921781
2.265,-0.0421289634853845
2.27,-0.0426154761800466
2.275,-0.043109022976605
2.28,-0.0436097372220979
2.285,-0.0441177557064743
2.29,-0.0446332187621504
2.295,-0.0451562703669769
2.3,-0.0456870582506918
2.305,-0.0462257340050686
2.31,-0.0467724531978313
2.315,-0.0473273754905219
2.32,-0.0478906647604814
2.325,-0.0484624892270501
2.33,-0.0490430215822592
2.335,-0.0496324391260615
2.34,-0.0502309239063872
2.345,-0.0508386628641826
2.35,-0.0514558479835976
2.355,-0.0520826764475933
2.36,-0.0527193507991394
2.365,-0.0533660791082557
2.37,-0.0540230751451301
2.375,-0.0546905585595544
2.38,-0.0553687550669695
2.385,-0.0560578966413416
2.39,-0.0567582217152175
2.395,-0.0574699753872092
2.4,-0.0581934096372648
2.405,-0.0589287835500018
2.41,-0.0596763635465001
2.415,-0.0604364236249041
2.42,-0.0612092456101696
2.425,-0.0619951194134223
2.43,-0.0627943433012702
2.435,-0.0636072241755954
2.44,-0.0644340778641688
2.445,-0.0652752294226884
2.45,-0.0661310134486428
2.455,-0.0670017744076078
2.46,-0.067887866972467
2.465,-0.0687896563761936
2.47,-0.0697075187787672
2.475,-0.070641841648887
2.48,-0.0715930241611604
2.485,-0.0725614776094586
2.49,-0.0735476258372015
2.495,-0.0745519056853795
2.5,-0.0755747674590676
2.505,-0.0766166754133887
2.51,-0.0776781082597831
2.515,-0.0787595596935716
2.52,-0.0798615389437975
2.525,-0.0809845713464777
2.53,-0.0821291989423101
2.535,-0.0832959811000833
2.54,-0.0844854951670032
2.545,-0.0856983371472886
2.55,-0.0869351224103677
2.555,-0.0881964864302226
2.56,-0.0894830855573432
2.565,-0.0907955978249985
2.57,-0.0921347237914825
2.575,-0.0935011874202112
2.58,-0.0948957369995652
2.585,-0.0963191461044901
2.59,-0.0977722146020625
2.595,-0.0992557697032165
2.6,-0.100770667063102
2.605,-0.102317791932554
2.61,-0.103898060363402
2.615,-0.10551242047045
2.62,-0.107161853753129
2.625,-0.108847376480028
2.63,-0.110570041139672
2.635,-0.11233093796112
2.64,-0.114131196508215
2.645,-0.115971987351453
2.65,-0.117854523821789
2.655,-0.119780063850897
2.66,-0.121749911902661
2.665,-0.123765421001061
2.67,-0.1258279948598
2.675,-0.127939090119507
2.68,-0.130100218698565
2.685,-0.13231295026411
2.69,-0.134578914830121
2.695,-0.136899805489916
2.7,-0.139277381290921
2.705,-0.141713470260036
2.71,-0.144209972588444
2.715,-0.146768863985341
2.72,-0.149392199210609
2.725,-0.152082115797214
2.73,-0.154840837974687
2.735,-0.157670680805967
2.74,-0.160574054550499
2.745,-0.163553469267573
2.75,-0.166611539674629
2.755,-0.169750990276384
2.76,-0.172974660781637
2.765,-0.176285511825815
2.77,-0.17968663101852
2.775,-0.183181239336673
2.78,-0.186772697885315
2.785,-0.190464515049589
2.79,-0.194260354063136
2.795,-0.198164041019896
2.8,-0.202179573358109
2.805,-0.206311128847535
2.81,-0.210563075112911
2.815,-0.214939979729167
2.82,-0.21944662092632
2.825,-0.224087998944851
2.83,-0.22886934808509
2.835,-0.233796149497487
2.84,-0.238874144763837
2.845,-0.24410935032328
2.85,-0.249508072800693
2.855,-0.255076925299385
2.86,-0.26082284472437
2.865,-0.266753110207346
2.87,-0.272875362709766
2.875,-0.279197625885722
2.88,-0.28572832829249
2.885,-0.292476327042746
2.89,-0.29945093299941
2.895,-0.306661937621089
2.9,-0.314119641574075
2.905,-0.321834885234781
2.91,-0.329819081215463
2.915,-0.338084249055195
2.92,-0.346643052227903
2.925,-0.355508837629602
2.93,-0.364695677717853
2.935,-0.374218415487839
2.94,-0.384092712481293
2.945,-0.394335100036892
2.95,-0.404963034003364
2.955,-0.415994953149455
2.96,-0.427450341518056
2.965,-0.439349794984771
2.97,-0.45171509229397
2.975,-0.464569270857626
2.98,-0.477936707613431
2.985,-0.491843205248677
2.99,-0.506316084104181
2.995,-0.521384280077806
3,-0.537078448848718
