"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0361540720497392
2.005,-0.0368004570912345
2.01,-0.0374653359157957
2.015,-0.0381491911347195
2.02,-0.0388525270133359
2.025,-0.0395758704986326
2.03,-0.0403197723055843
2.035,-0.0410848080659817
2.04,-0.0418715795438821
2.045,-0.0426807159220472
2.05,-0.043512875164111
2.055,-0.0443687454575466
2.06,-0.0452490467429086
2.065,-0.0461545323352075
2.07,-0.0470859906438051
2.075,-0.0480442469975856
2.08,-0.0490301655828441
2.085,-0.0500446515018019
2.09,-0.0510886529602998
2.095,-0.0521631635940362
2.1,-0.0532692249432717
2.105,-0.0544079290869017
2.11,-0.0555804214476361
2.115,-0.0567879037809881
2.12,-0.0580316373618765
2.125,-0.059312946383785
2.13,-0.0606332215867263
2.135,-0.0619939241316536
2.14,-0.0633965897404839
2.145,-0.0648428331226132
2.15,-0.066334352710643
2.155,-0.0678729357300403
2.16,-0.0694604636297989
2.165,-0.0710989179034707
2.17,-0.0727903863328177
2.175,-0.0745370696892608
2.18,-0.0763412889315817
2.185,-0.0782054929420574
2.19,-0.0801322668472141
2.195,-0.082124340973914
2.2,-0.0841846004963551
2.205,-0.0863160958352403
2.21,-0.0885220538763124
2.215,-0.0908058900823914
2.22,-0.0931712215805645
2.225,-0.095621881314641
2.23,-0.0981619333623643
2.235,-0.100795689527451
2.24,-0.103527727328193
2.245,-0.10636290951761
2.25,-0.109306405284805
2.255,-0.112363713303763
2.26,-0.115540686814387
2.265,-0.118843560941529
2.27,-0.122278982481238
2.275,-0.125854042410104
2.28,-0.12957631140347
2.285,-0.133453878682324
2.29,-0.137495394547012
2.295,-0.141710116999536
2.3,-0.146107962905729
2.305,-0.150699564204895
2.31,-0.155496329738621
2.315,-0.160510513343838
2.32,-0.165755288938738
2.325,-0.171244833426138
2.33,-0.176994418348685
2.335,-0.183020511356622
2.34,-0.189340888694108
2.345,-0.19597476007765
2.35,-0.202942907533654
2.355,-0.210267839986127
2.36,-0.217973965645081
2.365,-0.22608778454791
2.37,-0.234638103957086
2.375,-0.243656279727091
2.38,-0.253176487232261
2.385,-0.263236026008064
2.39,-0.273875662916776
2.395,-0.285140019423246
2.4,-0.297078009480268
2.405,-0.309743335603181
2.41,-0.323195051993392
2.415,-0.337498205091022
2.42,-0.352724563747756
2.425,-0.368953453372786
2.43,-0.386272710993012
2.435,-0.404779781274704
2.44,-0.424582977292479
2.445,-0.445802934343361
2.45,-0.46857429056411
2.455,-0.493047634738282
2.46,-0.519391769747758
2.465,-0.547796349975095
2.47,-0.578474963028312
2.475,-0.611668740981871
2.48,-0.647650604594756
2.485,-0.686730266551627
2.49,-0.729260147789649
2.495,-0.775642395846243
2.5,-0.826337237721677
2.505,-0.881872954358679
2.51,-0.942857832565525
2.515,-1.0099945370551
2.52,-1.08409745551113
2.525,-1.16611371022417
2.53,-1.25714871026609
2.535,-1.35849735120204
2.54,-1.47168227273255
2.545,-1.59850098356947
2.55,-1.74108419383476
2.555,-1.90196841304658
2.56,-2.08418686095316
2.565,-2.29138413461931
2.57,-2.52796210308235
2.575,-2.79926754659802
2.58,-3.11183680606422
2.585,-3.47372041471473
2.59,-3.8949237220083
2.595,-4.3880225304591
2.6,-4.96905518227191
2.605,-5.65887443123791
2.61,-6.48530911257789
2.615,-7.48684712668501
2.62,-8.71940143963457
2.625,-10.2699456861596
2.63,-12.2875412756459
2.635,-15.067409702298
2.64,-19.3545330726787
2.645,-28.3859427031387
2.65,-29.3584697880268
2.655,-19.7347255747609
2.66,-15.3458217923282
2.665,-12.5372488697818
2.67,-10.513512511162
2.675,-8.9652653740422
2.68,-7.7379739811353
2.685,-6.74220021216373
2.69,-5.92087248692967
2.695,-5.23499241267921
2.7,-4.65656485688414
2.705,-4.16475586755223
2.71,-3.74364116500253
2.715,-3.38080180799156
2.72,-3.06640151243252
2.725,-2.79255377118731
2.73,-2.55287224134218
2.735,-2.3421421757235
2.74,-2.15607483811246
2.745,-1.99112061898475
2.75,-1.84432476075915
2.755,-1.7132146696859
2.76,-1.5957110453743
2.765,-1.49005722005151
2.77,-1.3947625789345
2.775,-1.30855697254496
2.78,-1.23035377859355
2.785,-1.15921981766328
2.79,-1.09435073321116
2.795,-1.03505075228795
2.8,-0.980715976128034
2.805,-0.930820528470037
2.81,-0.88490502774045
2.815,-0.84256695693726
2.82,-0.803452589445432
2.825,-0.767250195500596
2.83,-0.733684306650264
2.835,-0.702510857419436
2.84,-0.673513056818277
2.845,-0.6464978691385
2.85,-0.62129300506752
2.855,-0.597744341588835
2.86,-0.57571370327949
2.865,-0.555076949124211
2.87,-0.535722318362775
2.875,-0.517548996585203
2.88,-0.500465869615774
2.885,-0.484390437942086
2.89,-0.469247868757802
2.895,-0.454970166264061
2.9,-0.441495443849153
2.905,-0.42876728424686
2.91,-0.416734175848989
2.915,-0.405349015087633
2.92,-0.394568666265692
2.925,-0.38435357144768
2.93,-0.37466740406484
2.935,-0.365476760771694
2.94,-0.3567508868407
2.945,-0.348461431019924
2.95,-0.340582226322835
2.955,-0.333089093684827
2.96,-0.325959665819736
2.965,-0.319173228952017
2.97,-0.312710580394807
2.975,-0.306553900198071
2.98,-0.300686635310352
2.985,-0.295093394887623
2.99,-0.289759855547278
2.995,-0.284672675508366
3,-0.279819416683679
