"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0273394729251553
2.005,-0.0276563006781074
2.01,-0.0279767771315997
2.015,-0.0283009415255881
2.02,-0.0286288340898057
2.025,-0.0289604960596686
2.03,-0.0292959696926189
2.035,-0.0296352982848594
2.04,-0.0299785261885523
2.045,-0.0303256988294475
2.05,-0.0306768627249748
2.055,-0.0310320655028221
2.06,-0.0313913559199559
2.065,-0.0317547838821831
2.07,-0.0321224004641804
2.075,-0.0324942579300598
2.08,-0.0328704097544836
2.085,-0.0332509106442822
2.09,-0.0336358165606806
2.095,-0.0340251847420701
2.1,-0.0344190737273873
2.105,-0.034817543380087
2.11,-0.0352206549127545
2.115,-0.0356284709123487
2.12,-0.0360410553660982
2.125,-0.0364584736880869
2.13,-0.0368807927465239
2.135,-0.0373080808917311
2.14,-0.0377404079848637
2.145,-0.0381778454273882
2.15,-0.0386204661913279
2.155,-0.0390683448503153
2.16,-0.0395215576114565
2.165,-0.0399801823480423
2.17,-0.0404442986331318
2.175,-0.0409139877740209
2.18,-0.041389332847633
2.185,-0.0418704187368497
2.19,-0.0423573321678383
2.195,-0.0428501617483276
2.2,-0.0433489980069883
2.205,-0.0438539334338048
2.21,-0.0443650625215898
2.215,-0.0448824818085949
2.22,-0.0454062899223048
2.225,-0.0459365876244009
2.23,-0.0464734778569718
2.235,-0.0470170657899955
2.24,-0.0475674588701137
2.245,-0.0481247668707695
2.25,-0.048689101943713
2.255,-0.0492605786719691
2.26,-0.0498393141242468
2.265,-0.050425427910893
2.27,-0.0510190422414109
2.275,-0.0516202819835969
2.28,-0.0522292747243419
2.285,-0.0528461508321538
2.29,-0.0534710435214766
2.295,-0.0541040889188305
2.3,-0.0547454261308273
2.305,-0.0553951973141641
2.31,-0.0560535477476375
2.315,-0.0567206259062111
2.32,-0.0573965835372621
2.325,-0.0580815757390215
2.33,-0.0587757610413347
2.335,-0.059479301488761
2.34,-0.0601923627261428
2.345,-0.0609151140866869
2.35,-0.0616477286826575
2.355,-0.0623903834987692
2.36,-0.0631432594883823
2.365,-0.0639065416725393
2.37,-0.0646804192420279
2.375,-0.0654650856624894
2.38,-0.0662607387827307
2.385,-0.067067580946302
2.39,-0.0678858191065274
2.395,-0.0687156649449854
2.4,-0.0695573349937095
2.405,-0.0704110507610903
2.41,-0.0712770388617298
2.415,-0.0721555311502905
2.42,-0.0730467648595325
2.425,-0.073950982742686
2.43,-0.0748684332202696
2.435,-0.0757993705315702
2.44,-0.076744054890888
2.445,-0.0777027526487696
2.45,-0.0786757364583527
2.455,-0.0796632854470833
2.46,-0.0806656853938961
2.465,-0.0816832289121466
2.47,-0.0827162156384467
2.475,-0.0837649524276423
2.48,-0.0848297535541379
2.485,-0.0859109409198312
2.49,-0.0870088442688582
2.495,-0.0881238014094283
2.5,-0.0892561584430015
2.505,-0.0904062700010853
2.51,-0.0915744994899057
2.515,-0.0927612193432939
2.52,-0.0939668112840567
2.525,-0.0951916665941434
2.53,-0.0964361863939955
2.535,-0.0977007819313305
2.54,-0.0989858748798279
2.545,-0.100291897647986
2.55,-0.101619293698627
2.555,-0.102968517879379
2.56,-0.10434003676463
2.565,-0.105734329009321
2.57,-0.10715188571509
2.575,-0.108593210809211
2.58,-0.110058821436859
2.585,-0.111549248367154
2.59,-0.113065036413616
2.595,-0.114606744869495
2.6,-0.116174947958644
2.605,-0.11777023530247
2.61,-0.119393212403675
2.615,-0.121044501147407
2.62,-0.122724740320475
2.625,-0.124434586149461
2.63,-0.126174712858348
2.635,-0.127945813246566
2.64,-0.129748599288175
2.645,-0.131583802753116
2.65,-0.133452175851371
2.655,-0.135354491900988
2.66,-0.137291546020907
2.665,-0.139264155849664
2.67,-0.141273162290924
2.675,-0.143319430287072
2.68,-0.145403849621875
2.685,-0.147527335753544
2.69,-0.149690830679347
2.695,-0.151895303833141
2.7,-0.154141753017152
2.705,-0.15643120536945
2.71,-0.158764718368611
2.715,-0.161143380877071
2.72,-0.163568314224867
2.725,-0.166040673335398
2.73,-0.168561647895005
2.735,-0.17113246356819
2.74,-0.173754383260442
2.745,-0.176428708430647
2.75,-0.179156780455197
2.755,-0.181939982046001
2.76,-0.184779738724665
2.765,-0.187677520355295
2.77,-0.190634842738333
2.775,-0.193653269268126
2.78,-0.196734412656902
2.785,-0.199879936728016
2.79,-0.203091558281432
2.795,-0.206371049034579
2.8,-0.209720237641749
2.805,-0.213141011795517
2.81,-0.216635320413611
2.815,-0.220205175915019
2.82,-0.2238526565891
2.825,-0.227579909061752
2.83,-0.23138915086281
2.835,-0.235282673099069
2.84,-0.239262843237442
2.845,-0.243332108003044
2.85,-0.247492996397131
2.855,-0.251748122840066
2.86,-0.256100190444697
2.865,-0.260551994425719
2.87,-0.26510642565089
2.875,-0.269766474340152
2.88,-0.274535233918999
2.885,-0.279415905032608
2.89,-0.284411799727643
2.895,-0.289526345808781
2.9,-0.294763091377355
2.905,-0.30012570955975
2.91,-0.30561800343352
2.915,-0.311243911159446
2.92,-0.317007511328037
2.925,-0.322913028529356
2.93,-0.328964839155237
2.935,-0.335167477443339
2.94,-0.341525641772804
2.945,-0.348044201221482
2.95,-0.354728202395071
2.955,-0.361582876538818
2.96,-0.368613646942596
2.965,-0.375826136650572
2.97,-0.383226176486849
2.975,-0.390819813408708
2.98,-0.398613319199324
2.985,-0.406613199511955
2.99,-0.414826203277785
2.995,-0.423259332489679
3,-0.4319198523742
