"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.224048497173537
2.005,-0.241670850729155
2.01,-0.261297842075769
2.015,-0.283225498635915
2.02,-0.307802250471343
2.025,-0.335439301498292
2.03,-0.366623057262805
2.035,-0.401929893861744
2.04,-0.44204347257501
2.045,-0.48777459766131
2.05,-0.540083174565037
2.055,-0.600100971835688
2.06,-0.6691523222374
2.065,-0.748767135211646
2.07,-0.840675901514614
2.075,-0.94676873690814
2.08,-1.06898878520995
2.085,-1.20911387080824
2.09,-1.36836103361432
2.095,-1.54673533705155
2.1,-1.74206102375608
2.105,-1.94872784250848
2.11,-2.15642473153334
2.115,-2.34953894567745
2.12,-2.50828350426654
2.125,-2.61242238085726
2.13,-2.64708152953214
2.135,-2.60804234137165
2.14,-2.50325000885744
2.145,-2.34953705798007
2.15,-2.16682763086941
2.155,-1.97308859236717
2.16,-1.78173220952082
2.165,-1.60126186767947
2.17,-1.43614305876404
2.175,-1.28801314490183
2.18,-1.15675738971183
2.185,-1.0413007717943
2.19,-0.940127347208486
2.195,-0.851592411073637
2.2,-0.774094792553457
2.205,-0.706161770409764
2.21,-0.646482646297243
2.215,-0.593913942664132
2.22,-0.547470120926317
2.225,-0.506307868840924
2.23,-0.469708412722452
2.235,-0.437060178891659
2.24,-0.407842904040345
2.245,-0.381613614289825
2.25,-0.35799453217383
2.255,-0.336662793072706
2.26,-0.317341776827066
2.265,-0.299793839223721
2.27,-0.283814234810526
2.275,-0.269226041960394
2.28,-0.25587592506219
2.285,-0.24363059290531
2.29,-0.232373834704795
2.295,-0.222004034961711
2.3,-0.212432085291943
2.305,-0.203579625627398
2.31,-0.19537755907878
2.315,-0.187764794573725
2.32,-0.180687179467305
2.325,-0.174096590953959
2.33,-0.16795016054368
2.335,-0.162209610315651
2.34,-0.156840683308813
2.345,-0.151812653398885
2.35,-0.147097902467046
2.355,-0.14267155468493
2.36,-0.138511159405101
2.365,-0.134596415520678
2.37,-0.130908931295096
2.375,-0.127432014606704
2.38,-0.124150489337244
2.385,-0.121050534287206
2.39,-0.11811954154707
2.395,-0.115345991711059
2.4,-0.112719343703832
2.405,-0.110229937313749
2.41,-0.107868906798803
2.415,-0.105628104161748
2.42,-0.103500030886144
2.425,-0.10147777709091
2.43,-0.0995549672021024
2.435,-0.09772571136105
2.44,-0.0959845618909667
2.445,-0.0943264742322914
2.45,-0.0927467718328766
2.455,-0.0912411145441604
2.46,-0.0898054701307169
2.465,-0.0884360885490615
2.47,-0.0871294786935943
2.475,-0.0858823873439383
2.48,-0.0846917800795908
2.485,-0.083554823955278
2.49,-0.0824688717544453
2.495,-0.0814314476592021
2.5,-0.0804402341934453
2.505,-0.0794930603118145
2.51,-0.0785878905213878
2.515,-0.0777228149352572
2.52,-0.0768960401681016
2.525,-0.0761058809935232
2.53,-0.075350752691273
2.535,-0.0746291640201746
2.54,-0.0739397107590154
2.545,-0.0732810697637257
2.55,-0.072651993494304
2.555,-0.0720513049696528
2.56,-0.0714778931125599
2.565,-0.0709307084508934
2.57,-0.0704087591442017
2.575,-0.0699111073079935
2.58,-0.0694368656105402
2.585,-0.0689851941194492
2.59,-0.0685552973772895
2.595,-0.0681464216876307
2.6,-0.0677578525942849
2.605,-0.0673889125384232
2.61,-0.0670389586793114
2.615,-0.0667073808658663
2.62,-0.0663935997472678
2.625,-0.0660970650119213
2.63,-0.0658172537449498
2.635,-0.0655536688952755
2.64,-0.0653058378440872
2.645,-0.0650733110671393
2.65,-0.0648556608840354
2.655,-0.0646524802881543
2.66,-0.0644633818513702
2.665,-0.0642879966982861
2.67,-0.0641259735450216
2.675,-0.063976977798035
2.68,-0.0638406907088386
2.685,-0.0637168085807242
2.69,-0.0636050420240063
2.695,-0.063505115256441
2.7,-0.0634167654458617
2.705,-0.0633397420922065
2.71,-0.063273806446338
2.715,-0.0632187309633038
2.72,-0.0631742987877695
2.725,-0.0631403032696034
2.73,-0.0631165475077265
2.735,-0.0631028439203846
2.74,-0.06309901384029
2.745,-0.0631048871330518
2.75,-0.0631203018374983
2.755,-0.0631451038265709
2.76,-0.0631791464875614
2.765,-0.0632222904205613
2.77,-0.063274403154047
2.775,-0.0633353588766238
2.78,-0.0634050381839907
2.785,-0.0634833278403005
2.79,-0.0635701205530578
2.795,-0.0636653147608614
2.8,-0.0637688144332492
2.805,-0.0638805288820353
2.81,-0.0640003725834886
2.815,-0.0641282650108042
2.82,-0.0642641304763326
2.825,-0.064407897983079
2.83,-0.0645595010849771
2.835,-0.0647188777555469
2.84,-0.064885970264481
2.845,-0.0650607250618122
2.85,-0.065243092669305
2.855,-0.0654330275787139
2.86,-0.0656304881566158
2.865,-0.0658354365555339
2.87,-0.0660478386310325
2.875,-0.0662676638646035
2.88,-0.0664948852920322
2.885,-0.066729479437072
2.89,-0.0669714262501719
2.895,-0.0672207090521183
2.9,-0.0674773144823567
2.905,-0.0677412324518555
2.91,-0.0680124561003454
2.915,-0.0682909817577816
2.92,-0.0685768089098858
2.925,-0.0688699401676822
2.93,-0.0691703812408397
2.935,-0.0694781409147699
2.94,-0.0697932310313639
2.945,-0.070115666473243
2.95,-0.0704454651514962
2.955,-0.0707826479967602
2.96,-0.0711272389536318
2.965,-0.071479264978296
2.97,-0.0718387560393323
2.975,-0.0722057451216642
2.98,-0.0725802682335629
2.985,-0.0729623644166887
2.99,-0.0733520757591387
2.995,-0.0737494474114451
3,-0.0741545276055154
