"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0298115291467195
2.005,-0.0300924621119292
2.01,-0.0303800047318497
2.015,-0.0306742028271052
2.02,-0.0309751036721531
2.025,-0.0312827560515314
2.03,-0.0315972103173777
2.035,-0.0319185184482578
2.04,-0.0322467341093805
2.045,-0.0325819127142338
2.05,-0.0329241114877123
2.055,-0.0332733895307826
2.06,-0.0336298078867707
2.065,-0.0339934296093144
2.07,-0.034364319832056
2.075,-0.0347425458401423
2.08,-0.0351281771436136
2.085,-0.0355212855527436
2.09,-0.0359219452554037
2.095,-0.0363302328965684
2.1,-0.0367462276599807
2.105,-0.0371700113521383
2.11,-0.037601668488632
2.115,-0.0380412863829661
2.12,-0.038488955237954
2.125,-0.038944768239754
2.13,-0.0394088216547249
2.135,-0.0398812149291428
2.14,-0.0403620507919263
2.145,-0.040851435360488
2.15,-0.0413494782498422
2.155,-0.0418562926850853
2.16,-0.0423719956173967
2.165,-0.0428967078436993
2.17,-0.043430554130131
2.175,-0.0439736633394855
2.18,-0.0445261685627611
2.185,-0.0450882072550199
2.19,-0.0456599213757316
2.195,-0.0462414575337356
2.2,-0.0468329671370936
2.205,-0.0474346065479799
2.21,-0.048046537242818
2.215,-0.0486689259779394
2.22,-0.0493019449609164
2.225,-0.0499457720278862
2.23,-0.0506005908270657
2.235,-0.0512665910087512
2.24,-0.0519439684220769
2.245,-0.0526329253188036
2.25,-0.0533336705644704
2.255,-0.0540464198572265
2.26,-0.0547713959546309
2.265,-0.0555088289088699
2.27,-0.0562589563106425
2.275,-0.0570220235421984
2.28,-0.0577982840398902
2.285,-0.0585879995666625
2.29,-0.0593914404949547
2.295,-0.0602088861004704
2.3,-0.0610406248672981
2.305,-0.061886954804942
2.31,-0.0627481837777702
2.315,-0.0636246298474771
2.32,-0.064516621629167
2.325,-0.0654244986616983
2.33,-0.0663486117929457
2.335,-0.0672893235807099
2.34,-0.0682470087100018
2.345,-0.0692220544275082
2.35,-0.0702148609940478
2.355,-0.0712258421558974
2.36,-0.0722554256359323
2.365,-0.0733040536455067
2.37,-0.0743721834181615
2.375,-0.0754602877661855
2.38,-0.0765688556612387
2.385,-0.0776983928401639
2.39,-0.0788494224373756
2.395,-0.0800224856450713
2.4,-0.0812181424027733
2.405,-0.0824369721176986
2.41,-0.0836795744175097
2.415,-0.0849465699372281
2.42,-0.0862386011420525
2.425,-0.0875563331879901
2.43,-0.0889004548223531
2.435,-0.0902716793262226
2.44,-0.0916707455011913
2.445,-0.0930984187027751
2.45,-0.094555491923035
2.455,-0.0960427869251944
2.46,-0.0975611554330518
2.465,-0.0991114803783512
2.47,-0.100694677209294
2.475,-0.102311695263743
2.48,-0.103963519210743
2.485,-0.105651170564348
2.49,-0.10737570927394
2.495,-0.109138235395467
2.5,-0.110939890848425
2.505,-0.112781861263614
2.51,-0.114665377927104
2.515,-0.116591719826215
2.52,-0.118562215803654
2.525,-0.120578246826432
2.53,-0.122641248376633
2.535,-0.124752712971547
2.54,-0.126914192821246
2.545,-0.129127302632291
2.55,-0.13139372256676
2.555,-0.133715201366571
2.56,-0.136093559653696
2.565,-0.138530693417708
2.57,-0.141028577702852
2.575,-0.14358927050783
2.58,-0.146214916912416
2.585,-0.148907753446009
2.59,-0.151670112714547
2.595,-0.154504428303267
2.6,-0.157413239974266
2.605,-0.16039919917917
2.61,-0.163465074908949
2.615,-0.166613759904494
2.62,-0.169848277253524
2.625,-0.173171787401419
2.63,-0.176587595605782
2.635,-0.180099159866971
2.64,-0.183710099369423
2.645,-0.187424203471564
2.65,-0.191245441285131
2.655,-0.195177971888215
2.66,-0.199226155220096
2.665,-0.203394563709983
2.67,-0.207687994696307
2.675,-0.212111483698097
2.68,-0.216670318605393
2.685,-0.221370054861476
2.69,-0.226216531716328
2.695,-0.231215889637687
2.7,-0.23637458897404
2.705,-0.241699429972478
2.71,-0.247197574263788
2.715,-0.252876567937708
2.72,-0.258744366342784
2.725,-0.264809360758012
2.73,-0.271080407097555
2.735,-0.277566856825449
2.74,-0.284278590274379
2.745,-0.291226052581828
2.75,-0.298420292478024
2.755,-0.305873004183658
2.76,-0.313596572701538
2.765,-0.321604122815289
2.77,-0.329909572140733
2.775,-0.33852768861145
2.78,-0.347474152820283
2.785,-0.356765625683515
2.79,-0.366419821944319
2.795,-0.376455590088428
2.8,-0.386892999307493
2.805,-0.397753434216115
2.81,-0.409059698107321
2.815,-0.420836125619937
2.82,-0.433108705790925
2.825,-0.44590521657784
2.83,-0.459255372062907
2.835,-0.473190983692662
2.84,-0.487746137067961
2.845,-0.502957385980946
2.85,-0.51886396560129
2.855,-0.535508026947125
2.86,-0.552934895040333
2.865,-0.571193353446015
2.87,-0.590335958237061
2.875,-0.610419384813023
2.88,-0.631504811444717
2.885,-0.653658343920688
2.89,-0.676951486247754
2.895,-0.701461663016894
2.9,-0.72727279979985
2.905,-0.754475968806584
2.91,-0.783170108025837
2.915,-0.813462823211191
2.92,-0.84547128338694
2.925,-0.879323222059407
2.93,-0.915158058063086
2.935,-0.953128151985423
2.94,-0.993400216445345
2.945,-1.03615690120204
2.95,-1.08159857720703
2.955,-1.1299453473607
2.96,-1.18143931598635
2.965,-1.23634715400242
2.97,-1.29496300259136
2.975,-1.35761176499946
2.98,-1.42465284415898
2.985,-1.49648439336188
2.99,-1.57354815855525
2.995,-1.65633500439023
3,-1.74539123247662
