"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0165775097929106
2.005,-0.0167051121870752
2.01,-0.0168345398065209
2.015,-0.0169658219778823
2.02,-0.0170989887874539
2.025,-0.0172340711037365
2.03,-0.0173711006008083
2.035,-0.0175101097825495
2.04,-0.0176511320077617
2.045,-0.0177942015162205
2.05,-0.0179393534557011
2.055,-0.0180866239100155
2.06,-0.0182360499280839
2.065,-0.0183876695541408
2.07,-0.0185415218590543
2.075,-0.018697646972857
2.08,-0.0188560861185247
2.085,-0.0190168816470387
2.09,-0.0191800770738364
2.095,-0.0193457171166497
2.1,-0.0195138477348453
2.105,-0.0196845161702975
2.11,-0.0198577709898868
2.115,-0.020033662129684
2.12,-0.0202122409408902
2.125,-0.0203935602376447
2.13,-0.0205776743467333
2.135,-0.0207646391593401
2.14,-0.0209545121848986
2.145,-0.0211473526071525
2.15,-0.0213432213425476
2.155,-0.021542181101012
2.16,-0.0217442964493132
2.165,-0.0219496338770543
2.17,-0.0221582618654437
2.175,-0.0223702509590246
2.18,-0.0225856738404189
2.185,-0.0228046054083215
2.19,-0.0230271228588462
2.195,-0.0232533057704066
2.2,-0.023483236192317
2.205,-0.023716998737284
2.21,-0.0239546806779999
2.215,-0.0241963720480158
2.22,-0.0244421657471727
2.225,-0.0246921576517368
2.23,-0.0249464467295715
2.235,-0.0252051351605418
2.24,-0.0254683284624587
2.245,-0.0257361356228401
2.25,-0.026008669236804
2.255,-0.0262860456514146
2.26,-0.0265683851168351
2.265,-0.0268558119446374
2.27,-0.0271484546736835
2.275,-0.0274464462439707
2.28,-0.0277499241788879
2.285,-0.0280590307763387
2.29,-0.0283739133092606
2.295,-0.0286947242360082
2.3,-0.0290216214212181
2.305,-0.0293547683677121
2.31,-0.0296943344600973
2.315,-0.0300404952207247
2.32,-0.0303934325787116
2.325,-0.030753335152833
2.33,-0.0311203985490655
2.335,-0.0314948256736611
2.34,-0.0318768270626855
2.345,-0.0322666212290213
2.35,-0.0326644350278784
2.355,-0.0330705040419472
2.36,-0.0334850729874276
2.365,-0.0339083961422028
2.37,-0.0343407377975466
2.375,-0.0347823727348833
2.38,-0.0352335867291299
2.385,-0.0356946770803779
2.39,-0.0361659531757291
2.395,-0.0366477370832202
2.4,-0.0371403641799808
2.405,-0.0376441838168475
2.41,-0.038159560021902
2.415,-0.0386868722455181
2.42,-0.0392265161497399
2.425,-0.0397789044450109
2.43,-0.0403444677775455
2.435,-0.040923655670785
2.44,-0.0415169375248348
2.445,-0.0421248036778693
2.45,-0.0427477665339744
2.455,-0.0433863617622246
2.46,-0.0440411495720779
2.465,-0.0447127160707515
2.47,-0.045401674708588
2.475,-0.0461086678189533
2.48,-0.0468343682597974
2.485,-0.04757948116456
2.49,-0.0483447458108043
2.495,-0.0491309376156744
2.5,-0.0499388702680229
2.505,-0.050769398008046
2.51,-0.0516234180660561
2.515,-0.0525018732732316
2.52,-0.0534057548582431
2.525,-0.054336105444969
2.53,-0.0552940222679339
2.535,-0.0562806606236346
2.54,-0.0572972375776415
2.545,-0.0583450359492855
2.55,-0.0594254085978179
2.555,-0.0605397830362534
2.56,-0.0616896664017524
2.565,-0.0628766508141668
2.57,-0.0641024191576624
2.575,-0.0653687513238214
2.58,-0.0666775309586105
2.585,-0.0680307527599637
2.59,-0.0694305303777353
2.595,-0.0708791049731873
2.6,-0.0723788545014223
2.605,-0.0739323037869805
2.61,-0.0755421354706644
2.615,-0.077211201914277
2.62,-0.0789425381597795
2.625,-0.0807393760504063
2.63,-0.0826051596336735
2.635,-0.0845435619803197
2.64,-0.0865585035690604
2.645,-0.0886541724050575
2.65,-0.0908350460604451
2.655,-0.0931059158484382
2.66,-0.0954719133689988
2.665,-0.097938539694134
2.67,-0.100511697495269
2.675,-0.10319772645457
2.68,-0.106003442347003
2.685,-0.108936180231879
2.69,-0.112003842251908
2.695,-0.115214950606541
2.7,-0.118578706345399
2.705,-0.12210505471916
2.71,-0.125804757931434
2.715,-0.129689476258298
2.72,-0.133771858645635
2.725,-0.138065644061733
2.73,-0.142585775078183
2.735,-0.147348525381308
2.74,-0.152371643185587
2.745,-0.157674512837605
2.75,-0.16327833727318
2.755,-0.169206344433316
2.76,-0.175484021270162
2.765,-0.18213937959961
2.77,-0.189203258803386
2.775,-0.196709671276794
2.78,-0.204696197590171
2.785,-0.21320443962317
2.79,-0.222280541490036
2.795,-0.231975789963533
2.8,-0.242347308402655
2.805,-0.253458860992157
2.81,-0.265381787534394
2.815,-0.278196093251994
2.82,-0.291991723263579
2.825,-0.306870057839028
2.83,-0.32294567255368
2.835,-0.340348417464966
2.84,-0.359225881978565
2.845,-0.379746327866589
2.85,-0.402102192880539
2.855,-0.426514292790183
2.86,-0.453236882092267
2.865,-0.4825637752117
2.87,-0.514835783615391
2.875,-0.550449793694484
2.88,-0.589869900679002
2.885,-0.633641132168517
2.89,-0.682406450511058
2.895,-0.736927929082582
2.9,-0.798113271102315
2.905,-0.867049205171217
2.91,-0.94504378270053
2.915,-1.03368026528042
2.92,-1.13488618973408
2.925,-1.25102242637844
2.93,-1.38499873137996
2.935,-1.54042462325809
2.94,-1.72180765958725
2.945,-1.93481576488369
2.95,-2.1866268123624
2.955,-2.48639826345774
2.96,-2.84590420231726
2.965,-3.28041005195601
2.97,-3.80989328936959
2.975,-4.4607842397109
2.98,-5.26851622322439
2.985,-6.28136103390692
2.99,-7.56620429734955
2.995,-9.21617710800301
3,-11.3516124296743
