"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.00274247276842428
2.005,-0.00275209505633368
2.01,-0.00276162433698415
2.015,-0.00277106212259726
2.02,-0.00278040993467227
2.025,-0.00278966930508191
2.03,-0.00279884177730986
2.035,-0.00280792890779539
2.04,-0.00281693226740821
2.045,-0.00282585344306029
2.05,-0.00283469403949231
2.055,-0.00284345568121354
2.06,-0.00285214001466252
2.065,-0.00286074871055216
2.07,-0.00286928346649445
2.075,-0.0028777460098616
2.08,-0.0028861381009646
2.085,-0.00289446153655583
2.09,-0.00290271815372146
2.095,-0.00291090983416362
2.1,-0.00291903850899376
2.105,-0.00292710616400368
2.11,-0.00293511484557214
2.115,-0.0029430666672112
2.12,-0.00295096381687363
2.125,-0.00295880856510927
2.13,-0.00296660327417358
2.135,-0.00297435040823877
2.14,-0.00298205254482249
2.145,-0.00298971238762102
2.15,-0.00299733278095164
2.155,-0.00300491672600862
2.16,-0.00301246739920103
2.165,-0.00301998817288302
2.17,-0.00302748263881035
2.175,-0.0030349546347621
2.18,-0.00304240827479353
2.185,-0.00304984798366902
2.19,-0.00305727853617247
2.195,-0.00306470510204016
2.2,-0.00307213329748238
2.205,-0.00307956924434856
2.21,-0.00308701963826603
2.215,-0.0030944918272999
2.22,-0.00310199390298925
2.225,-0.00310953480600248
2.23,-0.00311712444910729
2.235,-0.00312477386071419
2.24,-0.00313249535292266
2.245,-0.00314030271894008
2.25,-0.00314821146574268
2.255,-0.00315623908924771
2.26,-0.00316440540096598
2.265,-0.0031727329172551
2.27,-0.00318124732506567
2.275,-0.00318997804155422
2.28,-0.00319895888952615
2.285,-0.0032082289164883
2.29,-0.00321783339283507
2.295,-0.00322782503464507
2.3,-0.00323826551003767
2.305,-0.00324922730565424
2.31,-0.00326079605383263
2.315,-0.00327307345332401
2.32,-0.00328618096077962
2.325,-0.00330026449138668
2.33,-0.00331550045252216
2.335,-0.00333210355482576
2.34,-0.00335033701734875
2.345,-0.00337052603239398
