"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0181114201938312
2.005,-0.0182453124174608
2.01,-0.0183795920982421
2.015,-0.0185142924198999
2.02,-0.0186494462592171
2.025,-0.018785086191401
2.03,-0.0189212444954252
2.035,-0.0190579531593757
2.04,-0.0191952438858129
2.045,-0.0193331480971283
2.05,-0.0194716969409225
2.055,-0.0196109212953704
2.06,-0.0197508517746188
2.065,-0.0198915187342016
2.07,-0.0200329522764679
2.075,-0.0201751822560154
2.08,-0.0203182382851793
2.085,-0.0204621497395154
2.09,-0.0206069457633327
2.095,-0.0207526552752432
2.1,-0.0208993069737553
2.105,-0.0210469293428968
2.11,-0.0211955506578756
2.115,-0.0213451989907887
2.12,-0.0214959022163702
2.125,-0.0216476880177767
2.13,-0.0218005838924424
2.135,-0.0219546171579681
2.14,-0.0221098149580733
2.145,-0.0222662042686053
2.15,-0.022423811903607
2.155,-0.0225826645214452
2.16,-0.0227427886310121
2.165,-0.0229042105979892
2.17,-0.0230669566511935
2.175,-0.0232310528889791
2.18,-0.0233965252857389
2.185,-0.0235633996984819
2.19,-0.0237317018734789
2.195,-0.0239014574530206
2.2,-0.0240726919822502
2.205,-0.024245430916096
2.21,-0.0244196996263022
2.215,-0.0245955234085608
2.22,-0.0247729274897437
2.225,-0.0249519370352537
2.23,-0.0251325771564767
2.235,-0.0253148729183551
2.24,-0.0254988493470804
2.245,-0.0256845314379123
2.25,-0.0258719441631122
2.255,-0.0260611124800275
2.26,-0.0262520613392942
2.265,-0.0264448156931903
2.27,-0.0266394005041258
2.275,-0.0268358407532842
2.28,-0.0270341614494167
2.285,-0.0272343876377955
2.29,-0.0274365444093169
2.295,-0.0276406569097911
2.3,-0.0278467503493763
2.305,-0.0280548500122218
2.31,-0.0282649812662611
2.315,-0.0284771695732067
2.32,-0.0286914404987329
2.325,-0.0289078197228569
2.33,-0.0291263330505221
2.335,-0.0293470064223766
2.34,-0.0295698659257896
2.345,-0.0297949378060614
2.35,-0.0300222484778694
2.355,-0.0302518245369533
2.36,-0.0304836927720208
2.365,-0.0307178801769015
2.37,-0.030954413962966
2.375,-0.0311933215717784
2.38,-0.031434630688028
2.385,-0.0316783692527221
2.39,-0.03192456547667
2.395,-0.0321732478542345
2.4,-0.0324244451773813
2.405,-0.0326781865500435
2.41,-0.0329345014027626
2.415,-0.0331934195076778
2.42,-0.0334549709938238
2.425,-0.0337191863627523
2.43,-0.0339860965045106
2.435,-0.0342557327139658
2.44,-0.0345281267074896
2.445,-0.0348033106399883
2.45,-0.0350813171223507
2.455,-0.0353621792392521
2.46,-0.0356459305673672
2.465,-0.0359326051939899
2.47,-0.0362222377360693
2.475,-0.0365148633596732
2.48,-0.036810517799907
2.485,-0.0371092373812478
2.49,-0.0374110590383894
2.495,-0.0377160203375191
2.5,-0.0380241594981055
2.505,-0.0383355154151827
2.51,-0.0386501276821336
2.515,-0.0389680366140272
2.52,-0.0392892832714546
2.525,-0.0396139094849557
2.53,-0.0399419578799892
2.535,-0.0402734719024947
2.54,-0.0406084958450511
2.545,-0.0409470748736369
2.55,-0.0412892550550401
2.555,-0.0416350833848841
2.56,-0.0419846078163392
2.565,-0.0423378772894989
2.57,-0.0426949417614495
2.575,-0.0430558522370578
2.58,-0.0434206608005062
2.585,-0.0437894206475388
2.59,-0.0441621861185226
2.595,-0.0445390127322616
2.6,-0.0449199572206575
2.605,-0.0453050775641644
2.61,-0.0456944330281302
2.615,-0.0460880841999951
2.62,-0.0464860930273914
2.625,-0.0468885228571749
2.63,-0.0472954384753929
2.635,-0.0477069061482218
2.64,-0.0481229936639189
2.645,-0.0485437703757722
2.65,-0.0489693072461243
2.655,-0.04939967689145
2.66,-0.0498349536285677
2.665,-0.0502752135219566
2.67,-0.0507205344322608
2.675,-0.0511709960659815
2.68,-0.0516266800264029
2.685,-0.0520876698657597
2.69,-0.0525540511387249
2.695,-0.0530259114572138
2.7,-0.0535033405465403
2.705,-0.0539864303029952
2.71,-0.0544752748528507
2.715,-0.0549699706128357
2.72,-0.0554706163521448
2.725,-0.0559773132559824
2.73,-0.0564901649907255
2.735,-0.0570092777707066
2.74,-0.057534760426702
2.745,-0.0580667244761459
2.75,-0.0586052841951124
2.755,-0.0591505566921404
2.76,-0.0597026619839211
2.765,-0.0602617230729181
2.77,-0.0608278660269664
2.775,-0.0614012200609078
2.78,-0.0619819176203122
2.785,-0.0625700944673423
2.79,-0.0631658897688284
2.795,-0.0637694461866114
2.8,-0.0643809099701994
2.805,-0.0650004310518337
2.81,-0.065628163144004
2.815,-0.0662642638394862
2.82,-0.0669088947139753
2.825,-0.0675622214314067
2.83,-0.0682244138519816
2.835,-0.0688956461430442
2.84,-0.0695760968928283
2.845,-0.0702659492272108
2.85,-0.0709653909294833
2.855,-0.0716746145633141
2.86,-0.0723938175989063
2.865,-0.0731232025425004
2.87,-0.0738629770692969
2.875,-0.0746133541598624
2.88,-0.0753745522401983
2.885,-0.0761467953254635
2.89,-0.0769303131675738
2.895,-0.0777253414066844
2.9,-0.0785321217267366
2.905,-0.0793509020151436
2.91,-0.0801819365267504
2.915,-0.0810254860521969
2.92,-0.0818818180907783
2.925,-0.0827512070279605
2.93,-0.0836339343176973
2.935,-0.0845302886696108
2.94,-0.085440566241287
2.945,-0.0863650708357286
2.95,-0.0873041141041868
2.955,-0.0882580157544871
2.96,-0.0892271037650103
2.965,-0.0902117146045174
2.97,-0.0912121934579636
2.975,-0.0922288944584718
2.98,-0.0932621809256659
2.985,-0.0943124256105298
2.99,-0.0953800109469866
2.995,-0.0964653293103931
3,-0.0975687832831584
