"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0363138977051101
2.005,-0.0369886919109026
2.01,-0.0376814094402296
2.015,-0.0383926271696917
2.02,-0.0391229465915054
2.025,-0.0398729950478271
2.03,-0.0406434270376022
2.035,-0.0414349256008729
2.04,-0.0422482037857474
2.045,-0.0430840062037199
2.05,-0.0439431106793587
2.055,-0.0448263300010089
2.06,-0.0457345137794833
2.065,-0.0466685504224441
2.07,-0.0476293692326473
2.075,-0.0486179426390109
2.08,-0.0496352885700576
2.085,-0.0506824729801948
2.09,-0.0517606125400337
2.095,-0.0528708775030085
2.1,-0.0540144947614587
2.105,-0.0551927511065569
2.11,-0.0564069967076093
2.115,-0.0576586488276857
2.12,-0.0589491957938763
2.125,-0.0602802012422744
2.13,-0.0616533086593195
2.135,-0.0630702462433291
2.14,-0.0645328321119479
2.145,-0.0660429798838335
2.15,-0.0676027046652687
2.155,-0.0692141294754116
2.16,-0.0708794921470067
2.165,-0.0726011527428182
2.17,-0.0743816015319624
2.175,-0.076223467574564
2.18,-0.0781295279678794
2.185,-0.0801027178122868
2.19,-0.0821461409613305
2.195,-0.0842630816265189
2.2,-0.0864570169147102
2.205,-0.0887316303839811
2.21,-0.0910908267127219
2.215,-0.0935387475867585
2.22,-0.0960797889202885
2.225,-0.0987186195390183
2.23,-0.101460201467648
2.235,-0.104309811979569
2.24,-0.107273067584145
2.245,-0.110355950146554
2.25,-0.113564835357416
2.255,-0.116906523794333
2.26,-0.120388274845555
2.265,-0.124017843797869
2.27,-0.127803522426675
2.275,-0.131754183466934
2.28,-0.13587932938983
2.285,-0.140189145962441
2.29,-0.144694561127264
2.295,-0.149407309806424
2.3,-0.15434000531279
2.305,-0.159506218138706
2.31,-0.16492056299434
2.315,-0.170598795083585
2.32,-0.176557916738674
2.325,-0.182816295687697
2.33,-0.189393796405527
2.335,-0.196311926201983
2.34,-0.203593997935981
2.345,-0.211265311516335
2.35,-0.219353356665195
2.355,-0.227888039786143
2.36,-0.236901938205161
2.365,-0.246430585549215
2.37,-0.256512792607109
2.375,-0.26719100869566
2.38,-0.278511729349362
2.385,-0.290525957085149
2.39,-0.303289723091921
2.395,-0.316864678988316
2.4,-0.331318769319549
2.405,-0.346726997270056
2.41,-0.363172298207816
2.415,-0.380746538214019
2.42,-0.399551657766853
2.425,-0.419700984335876
2.43,-0.441320741917257
2.435,-0.46455179063698
2.44,-0.489551635632362
2.445,-0.51649675168621
2.45,-0.54558527876335
2.455,-0.577040153955746
2.46,-0.611112757693794
2.465,-0.648087166784158
2.47,-0.688285124285504
2.475,-0.73207185685546
2.48,-0.779862894416128
2.485,-0.83213207515823
2.49,-0.889420951250726
2.495,-0.952349847046376
2.5,-1.02163086138952
2.505,-1.09808314711964
2.51,-1.18265084053111
2.515,-1.27642404494247
2.52,-1.38066328431108
2.525,-1.49682781566231
2.53,-1.62660809060993
2.535,-1.77196243277372
2.54,-1.93515756102319
2.545,-2.1188117925589
2.55,-2.32593836442322
2.555,-2.55998391791504
2.56,-2.82485313016087
2.565,-3.12490362732923
2.57,-3.46488377785566
2.575,-3.8497665618028
2.58,-4.28440027118564
2.585,-4.77284357366822
2.59,-5.31716941396382
2.595,-5.91540822326628
2.6,-6.55819836713035
2.605,-7.2238097188745
2.61,-7.87204698573712
2.615,-8.44009320372438
2.62,-8.84767948771857
2.625,-9.01978646900769
2.63,-8.92153599774986
2.635,-8.57827676644192
2.64,-8.06037892641973
2.645,-7.44856411071971
2.65,-6.80848173530759
2.655,-6.18330344351101
2.66,-5.59704013520981
2.665,-5.06060739271411
2.67,-4.57700520390576
2.675,-4.14486176692536
2.68,-3.76062138808062
2.685,-3.41981768578189
2.69,-3.11778106671006
2.695,-2.85001110771591
2.7,-2.61235562019246
2.705,-2.40108075985327
2.71,-2.21288158650048
2.715,-2.04486170688822
2.72,-1.89449840618377
2.725,-1.75960249982634
2.73,-1.63827793979299
2.735,-1.52888376562354
2.74,-1.42999958334224
2.745,-1.34039496131824
2.75,-1.25900270004317
2.755,-1.18489571310614
2.76,-1.11726715984712
2.765,-1.05541344278223
2.77,-0.998719693074255
2.775,-0.946647396282586
2.78,-0.898723847473372
2.785,-0.854533163360296
2.79,-0.813708616186005
2.795,-0.775926087933435
2.8,-0.740898473542075
2.805,-0.708370888011477
2.81,-0.678116554807633
2.815,-0.649933272189763
2.82,-0.62364037033759
2.825,-0.59907608587449
2.83,-0.576095291916764
2.835,-0.554567531464446
2.84,-0.53437531007305
2.845,-0.515412610559165
2.85,-0.49758359820753
2.855,-0.480801489743955
2.86,-0.464987563367449
2.865,-0.450070290523474
2.87,-0.435984572953291
2.875,-0.422671070960379
2.88,-0.410075610866698
2.885,-0.398148661350595
2.89,-0.386844869814475
2.895,-0.376122651166783
2.9,-0.365943822454038
2.905,-0.356273277674283
2.91,-0.34707869786759
2.915,-0.338330292232633
2.92,-0.330000566578051
2.925,-0.322064115897618
2.93,-0.314497438270914
2.935,-0.30727876764685
2.94,-0.300387923373941
2.945,-0.293806174606352
2.95,-0.287516117944081
2.955,-0.281501566864668
2.96,-0.275747451676561
2.965,-0.270239728874703
2.97,-0.264965298909828
2.975,-0.259911931497473
2.98,-0.255068197692543
2.985,-0.250423408042982
2.99,-0.245967556212757
2.995,-0.241691267531913
3,-0.237585751990659
