"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0272864249034763
2.005,-0.0276157258794024
2.01,-0.027950119247669
2.015,-0.0282896942997983
2.02,-0.0286345427140495
2.025,-0.0289847586244666
2.03,-0.0293404386923331
2.035,-0.0297016821801209
2.04,-0.0300685910280546
2.045,-0.0304412699333418
2.05,-0.0308198264322538
2.055,-0.031204370985097
2.06,-0.0315950170642085
2.065,-0.0319918812451567
2.07,-0.0323950833011774
2.075,-0.0328047463010424
2.08,-0.0332209967105037
2.085,-0.0336439644974073
2.09,-0.0340737832406884
2.095,-0.0345105902433777
2.1,-0.0349545266497664
2.105,-0.0354057375669447
2.11,-0.0358643721908904
2.115,-0.0363305839372514
2.12,-0.0368045305770938
2.125,-0.0372863743777688
2.13,-0.037776282249141
2.135,-0.0382744258954293
2.14,-0.038780981972844
2.145,-0.0392961322533482
2.15,-0.0398200637947387
2.155,-0.040352969117392
2.16,-0.0408950463879052
2.165,-0.0414464996099814
2.17,-0.0420075388228777
2.175,-0.0425783803077377
2.18,-0.0431592468021752
2.185,-0.0437503677234848
2.19,-0.0443519794008751
2.195,-0.0449643253171157
2.2,-0.0455876563600694
2.205,-0.0462222310845398
2.21,-0.0468683159849202
2.215,-0.0475261857791488
2.22,-0.048196123704519
2.225,-0.0488784218258756
2.23,-0.0495733813568236
2.235,-0.0502813129945273
2.24,-0.051002537268807
2.245,-0.0517373849061833
2.25,-0.0524861972096008
2.255,-0.0532493264546393
2.26,-0.0540271363029666
2.265,-0.0548200022339251
2.27,-0.0556283119951502
2.275,-0.0564524660731462
2.28,-0.0572928781848812
2.285,-0.0581499757913976
2.29,-0.0590242006346131
2.295,-0.0599160092984806
2.3,-0.0608258737957461
2.305,-0.0617542821816846
2.31,-0.062701739196145
2.315,-0.0636687669354688
2.32,-0.0646559055557929
2.325,-0.0656637140094609
2.33,-0.066692770816248
2.335,-0.0677436748713563
2.34,-0.0688170462920665
2.345,-0.0699135273052529
2.35,-0.0710337831779015
2.355,-0.0721785031930966
2.36,-0.0733484016739119
2.365,-0.0745442190579307
2.37,-0.0757667230252246
2.375,-0.0770167096827928
2.38,-0.0782950048087019
2.385,-0.0796024651593215
2.39,-0.0809399798432707
2.395,-0.0823084717660125
2.4,-0.0837088991491047
2.405,-0.0851422571286043
2.41,-0.086609579437208
2.415,-0.0881119401751822
2.42,-0.0896504556753311
2.425,-0.0912262864677255
2.43,-0.0928406393502059
2.435,-0.0944947695711443
2.44,-0.0961899831313089
2.445,-0.0979276392123099
2.45,-0.0997091527393762
2.455,-0.101535997087006
2.46,-0.103409706936417
2.465,-0.105331881294533
2.47,-0.107304186684765
2.475,-0.109328360520724
2.48,-0.11140621467468
2.485,-0.113539639253548
2.49,-0.115730606595998
2.495,-0.117981175505373
2.5,-0.120293495734145
2.505,-0.122669812736779
2.51,-0.125112472709195
2.515,-0.12762392793433
2.52,-0.130206742454802
2.525,-0.132863598095289
2.53,-0.135597300858935
2.535,-0.138410787723977
2.54,-0.141307133868903
2.545,-0.144289560356487
2.55,-0.147361442309625
2.555,-0.150526317614414
2.56,-0.153787896188657
2.565,-0.157150069857256
2.57,-0.160616922879045
2.575,-0.164192743173452
2.58,-0.167882034299185
2.585,-0.171689528241472
2.59,-0.175620199069114
2.595,-0.179679277527608
2.6,-0.183872266640206
2.605,-0.188204958394832
2.61,-0.192683451601302
2.615,-0.197314171010556
2.62,-0.202103887795422
2.625,-0.207059741500976
2.63,-0.212189263581887
2.635,-0.217500402654425
2.64,-0.22300155160179
2.645,-0.228701576683683
2.65,-0.234609848814231
2.655,-0.240736277186952
2.66,-0.247091345441108
2.665,-0.253686150581219
2.67,-0.260532444880184
2.675,-0.267642681017117
2.68,-0.275030060723331
2.685,-0.282708587234336
2.69,-0.290693121872278
2.695,-0.298999445112161
2.7,-0.307644322516614
2.705,-0.316645575958077
2.71,-0.326022160584131
2.715,-0.335794248021777
2.72,-0.345983316359398
2.725,-0.356612247491593
2.73,-0.367705432461725
2.735,-0.379288885489983
2.74,-0.39139036743122
2.745,-0.404039519466108
2.75,-0.417268007891608
2.755,-0.431109680941136
2.76,-0.445600738631056
2.765,-0.460779916696691
2.77,-0.476688685746593
2.775,-0.493371466826294
2.78,-0.510875864639437
2.785,-0.529252919721285
2.79,-0.548557380892581
2.795,-0.568847999334085
2.8,-0.590187845606055
2.805,-0.612644650881856
2.81,-0.636291173557762
2.815,-0.661205592224685
2.82,-0.687471925720744
2.825,-0.715180480598874
2.83,-0.744428325806863
2.835,-0.77531979364501
2.84,-0.807967005084613
2.845,-0.842490416231578
2.85,-0.879019381018461
2.855,-0.917692723001227
2.86,-0.958659306294743
2.865,-1.00207859204447
2.87,-1.04812116220827
2.875,-1.09696918657642
2.88,-1.14881680160925
2.885,-1.20387036048545
2.89,-1.26234850234087
2.895,-1.32448197458826
2.9,-1.39051312494502
2.905,-1.46069495882058
2.91,-1.53528963248755
2.915,-1.61456622249133
2.92,-1.69879757670083
2.925,-1.78825601222783
2.93,-1.88320758064326
2.935,-1.98390457288055
2.94,-2.09057588773014
2.945,-2.20341484380349
2.95,-2.32256398328517
2.955,-2.44809640905911
2.96,-2.57999323312594
2.965,-2.7181168193615
2.97,-2.86217971219947
2.975,-3.01170949849001
2.98,-3.16601040324416
2.985,-3.32412322177873
2.99,-3.48478627636451
2.995,-3.64640144858829
3,-3.80701089085988
