"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.886569922652829
2.005,-0.742011657484719
2.01,-0.630445326916414
2.015,-0.542725085955737
2.02,-0.472611716815784
2.025,-0.415750175259847
2.03,-0.369036031924734
2.035,-0.3302135353049
2.04,-0.297614782387224
2.045,-0.26998681021417
2.05,-0.24637466888468
2.055,-0.226040878283459
2.06,-0.208408991188748
2.065,-0.193023417991376
2.07,-0.17952040632257
2.075,-0.167606792698024
2.08,-0.157044248258088
2.085,-0.147637461093318
2.09,-0.139225174880268
2.095,-0.131673324468415
2.1,-0.124869727914411
2.105,-0.118719945697439
2.11,-0.113144023665754
2.115,-0.108073911170339
2.12,-0.1034513994527
2.125,-0.0992264641231297
2.13,-0.095355923878008
2.135,-0.0918023484718773
2.14,-0.0885331644750404
2.145,-0.0855199189787463
2.15,-0.082737670198565
2.155,-0.0801644806165421
2.16,-0.0777809934316201
2.165,-0.0755700770461972
2.17,-0.0735165253915666
2.175,-0.0716068042979742
2.18,-0.0698288360040102
2.185,-0.0681718153933089
2.19,-0.0666260527331635
2.195,-0.0651828386374095
2.2,-0.0638343277368554
2.205,-0.062573438153868
2.21,-0.061393764374782
2.215,-0.0602895015180544
2.22,-0.0592553793262714
2.225,-0.0582866044811073
2.23,-0.0573788100631501
2.235,-0.0565280111629728
2.24,-0.0557305658024103
2.245,-0.0549831404523537
2.25,-0.0542826795393846
2.255,-0.0536263784225376
2.26,-0.0530116593961361
2.265,-0.0524361503376006
2.27,-0.0518976656722781
2.275,-0.0513941893724197
2.28,-0.0509238597457233
2.285,-0.0504849558014608
2.29,-0.0500758850100469
2.295,-0.0496951722958122
2.3,-0.0493414501231483
2.305,-0.0490134495538057
2.31,-0.048709992168341
2.315,-0.048429982757761
2.32,-0.0481724027028007
2.325,-0.0479363039681252
2.33,-0.0477208036472555
2.335,-0.0475250790015383
2.34,-0.047348362942957
2.345,-0.0471899399162401
2.35,-0.0470491421407614
2.355,-0.0469253461770759
2.36,-0.0468179697867489
2.365,-0.0467264690575545
2.37,-0.0466503357691248
2.375,-0.0465890949766626
2.38,-0.0465423027928161
2.385,-0.04650954434974
2.39,-0.0464904319252933
2.395,-0.0464846032189132
2.4,-0.0464917197641718
2.405,-0.0465114654663233
2.41,-0.0465435452542754
2.415,-0.0465876838375301
2.42,-0.0466436245594609
2.425,-0.0467111283392583
2.43,-0.0467899726955049
2.435,-0.0468799508451062
2.44,-0.0469808708719319
2.445,-0.0470925549599741
2.45,-0.0472148386864875
2.455,-0.047347570370938
2.46,-0.047490610476098
2.465,-0.0476438310579414
2.47,-0.0478071152614727
2.475,-0.0479803568599138
2.48,-0.0481634598350312
2.485,-0.0483563379967131
2.49,-0.0485589146402474
2.495,-0.0487711222400813
2.5,-0.0489929021791277
2.505,-0.0492242045130661
2.51,-0.0494649877694652
2.515,-0.0497152187818703
2.52,-0.0499748725594921
2.525,-0.0502439321935759
2.53,-0.0505223888020724
2.535,-0.0508102415147883
2.54,-0.0511074975020612
2.545,-0.0514141720506053
2.55,-0.0517302886913991
2.555,-0.0520558793855468
2.56,-0.0523909847754606
2.565,-0.0527356545105784
2.57,-0.0530899476588908
2.575,-0.0534539332181519
2.58,-0.0538276907440663
2.585,-0.0542113111166696
2.59,-0.0546048974713933
2.595,-0.0550085663276471
2.6,-0.0554224489561228
2.605,-0.0558466930363746
2.61,-0.0562814646698926
2.615,-0.0567269508312213
2.62,-0.0571833623625204
2.625,-0.0576509376467757
2.63,-0.0581299471342323
2.635,-0.0586206989491323
2.64,-0.0591235458740781
2.645,-0.0596388941044985
2.65,-0.0601672142954093
2.655,-0.0607090556012522
2.66,-0.0612650636578592
2.665,-0.0618360038041837
2.67,-0.0624227913361482
2.675,-0.0630265312949701
2.68,-0.0636485713234437
2.685,-0.0642905726393959
2.69,-0.064954606432782
2.695,-0.0656432863988325
2.7,-0.0663599533290521
2.705,-0.0671089357580932
2.71,-0.067895923349772
2.715,-0.0687285098664579
2.72,-0.0696169948960792
2.725,-0.070575585529441
2.73,-0.0716242222060633
2.735,-0.0727913812144049
2.74,-0.0741183866426754
2.745,-0.0756659483002384
2.75,-0.0775235411651574
2.755,-0.0798206892047695
2.76,-0.0827321991375853
2.765,-0.0864456407752226
2.77,-0.0910017115578833
2.775,-0.0958807113200091
2.78,-0.0995877537944366
2.785,-0.100458836606127
2.79,-0.0985949615002302
2.795,-0.0956718277855983
2.8,-0.0930427263302532
2.805,-0.0911609561669296
2.81,-0.0899974199442162
2.815,-0.089395444963941
2.82,-0.08920541306917
2.825,-0.0893139633926461
2.83,-0.0896411390478844
2.835,-0.0901316682922835
2.84,-0.0907473253363232
2.845,-0.0914614307848522
2.85,-0.0922551309481666
2.855,-0.0931149263636127
2.86,-0.0940310302568931
2.865,-0.0949962692148686
2.87,-0.0960053380186337
2.875,-0.0970542875690194
2.88,-0.098140167972446
2.885,-0.0992607762657537
2.89,-0.100414475677979
2.895,-0.10160006447081
2.9,-0.102816679600946
2.905,-0.104063725156252
2.91,-0.105340818634985
2.915,-0.106647750227588
2.92,-0.107984451679444
2.925,-0.109350972288311
2.93,-0.110747460268134
2.935,-0.112174148187867
2.94,-0.1136313415329
2.945,-0.115119409680142
2.95,-0.116638778754462
2.955,-0.118189925963339
2.96,-0.119773375102192
2.965,-0.121389692993904
2.97,-0.123039486679476
2.975,-0.124723401217239
2.98,-0.126442117978673
2.985,-0.128196353352821
2.99,-0.129986857789254
2.995,-0.131814415123965
3,-0.133679842143654
