"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.569186541640199
2.005,-0.633349846959259
2.01,-0.70827691012326
2.015,-0.796372353149899
2.02,-0.900712216501564
2.025,-1.02526657450222
2.03,-1.1752054975143
2.035,-1.35732123537231
2.04,-1.58061115198721
2.045,-1.85707861749315
2.05,-2.20281686358724
2.055,-2.63942521695721
2.06,-3.19571380254718
2.065,-3.90932024073132
2.07,-4.82678218373277
2.075,-5.99708239567243
2.08,-7.44206607155624
2.085,-9.0544865341803
2.09,-10.3606870458852
2.095,-10.5276770809187
2.1,-9.43439342502056
2.105,-7.8792857387469
2.11,-6.42798620184193
2.115,-5.23482516984646
2.12,-4.29207517244224
2.125,-3.55426775904491
2.13,-2.9755873843405
2.135,-2.51844718271769
2.14,-2.15393990358694
2.145,-1.86033979585408
2.15,-1.62142256425191
2.155,-1.42505497520457
2.16,-1.26211387147734
2.165,-1.12568756308623
2.17,-1.01049458221834
2.175,-0.91246248817336
2.18,-0.828422254907697
2.185,-0.755885519453766
2.19,-0.692881186670395
2.195,-0.637834680218129
2.2,-0.589477994184421
2.205,-0.546782136050292
2.21,-0.508905966917599
2.215,-0.475157142314218
2.22,-0.444962053243099
2.225,-0.417842514337306
2.23,-0.393397549461069
2.235,-0.371289057805128
2.24,-0.35123045595826
2.245,-0.332977618651918
2.25,-0.31632160731508
2.255,-0.301082798379231
2.26,-0.287106114525118
2.265,-0.274257130344227
2.27,-0.262418875328237
2.275,-0.251489196110304
2.28,-0.241378569655426
2.285,-0.232008281962388
2.29,-0.223308904504705
2.295,-0.215219014364818
2.3,-0.207684114741798
2.305,-0.20065572093935
2.31,-0.194090583595428
2.315,-0.18795002619615
2.32,-0.18219937812856
2.325,-0.176807487901401
2.33,-0.171746303879072
2.335,-0.166990512069131
2.34,-0.162517222285722
2.345,-0.158305695463348
2.35,-0.154337106083565
2.355,-0.150594334652763
2.36,-0.147061785973402
2.365,-0.143725229616068
2.37,-0.14057165955175
2.375,-0.1375891703633
2.38,-0.13476684783886
2.385,-0.132094672071743
2.39,-0.129563431461469
2.395,-0.127164646238467
2.4,-0.124890500327452
2.405,-0.122733780527605
2.41,-0.120687822126274
2.415,-0.118746460181058
2.42,-0.116903985805819
2.425,-0.115155106882588
2.43,-0.113494912695336
2.435,-0.111918842045236
2.44,-0.110422654461935
2.445,-0.109002404172795
2.45,-0.107654416533009
2.455,-0.106375266655203
2.46,-0.105161760007909
2.465,-0.1040109147794
2.47,-0.102919945826742
2.475,-0.101886250050514
2.48,-0.100907393053685
2.485,-0.0999810969588476
2.49,-0.0991052292719441
2.495,-0.0982777926928877
2.5,-0.0974969157841783
2.505,-0.0967608444182985
2.51,-0.0960679339330519
2.515,-0.0954166419315768
2.52,-0.0948055216704991
2.525,-0.094233215985642
2.53,-0.093698451710131
2.535,-0.0932000345446062
2.54,-0.0927368443435362
2.545,-0.0923078307857739
2.55,-0.0919120094010163
2.555,-0.0915484579273044
2.56,-0.0912163129777845
2.565,-0.0909147669979804
2.57,-0.0906430654976312
2.575,-0.0904005045439148
2.58,-0.0901864285056756
2.585,-0.0900002280408717
2.59,-0.0898413383224762
2.595,-0.089709237500889
2.6,-0.0896034454041967
2.605,-0.0895235224810306
2.61,-0.0894690689947261
2.615,-0.0894397244818517
2.62,-0.0894351674932674
2.625,-0.0894551156418088
2.63,-0.0894993259876377
2.635,-0.0895675958006906
2.64,-0.0896597637496611
2.645,-0.0897757115791015
2.65,-0.0899153663510619
2.655,-0.0900787033458954
2.66,-0.0902657497393839
2.665,-0.0904765892011742
2.67,-0.0907113675944687
2.675,-0.090970300000492
2.68,-0.0912536793463412
2.685,-0.0915618869844954
2.69,-0.0918954056608468
2.695,-0.0922548354213083
2.7,-0.0926409131524063
2.705,-0.0930545366386547
2.71,-0.0934967942623026
2.715,-0.0939690017870044
2.72,-0.0944727480799035
2.725,-0.0950099521684917
2.73,-0.0955829347422241
2.735,-0.0961945081518021
2.74,-0.0968480902073021
2.745,-0.0975478487307865
2.75,-0.0982988860097953
2.755,-0.0991074751881001
2.76,-0.0999813644123252
2.765,-0.100930169429326
2.77,-0.1019658814492
2.775,-0.103103524399469
2.78,-0.104362003600342
2.785,-0.105765194513112
2.79,-0.107343320864559
2.795,-0.10913465552283
2.8,-0.111187522410063
2.805,-0.113562437714064
2.81,-0.116333915960373
2.815,-0.119590826176828
2.82,-0.123432980971498
2.825,-0.127959643805671
2.83,-0.133243021779206
2.835,-0.13927834406736
2.84,-0.145907367424482
2.845,-0.152734114517034
2.85,-0.159094113317589
2.855,-0.164167726504614
2.86,-0.167263411263904
2.865,-0.16812394781265
2.87,-0.167019925538683
2.875,-0.164566172869831
2.88,-0.161435218989433
2.885,-0.158161039578425
2.89,-0.155082272849836
2.895,-0.152371857943634
2.9,-0.150091791707095
2.905,-0.148240915728566
2.91,-0.146787384968938
2.915,-0.145687837266778
2.92,-0.144897586472526
2.925,-0.144375485092273
2.93,-0.144085883486766
2.935,-0.143999128945784
2.94,-0.144091406555054
2.945,-0.144344345492627
2.95,-0.144744604010706
2.955,-0.145283534045092
2.96,-0.145956968375916
2.965,-0.14676514397977
2.97,-0.14771276019005
2.975,-0.148809161317563
2.98,-0.15006862564928
2.985,-0.151510733149342
2.99,-0.153160770543872
2.995,-0.155050113187322
3,-0.157216497311538
