"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0859301414877722
2.005,-0.09267609362001
2.01,-0.100263761330582
2.015,-0.108841015084412
2.02,-0.118589111449228
2.025,-0.129732078886034
2.03,-0.142549304830899
2.035,-0.157392624429126
2.04,-0.174709831554673
2.045,-0.195077496681058
2.05,-0.219247503006158
2.055,-0.248214181098369
2.06,-0.283313004718671
2.065,-0.326368726701762
2.07,-0.379922863836697
2.075,-0.447591971787675
2.08,-0.534647903330715
2.085,-0.648987128088034
2.09,-0.802806332596889
2.095,-1.01561005193156
2.1,-1.31983567562802
2.105,-1.77185043024725
2.11,-2.47450119557331
2.115,-3.6259493786883
2.12,-5.63422771168508
2.125,-9.42765769062656
2.13,-16.5825340891943
2.135,-12.8807943256311
2.14,-7.41954600925816
2.145,-4.65975640422659
2.15,-3.13231760668022
2.155,-2.22301420721305
2.16,-1.64892112428336
2.165,-1.26804718931984
2.17,-1.0045258448499
2.175,-0.815600453068489
2.18,-0.676007278553919
2.185,-0.570178623922016
2.19,-0.488158925656817
2.195,-0.423369796618974
2.2,-0.37133705811483
2.205,-0.32893895872115
2.21,-0.293947440399793
2.215,-0.264739850519419
2.22,-0.240112890591988
2.225,-0.219159628057548
2.23,-0.201186409173797
2.235,-0.185655609159536
2.24,-0.172145469757569
2.245,-0.16032145779293
2.25,-0.149915530307248
2.255,-0.140710914750421
2.26,-0.132530794164277
2.265,-0.12522979588308
2.27,-0.118687518942109
2.275,-0.112803561781794
2.28,-0.107493666324738
2.285,-0.102686701373376
2.29,-0.0983222831535598
2.295,-0.0943488839208586
2.3,-0.0907223176136
2.305,-0.0874045191196256
2.31,-0.0843625539079287
2.315,-0.0815678096846703
2.32,-0.0789953328415272
2.325,-0.076623280810439
2.33,-0.0744324677588268
2.335,-0.0724059858810218
2.34,-0.0705288882460454
2.345,-0.0687879220273063
2.35,-0.0671713031701261
2.355,-0.0656685252999516
2.36,-0.0642701970500913
2.365,-0.0629679030777447
2.37,-0.0617540849050726
2.375,-0.0606219384166194
2.38,-0.0595653254029656
2.385,-0.0585786969919382
2.39,-0.0576570271748356
2.395,-0.0567957549336678
2.4,-0.0559907337197852
2.405,-0.0552381872347935
2.41,-0.0545346706303306
2.415,-0.0538770363801623
2.42,-0.0532624041919096
2.425,-0.0526881344205185
2.43,-0.052151804524908
2.435,-0.0516511881757327
2.44,-0.051184236678178
2.445,-0.0507490624208588
2.45,-0.0503439241020069
2.455,-0.0499672135178562
2.46,-0.049617443727127
2.465,-0.0492932384300675
2.47,-0.0489933224215389
2.475,-0.0487165129957294
2.48,-0.048461712195532
2.485,-0.0482278998129894
2.49,-0.048014127058762
2.495,-0.0478195108284667
2.5,-0.0476432285024763
2.505,-0.0474845132231949
2.51,-0.0473426496003604
2.515,-0.0472169698006782
2.52,-0.0471068499829937
2.525,-0.0470117070446028
2.53,-0.0469309956481186
2.535,-0.0468642055016243
2.54,-0.0468108588678608
2.545,-0.0467705082806898
2.55,-0.0467427344495193
2.555,-0.0467271443342085
2.56,-0.0467233693749541
2.565,-0.0467310638631143
2.57,-0.0467499034404197
2.575,-0.0467795837152174
2.58,-0.0468198189855633
2.585,-0.0468703410599268
2.59,-0.0469308981672229
2.595,-0.0470012539485978
2.6,-0.0470811865241804
2.605,-0.0471704876286291
2.61,-0.0472689618098363
2.615,-0.0473764256857372
2.62,-0.0474927072545553
2.625,-0.0476176452543079
2.63,-0.0477510885677064
2.635,-0.0478928956689453
2.64,-0.0480429341092445
2.645,-0.0482010800381278
2.65,-0.0483672177578641
2.655,-0.0485412393085869
2.66,-0.0487230440818363
2.665,-0.048912538460537
2.67,-0.0491096354834641
2.675,-0.049314254532535
2.68,-0.0495263210412752
2.685,-0.0497457662230875
2.69,-0.0499725268178868
2.695,-0.050206544855966
2.7,-0.0504477674378801
2.705,-0.0506961465293395
2.71,-0.0509516387701548
2.715,-0.0512142052963188
2.72,-0.0514838115744175
2.725,-0.0517604272476263
2.73,-0.0520440259925505
2.735,-0.052334585386313
2.74,-0.0526320867832562
2.745,-0.0529365152007242
2.75,-0.0532478592133819
2.755,-0.0535661108556586
2.76,-0.0538912655318043
2.765,-0.0542233219332079
2.77,-0.0545622819625969
2.775,-0.0549081506647216
2.78,-0.0552609361632741
2.785,-0.0556206496036933
2.79,-0.0559873051016074
2.795,-0.0563609196966375
2.8,-0.0567415133113509
2.805,-0.0571291087151466
2.81,-0.0575237314928283
2.815,-0.0579254100177689
2.82,-0.0583341754293808
2.825,-0.0587500616148576
2.83,-0.0591731051949431
2.835,-0.0596033455136554
2.84,-0.0600408246318215
2.845,-0.0604855873243285
2.85,-0.060937681080973
2.855,-0.0613971561108289
2.86,-0.0618640653500604
2.865,-0.062338464473083
2.87,-0.0628204119070405
2.875,-0.0633099688495068
2.88,-0.0638071992893895
2.885,-0.0643121700309694
2.89,-0.064824950721067
2.895,-0.065345613879263
2.9,-0.0658742349312019
2.905,-0.0664108922449045
2.91,-0.0669556671701184
2.915,-0.067508644080684
2.92,-0.0680699104198934
2.925,-0.0686395567488858
2.93,-0.0692176767980414
2.935,-0.0698043675214218
2.94,-0.0703997291542487
2.945,-0.0710038652734452
2.95,-0.0716168828613028
2.955,-0.0722388923722197
2.96,-0.0728700078026433
2.965,-0.0735103467641843
2.97,-0.0741600305599574
2.975,-0.0748191842642452
2.98,-0.075487936805458
2.985,-0.0761664210524946
2.99,-0.0768547739045752
2.995,-0.0775531363845418
3,-0.078261653735785
