"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0142691154874541
2.005,-0.0143340905803507
2.01,-0.0143997745085707
2.015,-0.0144661748339067
2.02,-0.0145332992264743
2.025,-0.0146011554668746
2.03,-0.0146697514484446
2.035,-0.0147390951795423
2.04,-0.0148091947859122
2.045,-0.0148800585131013
2.05,-0.0149516947289535
2.055,-0.0150241119261506
2.06,-0.0150973187248489
2.065,-0.0151713238753659
2.07,-0.015246136260954
2.075,-0.0153217649006429
2.08,-0.0153982189521614
2.085,-0.015475507714946
2.09,-0.015553640633231
2.095,-0.0156326272992191
2.1,-0.0157124774563541
2.105,-0.0157932010026695
2.11,-0.0158748079942486
2.115,-0.0159573086487691
2.12,-0.0160407133491673
2.125,-0.0161250326473839
2.13,-0.0162102772682431
2.135,-0.0162964581134186
2.14,-0.0163835862655459
2.145,-0.0164716729924255
2.15,-0.0165607297513713
2.155,-0.0166507681936751
2.16,-0.0167418001692077
2.165,-0.0168338377311633
2.17,-0.0169268931409352
2.175,-0.0170209788731523
2.18,-0.017116107620849
2.185,-0.0172122923008164
2.19,-0.017309546059096
2.195,-0.0174078822766535
2.2,-0.0175073145752264
2.205,-0.0176078568233474
2.21,-0.0177095231425684
2.215,-0.0178123279138592
2.22,-0.0179162857842264
2.225,-0.0180214116735359
2.23,-0.0181277207815424
2.235,-0.0182352285951599
2.24,-0.018343950895948
2.245,-0.0184539037678557
2.25,-0.018565103605204
2.255,-0.0186775671209269
2.26,-0.0187913113551029
2.265,-0.0189063536837375
2.27,-0.0190227118278502
2.275,-0.0191404038628646
2.28,-0.0192594482283138
2.285,-0.0193798637378609
2.29,-0.0195016695896603
2.295,-0.0196248853770665
2.3,-0.0197495310997294
2.305,-0.0198756271750301
2.31,-0.0200031944499503
2.315,-0.020132254213314
2.32,-0.0202628282084779
2.325,-0.0203949386464642
2.33,-0.0205286082195326
2.335,-0.0206638601152633
2.34,-0.0208007180311061
2.345,-0.0209392061894614
2.35,-0.0210793493533122
2.355,-0.0212211728423962
2.36,-0.0213647025499714
2.365,-0.0215099649602007
2.37,-0.0216569871661591
2.375,-0.0218057968885004
2.38,-0.0219564224948279
2.385,-0.0221088930197597
2.39,-0.0222632381857773
2.395,-0.0224194884248132
2.4,-0.02257767490069
2.405,-0.0227378295323911
2.41,-0.0228999850182137
2.415,-0.02306417486087
2.42,-0.0232304333935222
2.425,-0.0233987958068705
2.43,-0.0235692981772432
2.435,-0.023741977495822
2.44,-0.023916871699026
2.445,-0.0240940197000646
2.45,-0.0242734614217714
2.455,-0.0244552378307532
2.46,-0.0246393909729059
2.465,-0.0248259640103592
2.47,-0.0250150012599624
2.475,-0.0252065482333072
2.48,-0.0254006516784208
2.485,-0.0255973596231836
2.49,-0.0257967214205524
2.495,-0.0259987877956967
2.5,-0.0262036108950876
2.505,-0.0264112443377145
2.51,-0.0266217432684561
2.515,-0.0268351644137525
2.52,-0.0270515661396818
2.525,-0.0272710085125729
2.53,-0.0274935533622411
2.535,-0.0277192643480339
2.54,-0.0279482070277878
2.545,-0.0281804489298513
2.55,-0.028416059628346
2.555,-0.0286551108218174
2.56,-0.0288976764154492
2.565,-0.0291438326070448
2.57,-0.0293936579769528
2.575,-0.0296472335821402
2.58,-0.0299046430546784
2.585,-0.0301659727047983
2.59,-0.0304313116288533
2.595,-0.0307007518223622
2.6,-0.0309743882984888
2.605,-0.0312523192122023
2.61,-0.0315346459904553
2.615,-0.0318214734687014
2.62,-0.0321129100341323
2.625,-0.0324090677759607
2.63,-0.0327100626432249
2.635,-0.0330160146104461
2.64,-0.033327047851694
2.645,-0.0336432909234601
2.65,-0.0339648769568949
2.655,-0.0342919438599777
2.66,-0.0346246345301214
2.665,-0.0349630970779548
2.67,-0.0353074850628318
2.675,-0.0356579577408606
2.68,-0.0360146803261782
2.685,-0.0363778242662857
2.69,-0.0367475675322981
2.695,-0.0371240949250826
2.7,-0.037507598398215
2.705,-0.0378982773988642
2.71,-0.0382963392277354
2.715,-0.03870199941927
