"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0455957531320598
2.005,-0.0464047509044407
2.01,-0.047229858243088
2.015,-0.0480714681544998
2.02,-0.0489299861430601
2.025,-0.0498058307009954
2.03,-0.0506994338204871
2.035,-0.0516112415291433
2.04,-0.0525417144499906
2.045,-0.0534913283873114
2.05,-0.0544605749396795
2.055,-0.0554499621416239
2.06,-0.0564600151354774
2.065,-0.057491276874994
2.07,-0.0585443088625154
2.075,-0.0596196919214194
2.08,-0.0607180270059022
2.085,-0.061839936050052
2.09,-0.0629860628584557
2.095,-0.064157074040643
2.1,-0.0653536599918281
2.105,-0.0665765359225926
2.11,-0.0678264429403019
2.115,-0.0691041491851728
2.12,-0.0704104510242615
2.125,-0.0717461743066339
2.13,-0.0731121756833816
2.135,-0.0745093439962742
2.14,-0.0759386017391571
2.145,-0.077400906596447
2.15,-0.0788972530633476
2.155,-0.0804286741528081
2.16,-0.0819962431944915
2.165,-0.0836010757314254
2.17,-0.0852443315204523
2.175,-0.0869272166429118
2.18,-0.0886509857325569
2.185,-0.0904169443281082
2.19,-0.0922264513584863
2.195,-0.094080921769188
2.2,-0.095981829299094
2.205,-0.0979307094174414
2.21,-0.0999291624316476
2.215,-0.101978856777244
2.22,-0.104081532502231
2.225,-0.106239004958927
2.23,-0.108453168717452
2.235,-0.110726001716126
2.24,-0.11305956966511
2.245,-0.115456030721017
2.25,-0.117917640451551
2.255,-0.120446757110754
2.26,-0.123045847247111
2.265,-0.125717491668481
2.27,-0.128464391789914
2.275,-0.131289376392358
2.28,-0.134195408822762
2.285,-0.137185594668508
2.29,-0.1402631899419
2.295,-0.143431609813489
2.3,-0.146694437936337
2.305,-0.150055436406906
2.31,-0.153518556412301
2.315,-0.157087949617947
2.32,-0.160767980354538
2.325,-0.164563238668414
2.33,-0.168478554305309
2.335,-0.172519011703739
2.34,-0.176689966081391
2.345,-0.180997060705552
2.35,-0.185446245447168
2.355,-0.190043796727585
2.36,-0.194796338977395
2.365,-0.199710867738334
2.37,-0.204794774551981
2.375,-0.210055873793068
2.38,-0.215502431620964
2.385,-0.221143197240275
2.39,-0.226987436680778
2.395,-0.233044969328607
2.4,-0.239326207464324
2.405,-0.245842199090504
2.41,-0.252604674360955
2.415,-0.259626095957298
2.42,-0.266919713795636
2.425,-0.274499624487806
2.43,-0.28238083602839
2.435,-0.290579338231078
2.44,-0.299112179496753
2.445,-0.307997550561881
2.45,-0.317254875950259
2.455,-0.326904913935077
2.46,-0.336969865913017
2.465,-0.347473496199074
2.47,-0.358441263371813
2.475,-0.369900464435952
2.48,-0.381880393224446
2.485,-0.394412514638896
2.49,-0.407530656527694
2.495,-0.421271221229752
2.5,-0.435673419072104
2.505,-0.450779526406813
2.51,-0.466635171112435
2.515,-0.483289648874082
2.52,-0.500796274001819
2.525,-0.519212769058707
2.53,-0.53860169815776
2.535,-0.559030949464007
2.54,-0.580574273217984
2.545,-0.603311882497895
2.55,-0.627331124979084
2.555,-0.652727235155586
2.56,-0.679604177887213
2.565,-0.708075595760401
2.57,-0.738265874641329
2.575,-0.770311344002757
2.58,-0.804361631177351
2.585,-0.840581191697231
2.59,-0.87915104140163
2.595,-0.920270720128524
2.6,-0.96416052166719
2.605,-1.01106403037728
2.61,-1.06125101164611
2.615,-1.11502071136702
2.62,-1.17270562913353
2.625,-1.23467584117166
2.63,-1.30134396257099
2.635,-1.37317085461848
2.64,-1.45067220262091
2.645,-1.53442611333479
2.65,-1.6250819100706
2.655,-1.72337033911225
2.66,-1.83011544519195
2.665,-1.94624842898889
2.67,-2.07282386959986
2.675,-2.21103878479406
2.68,-2.36225511899443
2.685,-2.52802640411454
2.69,-2.71012954762772
2.695,-2.91060298963122
2.7,-3.13179287292362
2.705,-3.37640944404112
2.71,-3.64759673789941
2.715,-3.94901983604388
2.72,-4.28497585825302
2.725,-4.66053772842594
2.73,-5.08174428755897
2.735,-5.55585761482838
2.74,-6.0917204316609
2.745,-6.70026683117591
2.75,-7.3952752413309
2.755,-8.19451737098083
2.76,-9.12157996509202
2.765,-10.2088814651663
2.77,-11.5029206740943
2.775,-13.0739288034971
2.78,-15.0346177594403
2.785,-17.5770972000112
2.79,-21.0215258588199
2.795,-25.3759622420441
2.8,-25.9198245026254
2.805,-21.643587355054
2.81,-18.0652918519145
2.815,-15.4405338132028
2.82,-13.4337218534053
2.825,-11.8367078848681
2.83,-10.5280853398864
2.835,-9.43287873454101
2.84,-8.50186054030713
2.845,-7.70096779596336
2.85,-7.00559000486683
2.855,-6.39730716521179
2.86,-5.86192970647454
2.865,-5.38826694534148
2.87,-4.96732230256834
2.875,-4.59174874492628
2.88,-4.25546862911105
2.885,-3.95340076467229
2.89,-3.68125945740295
2.895,-3.43540318403226
2.9,-3.21271834711463
2.905,-3.01052840248949
2.91,-2.82652173248357
2.915,-2.65869364117309
2.92,-2.50529917773942
2.925,-2.36481439434143
2.93,-2.23590426645696
2.935,-2.11739594080196
2.94,-2.0082562890652
2.945,-1.90757297396673
2.95,-1.81453840337281
2.955,-1.7284360756504
2.96,-1.64862891685206
2.965,-1.5745492857752
2.97,-1.50569038210178
2.975,-1.44159883971878
2.98,-1.38186832485086
2.985,-1.32613398892914
2.99,-1.2740676507544
2.995,-1.22537360267647
3,-1.17978495211145
