"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0391354656253
2.005,-0.0400424365082013
2.01,-0.0409805589495741
2.015,-0.04195125745933
2.02,-0.04295603895994
2.025,-0.0439964984778398
2.03,-0.0450743252975194
2.035,-0.0461913096214052
2.04,-0.0473493497832944
2.045,-0.0485504600681881
2.05,-0.0497967791971056
2.055,-0.0510905795418287
2.06,-0.0524342771418095
2.065,-0.0538304426034752
2.07,-0.0552818129713494
2.075,-0.0567913046706369
2.08,-0.0583620276325472
2.085,-0.0599973007266865
2.09,-0.0617006686397079
2.095,-0.0634759203562868
2.1,-0.06532710941743
2.105,-0.0672585761530064
2.11,-0.0692749721100234
2.115,-0.0713812869263851
2.12,-0.0735828779322032
2.125,-0.0758855027975167
2.13,-0.0782953555877501
2.135,-0.08081910663677
2.14,-0.0834639467034446
2.145,-0.0862376359421763
2.15,-0.0891485582924595
2.155,-0.0922057819788995
2.16,-0.0954191269134061
2.165,-0.0987992399076982
2.17,-0.102357678740132
2.175,-0.106107006279379
2.18,-0.110060896053056
2.185,-0.114234250867271
2.19,-0.118643336338997
2.195,-0.123305931505397
2.2,-0.128241499030937
2.205,-0.1334713779565
2.21,-0.139019002437385
2.215,-0.144910150516576
2.22,-0.151173227695931
2.225,-0.157839590926865
2.23,-0.164943919675009
2.235,-0.172524641959091
2.24,-0.180624424772612
2.245,-0.189290740127868
2.25,-0.198576520193985
2.255,-0.208540917729766
2.26,-0.219250191362562
2.265,-0.230778739392948
2.27,-0.243210310911991
2.275,-0.25663942936139
2.28,-0.271173071579128
2.285,-0.286932655285
2.29,-0.304056400431674
2.295,-0.322702145612083
2.3,-0.343050720734993
2.305,-0.365310002732604
2.31,-0.389719813835983
2.315,-0.416557864203491
2.32,-0.446146995441079
2.325,-0.478864052895966
2.33,-0.515150808075448
2.335,-0.555527475692458
2.34,-0.600609533025314
2.345,-0.651128766772123
2.35,-0.707959764168078
2.355,-0.772153458390423
2.36,-0.844979871858582
2.365,-0.927982929463112
2.37,-1.02305121443505
2.375,-1.13250992328763
2.38,-1.25924120323776
2.385,-1.40684276071185
2.39,-1.57983846464341
2.395,-1.7839601754412
2.4,-2.02652808130006
2.405,-2.31696889891457
2.41,-2.66753008458028
2.415,-3.09427893606068
2.42,-3.61852897240657
2.425,-4.26893569341201
2.43,-5.08470152331583
2.435,-6.12073746966438
2.44,-7.45645613804822
2.445,-9.21119770440828
2.45,-11.5675414168311
2.455,-14.7493705106665
2.46,-18.2542260232896
2.465,-17.9858993061362
2.47,-14.4418528124823
2.475,-11.3903775791525
2.48,-9.1406897044555
2.485,-7.46384830597623
2.49,-6.18481307008343
2.495,-5.18987964221907
2.5,-4.40355027935137
2.505,-3.7737726035953
2.51,-3.2635079492857
2.515,-2.84576069904261
2.52,-2.5004910953927
2.525,-2.21260439999702
2.53,-1.97059104773708
2.535,-1.76558083791106
2.54,-1.59067116170576
2.545,-1.44044212522911
2.55,-1.31060201353651
2.555,-1.19772520786558
2.56,-1.09905656626929
2.565,-1.01236411864707
2.57,-0.935827224889172
2.575,-0.867950992059129
2.58,-0.80750029408567
2.585,-0.753448537758737
2.59,-0.704937603693255
2.595,-0.661246315921479
2.6,-0.621765465000977
2.605,-0.585977900233156
2.61,-0.553442567871663
2.615,-0.52378164001072
2.62,-0.496670078676619
2.625,-0.471827129710137
2.63,-0.449009354421222
2.635,-0.428004893199735
2.64,-0.408628721183436
2.645,-0.390718706778604
2.65,-0.374132323032166
2.655,-0.35874389233492
2.66,-0.344442268757802
2.665,-0.331128881037033
2.67,-0.318716073995833
2.675,-0.307125697907263
2.68,-0.29628790463852
2.685,-0.286140116889197
2.69,-0.27662614284237
2.695,-0.267695413395609
2.7,-0.259302323068358
2.705,-0.251405658879338
2.71,-0.243968104098703
2.715,-0.236955805920355
2.72,-0.23033799786065
2.725,-0.224086669143596
2.73,-0.218176274536493
2.735,-0.212583479100707
2.74,-0.207286933156138
2.745,-0.202267073455396
2.75,-0.197505947148422
2.755,-0.192987055610162
2.76,-0.188695215618602
2.765,-0.184616435721304
2.77,-0.180737805925883
2.775,-0.177047399102681
2.78,-0.173534182703274
2.785,-0.170187939582443
2.79,-0.166999196868769
2.795,-0.163959161964159
2.8,-0.161059664868884
2.805,-0.158293106128951
2.81,-0.155652409789089
2.815,-0.153130980809568
2.82,-0.150722666470071
2.825,-0.148421721340155
2.83,-0.146222775445093
2.835,-0.144120805298618
2.84,-0.142111107511605
2.845,-0.140189274718443
2.85,-0.138351173591553
2.855,-0.136592924739814
2.86,-0.134910884308712
2.865,-0.133301627119699
2.87,-0.131761931203415
2.875,-0.130288763596679
2.88,-0.128879267286658
2.885,-0.127530749197597
2.89,-0.126240669125997
2.895,-0.125006629539737
2.9,-0.123826366164809
2.905,-0.122697739291023
2.91,-0.121618725734542
2.915,-0.120587411401197
2.92,-0.119601984399729
2.925,-0.118660728659063
2.93,-0.117762018007788
2.935,-0.116904310678058
2.94,-0.116086144199408
2.945,-0.115306130651279
2.95,-0.11456295224563
2.955,-0.113855357213726
2.96,-0.113182155973381
2.965,-0.112542217554956
2.97,-0.11193446626642
2.975,-0.111357878579277
2.98,-0.110811480218831
2.985,-0.110294343443625
2.99,-0.109805584500062
2.995,-0.1093443612395
3,-0.108909870886001
