"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0333858638562591
2.005,-0.034108348086959
2.01,-0.0348582892219107
2.015,-0.0356369552899923
2.02,-0.0364456915669612
2.025,-0.0372859261719995
2.03,-0.0381591761407458
2.035,-0.0390670540214854
2.04,-0.0400112750463518
2.045,-0.0409936649352177
2.05,-0.0420161683965061
2.055,-0.0430808583966007
2.06,-0.0441899462778277
2.065,-0.0453457928144816
2.07,-0.046550920307071
2.075,-0.0478080258270513
2.08,-0.0491199957381621
2.085,-0.0504899216361668
2.09,-0.0519211178666148
2.095,-0.0534171408007646
2.1,-0.0549818100730866
2.105,-0.0566192320104724
2.11,-0.058333825514071
2.115,-0.0601303506898823
2.12,-0.0620139405648751
2.125,-0.063990136272347
2.13,-0.0660649261445256
2.135,-0.0682447892131415
2.14,-0.0705367436919123
2.145,-0.0729484010996839
2.15,-0.0754880267821885
2.155,-0.0781646077062379
2.16,-0.0809879285359766
2.165,-0.0839686571603495
2.17,-0.0871184410289312
2.175,-0.09045001587495
2.18,-0.0939773286672754
2.185,-0.0977156769447587
2.19,-0.101681867057846
2.195,-0.10589439428552
2.2,-0.110373648326847
2.205,-0.115142148304237
2.21,-0.120224812184572
2.215,-0.125649266454201
2.22,-0.131446203012423
2.225,-0.137649791622285
2.23,-0.144298157937417
2.235,-0.151433939184846
2.24,-0.159104932123065
2.245,-0.16736485103487
2.25,-0.1762742174163
2.255,-0.185901407889766
2.26,-0.196323892970055
2.265,-0.207629706993225
2.27,-0.219919199238977
2.275,-0.233307128639857
2.28,-0.247925180276907
2.285,-0.263925002181469
2.29,-0.281481887232814
2.295,-0.300799259103546
2.3,-0.322114165901667
2.305,-0.345704044005586
2.31,-0.371895092574559
2.315,-0.401072703261402
2.32,-0.433694529434359
2.325,-0.470306968351146
2.33,-0.511566087542968
2.335,-0.558264380761043
2.34,-0.611365228947958
2.345,-0.67204762544139
2.35,-0.741764686194988
2.355,-0.822320829185545
2.36,-0.915974456361076
2.365,-1.02557578190028
2.37,-1.15475353858422
2.375,-1.30817029717282
2.38,-1.49187504501353
2.385,-1.71379507867386
2.39,-1.98442981907777
2.395,-2.31784154332168
2.4,-2.73309124060497
2.405,-3.25636079211038
2.41,-3.92417905264799
2.415,-4.78853626462653
2.42,-5.92549841898254
2.425,-7.45086054357631
2.43,-9.55024723110124
2.435,-12.5272156829937
2.44,-16.6346962216739
2.445,-18.8255560358604
2.45,-15.0842194336202
2.455,-11.4107695156391
2.46,-8.83496951528251
2.465,-7.00156720285598
2.47,-5.655435453203
2.475,-4.64226999742393
2.48,-3.86461821376035
2.485,-3.25788218680725
2.49,-2.77766833683753
2.495,-2.39265998183349
2.5,-2.08032136167487
2.505,-1.82417037775616
2.51,-1.61198203242764
2.515,-1.43457334735278
2.52,-1.28496519507888
2.525,-1.15779493748599
2.53,-1.04889924822535
2.535,-0.955014218220436
2.54,-0.873557356926332
2.545,-0.802467453858001
2.55,-0.740085764098327
2.555,-0.685067010314857
2.56,-0.636312108646958
2.565,-0.592916870581897
2.57,-0.554132559476565
2.575,-0.519335319618625
2.58,-0.488002301031207
2.585,-0.459692877559722
2.59,-0.43403376891213
2.595,-0.410707176975701
2.6,-0.389441265827088
2.605,-0.37000247629345
2.61,-0.352189285777177
2.615,-0.335827113684282
2.62,-0.320764140289999
2.625,-0.306867858044277
2.63,-0.29402221336568
2.635,-0.28212522695388
2.64,-0.271087003811813
2.645,-0.260828062164548
2.65,-0.251277924522955
2.655,-0.242373925186167
2.66,-0.234060197199229
2.665,-0.226286808704392
2.67,-0.219009024144313
2.675,-0.2121866701976
2.68,-0.205783589885691
2.685,-0.199767171166072
2.69,-0.194107938661031
2.695,-0.188779199072922
2.7,-0.18375673239273
2.705,-0.17901852228608
2.71,-0.174544520093363
2.715,-0.170316437751164
2.72,-0.166317565664238
2.725,-0.162532612158594
2.73,-0.158947561648141
2.735,-0.155549549068028
2.74,-0.152326748480919
2.745,-0.149268274060255
2.75,-0.146364091905952
2.755,-0.14360494136108
2.76,-0.140982264679024
2.765,-0.138488144044736
2.77,-0.136115245085271
2.775,-0.13385676611728
2.78,-0.131706392475845
2.785,-0.129658255351886
2.79,-0.127706894636976
2.795,-0.125847225336113
2.8,-0.124074507162429
2.805,-0.122384316974088
2.81,-0.120772523753918
2.815,-0.119235265867253
2.82,-0.117768930364049
2.825,-0.116370134118
2.83,-0.115035706618659
2.835,-0.113762674253104
2.84,-0.11254824593157
2.845,-0.111389799927352
2.85,-0.110284871815107
2.855,-0.109231143404057
2.86,-0.108226432573345
2.865,-0.107268683926504
2.87,-0.106355960190424
2.875,-0.1054864342918
2.88,-0.104658382050724
2.885,-0.103870175437142
2.89,-0.103120276341074
2.895,-0.102407230812405
2.9,-0.101729663730199
2.905,-0.101086273865293
2.91,-0.100475829303422
2.915,-0.0998971631990129
2.92,-0.0993491698326981
2.925,-0.0988308009479287
2.93,-0.0983410623443664
2.935,-0.0978790107076683
2.94,-0.0974437506571431
2.945,-0.0970344319942868
2.95,-0.0966502471368082
2.955,-0.096290428723924
2.96,-0.095954247380069
2.965,-0.0956410096250964
2.97,-0.0953500559201924
2.975,-0.0950807588394513
2.98,-0.0948325213580614
2.985,-0.0946047752486478
2.99,-0.0943969795780565
2.995,-0.0942086192974594
3,-0.0940392039192892
