"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0139751775031646
2.005,-0.0140334538760187
2.01,-0.0140915815533321
2.015,-0.014149588951269
2.02,-0.0142075041324622
2.025,-0.0142653548077752
2.03,-0.0143231683380382
2.035,-0.0143809717358172
2.04,-0.014438791667134
2.045,-0.0144966544532028
2.05,-0.0145545860721723
2.055,-0.0146126121608471
2.06,-0.0146707580164193
2.065,-0.0147290485982021
2.07,-0.0147875085293674
2.075,-0.0148461620986713
2.08,-0.0149050332622029
2.085,-0.0149641456451332
2.09,-0.0150235225434803
2.095,-0.0150831869258608
2.1,-0.0151431614352698
2.105,-0.0152034683908836
2.11,-0.0152641297898486
2.115,-0.0153251673091068
2.12,-0.0153866023072322
2.125,-0.0154484558262872
2.13,-0.0155107485936891
2.135,-0.0155735010241251
2.14,-0.0156367332214491
2.145,-0.0157004649806576
2.15,-0.015764715789845
2.155,-0.0158295048322058
2.16,-0.0158948509880817
2.165,-0.0159607728370242
2.17,-0.0160272886598973
2.175,-0.016094416441015
2.18,-0.0161621738703283
2.185,-0.0162305783456332
2.19,-0.0162996469748486
2.195,-0.0163693965783168
2.2,-0.0164398436911628
2.205,-0.0165110045656974
2.21,-0.0165828951738861
2.215,-0.016655531209855
2.22,-0.0167289280924653
2.225,-0.0168031009679444
2.23,-0.0168780647125835
2.235,-0.0169538339354843
2.24,-0.0170304229814066
2.245,-0.0171078459336406
2.25,-0.0171861166169985
2.255,-0.0172652486008504
2.26,-0.0173452552022524
2.265,-0.0174261494891552
2.27,-0.0175079442837004
2.275,-0.0175906521656033
2.28,-0.0176742854756226
2.285,-0.0177588563191375
2.29,-0.0178443765698136
2.295,-0.0179308578733785
2.3,-0.0180183116514942
2.305,-0.0181067491057558
2.31,-0.0181961812217792
2.315,-0.0182866187734365
2.32,-0.0183780723271905
2.325,-0.0184705522465701
2.33,-0.0185640686967533
2.335,-0.0186586316493256
2.34,-0.0187542508871376
2.345,-0.0188509360093309
2.35,-0.0189486964364948
2.355,-0.0190475414160015
2.36,-0.0191474800274889
2.365,-0.0192485211884812
2.37,-0.0193506736602447
2.375,-0.0194539460537352
2.38,-0.0195583468358025
2.385,-0.0196638843355297
2.39,-0.0197705667508004
2.395,-0.019878402155032
2.4,-0.0199873985041528
2.405,-0.0200975636437488
2.41,-0.0202089053164743
2.415,-0.0203214311696415
2.42,-0.020435148763087
2.425,-0.0205500655772545
2.43,-0.0206661890215185
2.435,-0.0207835264427843
2.44,-0.0209020851343523
2.445,-0.0210218723450211
2.45,-0.0211428952885203
2.455,-0.0212651611531827
2.46,-0.0213886771119743
2.465,-0.0215134503327527
2.47,-0.0216394879889286
2.475,-0.0217667972703869
2.48,-0.0218953853947828
2.485,-0.0220252596191807
2.49,-0.0221564272520298
2.495,-0.0222888956655374
2.5,-0.0224226723084166
2.505,-0.0225577647190034
2.51,-0.0226941805388103
2.515,-0.0228319275264987
2.52,-0.0229710135722296
2.525,-0.0231114467125353
2.53,-0.0232532351455925
2.535,-0.0233963872469851
2.54,-0.0235409115859572
2.545,-0.0236868169421616
2.55,-0.0238341123229253
2.555,-0.0239828069810538
2.56,-0.0241329104331782
2.565,-0.0242844324786696
2.57,-0.024437383219139
2.575,-0.0245917730785399
2.58,-0.0247476128238834
2.585,-0.0249049135866157
2.59,-0.0250636868846225
2.595,-0.0252239446449313
2.6,-0.0253856992271242
2.605,-0.025548963447446
2.61,-0.0257137506036871
2.615,-0.0258800745008199
2.62,-0.0260479494774136
2.625,-0.0262173904329002
2.63,-0.026388412855646
2.635,-0.0265610328519256
2.64,-0.0267352671757566
2.645,-0.0269111332596839
2.65,-0.0270886492465085
2.655,-0.0272678340219906
2.66,-0.0274487072485807
2.665,-0.0276312894001781
2.67,-0.0278156017979748
2.675,-0.0280016666474135
2.68,-0.0281895070762876
2.685,-0.0283791471740125
2.69,-0.0285706120321442
2.695,-0.0287639277861117
2.7,-0.0289591216582986
2.705,-0.0291562220024134
2.71,-0.0293552583492699
2.715,-0.029556261453979
2.72,-0.02975926334462
2.725,-0.0299642973724114
2.73,-0.030171398263455
2.735,-0.0303806021720994
2.74,-0.0305919467359382
2.745,-0.0308054711325777
2.75,-0.0310212161381202
2.755,-0.0312392241875143
2.76,-0.0314595394367716
2.765,-0.0316822078271466
2.77,-0.0319072771513107
2.775,-0.0321347971216135
2.78,-0.0323648194404713
2.785,-0.0325973978729848
2.79,-0.0328325883218183
2.795,-0.0330704489044392
2.8,-0.0333110400327926
2.805,-0.0335544244954868
2.81,-0.0338006675425532
2.815,-0.0340498369728925
2.82,-0.0343020032244884
2.825,-0.0345572394674513
2.83,-0.0348156217000224
2.835,-0.0350772288476124
2.84,-0.0353421428649595
2.845,-0.0356104488415626
2.85,-0.0358822351104397
2.855,-0.0361575933603272
2.86,-0.0364366187514813
2.865,-0.0367194100351396
2.87,-0.0370060696767979
2.875,-0.0372967039834167
2.88,-0.0375914232346953
2.885,-0.0378903418185289
2.89,-0.0381935783708091
2.895,-0.0385012559196954
2.9,-0.0388135020345144
2.905,-0.0391304489794283
2.91,-0.0394522338720498
2.915,-0.0397789988471466
2.92,-0.0401108912256202
2.925,-0.0404480636889233
2.93,-0.0407906744590989
2.935,-0.0411388874846492
2.94,-0.0414928726323806
2.945,-0.0418528058854753
2.95,-0.0422188695479734
2.955,-0.042591252455863
2.96,-0.0429701501950436
2.965,-0.0433557653263596
2.97,-0.0437483076179306
2.975,-0.0441479942850645
2.98,-0.0445550502379595
2.985,-0.0449697083375204
2.99,-0.0453922096594672
2.995,-0.0458228037671152
3,-0.0462617489930463
