"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0214244783211396
2.005,-0.0215807572234716
2.01,-0.0217380589584271
2.015,-0.0218963853790855
2.02,-0.0220557385152603
2.025,-0.0222161205744816
2.03,-0.0223775339430207
2.035,-0.022539981186971
2.04,-0.0227034650534148
2.045,-0.0228679884716239
2.05,-0.023033554554343
2.055,-0.0232001665991461
2.06,-0.0233678280898561
2.065,-0.0235365426980365
2.07,-0.0237063142845645
2.075,-0.0238771469012901
2.08,-0.0240490447927667
2.085,-0.0242220123980668
2.09,-0.024396054352708
2.095,-0.0245711754906385
2.1,-0.0247473808463593
2.105,-0.0249246756571133
2.11,-0.0251030653652024
2.115,-0.0252825556204081
2.12,-0.0254631522825254
2.125,-0.0256448614240305
2.13,-0.0258276893328558
2.135,-0.0260116425153121
2.14,-0.0261967276991522
2.145,-0.0263829518367682
2.15,-0.0265703221085545
2.155,-0.0267588459264297
2.16,-0.0269485309375164
2.165,-0.0271393850280182
2.17,-0.027331416327281
2.175,-0.0275246332120229
2.18,-0.0277190443108217
2.185,-0.027914658508775
2.19,-0.0281114849524328
2.195,-0.0283095330549321
2.2,-0.02850881250143
2.205,-0.0287093332547817
2.21,-0.0289111055615122
2.215,-0.029114139958119
2.22,-0.0293184472776416
2.225,-0.029524038656634
2.23,-0.0297309255424654
2.235,-0.0299391197010065
2.24,-0.0301486332247354
2.245,-0.0303594785412754
2.25,-0.0305716684223644
2.255,-0.0307852159933703
2.26,-0.0310001347432612
2.265,-0.0312164385351817
2.27,-0.0314341416175753
2.275,-0.0316532586359742
2.28,-0.0318738046454191
2.285,-0.0320957951236249
2.29,-0.0323192459848829
2.295,-0.0325441735947955
2.3,-0.0327705947858559
2.305,-0.0329985268739858
2.31,-0.0332279876760417
2.315,-0.0334589955283952
2.32,-0.0336915693066506
2.325,-0.0339257284465865
2.33,-0.034161492966406
2.335,-0.0343988834903872
2.34,-0.0346379212740588
2.345,-0.0348786282309733
2.35,-0.0351210269612546
2.355,-0.035365140782007
2.36,-0.0356109937597444
2.365,-0.0358586107450171
2.37,-0.0361080174093741
2.375,-0.0363592402848702
2.38,-0.0366123068063191
2.385,-0.0368672453565068
2.39,-0.0371240853146052
2.395,-0.0373828571080765
2.4,-0.037643592268317
2.405,-0.0379063234903949
2.41,-0.0381710846972109
2.415,-0.0384379111084713
2.42,-0.0387068393148805
2.425,-0.0389779073580419
2.43,-0.0392511548165259
2.435,-0.0395266228987253
2.44,-0.0398043545430526
2.445,-0.0400843945262007
2.45,-0.0403667895802047
2.455,-0.0406515885191124
2.46,-0.0409388423762325
2.465,-0.0412286045529079
2.47,-0.0415209309800313
2.475,-0.0418158802934505
2.48,-0.0421135140247702
2.485,-0.0424138968090238
2.49,-0.0427170966109838
2.495,-0.0430231849720266
2.5,-0.0433322372797472
2.505,-0.0436443330627104
2.51,-0.0439595563130828
2.515,-0.0442779958401547
2.52,-0.0445997456582491
2.525,-0.0449249054127951
2.53,-0.0452535808489874
2.535,-0.0455858843279296
2.54,-0.0459219353957941
2.545,-0.046261861412372
2.55,-0.0466057982461338
2.555,-0.0469538910439345
2.56,-0.0473062950847012
2.565,-0.0476631767276489
2.57,-0.0480247144671841
2.575,-0.0483911001083679
2.58,-0.0487625400788954
2.585,-0.0491392568960044
2.59,-0.0495214908094162
2.595,-0.0499095016448582
2.6,-0.0503035708765372
2.605,-0.0507040039614792
2.61,-0.0511111329741574
2.615,-0.0515253195861457
2.62,-0.0519469584432834
2.625,-0.0523764810018114
2.63,-0.0528143598959263
2.635,-0.0532611139222171
2.64,-0.0537173137421741
2.645,-0.0541835884229507
2.65,-0.0546606329595995
2.655,-0.0551492169500107
2.66,-0.0556501946280049
2.665,-0.0561645165019851
2.67,-0.0566932428982444
2.675,-0.0572375597719257
2.68,-0.057798797227974
2.685,-0.0583784512935415
2.69,-0.058978209607532
2.695,-0.0595999818495421
2.7,-0.0602459359289675
2.705,-0.0609185412079132
2.71,-0.0616206203555971
2.715,-0.0623554118499496
2.72,-0.063126645684454
2.725,-0.0639386355467916
2.73,-0.064796391668036
2.735,-0.065705759776741
2.74,-0.0666735932422835
2.745,-0.0677079677142167
2.75,-0.0688184505826233
2.755,-0.070016441721769
2.76,-0.0713156077043068
2.765,-0.0727324396766135
2.77,-0.07428697639346
2.775,-0.0760037500680703
2.78,-0.0779130360581839
2.785,-0.0800525216211683
2.79,-0.0824695597334349
2.795,-0.0852242503370695
2.8,-0.0883937079345108
2.805,-0.0920780550203678
2.81,-0.0964089648340959
2.815,-0.101562030301811
2.82,-0.107774970039058
2.825,-0.115374884491345
2.83,-0.124819757333797
2.835,-0.136762651956962
2.84,-0.152152253746192
2.845,-0.172391033093456
2.85,-0.199580581193575
2.855,-0.236879940941632
2.86,-0.288930980107478
2.865,-0.36195882814201
2.87,-0.461936712639226
2.875,-0.58638176701244
2.88,-0.705768615061143
2.885,-0.757623344678818
2.89,-0.705018423808725
2.895,-0.588797575254224
2.9,-0.469284779104455
2.905,-0.373430615161721
2.91,-0.303171966423217
2.915,-0.252871825072356
2.92,-0.216711473995219
2.925,-0.190330788567521
2.93,-0.170738178174689
2.935,-0.15592566904183
2.94,-0.144541420045057
2.945,-0.135663264423137
2.95,-0.128651326127234
2.955,-0.123053497117671
2.96,-0.11854458734609
2.965,-0.114886686779414
2.97,-0.111902948811753
2.975,-0.109459963156763
2.98,-0.107455706288402
2.985,-0.105811170981903
2.99,-0.104464461575099
2.995,-0.103366567669864
3,-0.102478297593103
