"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0231392396689419
2.005,-0.0233367893662994
2.01,-0.0235358779274754
2.015,-0.0237365332757187
2.02,-0.0239387835558115
2.025,-0.024142657139873
2.03,-0.0243481826332632
2.035,-0.0245553888806313
2.04,-0.0247643049720423
2.045,-0.0249749602492478
2.05,-0.0251873843120612
2.055,-0.0254016070248793
2.06,-0.025617658523296
2.065,-0.0258355692208929
2.07,-0.0260553698161227
2.075,-0.0262770912993608
2.08,-0.0265007649600903
2.085,-0.0267264223942149
2.09,-0.0269540955115658
2.095,-0.0271838165435164
2.1,-0.0274156180507871
2.105,-0.0276495329313855
2.11,-0.0278855944287425
2.115,-0.0281238361400149
2.12,-0.0283642920245323
2.125,-0.0286069964124714
2.13,-0.0288519840136824
2.135,-0.0290992899267222
2.14,-0.0293489496480828
2.145,-0.029600999081608
2.15,-0.029855474548142
2.155,-0.0301124127953594
2.16,-0.030371851007847
2.165,-0.0306338268173787
2.17,-0.0308983783134413
2.175,-0.0311655440539843
2.18,-0.0314353630764307
2.185,-0.0317078749089118
2.19,-0.0319831195817823
2.195,-0.0322611376393741
2.2,-0.0325419701520566
2.205,-0.0328256587285387
2.21,-0.0331122455284633
2.215,-0.0334017732753289
2.22,-0.0336942852696608
2.225,-0.0339898254025313
2.23,-0.03428843816939
2.235,-0.0345901686841986
2.24,-0.0348950626939424
2.245,-0.0352031665934464
2.25,-0.0355145274405734
2.255,-0.0358291929717766
2.26,-0.0361472116180377
2.265,-0.0364686325211663
2.27,-0.0367935055505219
2.275,-0.0371218813201388
2.28,-0.0374538112062508
2.285,-0.0377893473652733
2.29,-0.0381285427522068
2.295,-0.0384714511395042
2.3,-0.0388181271364205
2.305,-0.0391686262088092
2.31,-0.0395230046994518
2.315,-0.0398813198488713
2.32,-0.0402436298166804
2.325,-0.0406099937034631
2.33,-0.0409804715732176
2.335,-0.0413551244763723
2.34,-0.0417340144733574
2.345,-0.0421172046588372
2.35,-0.0425047591864985
2.355,-0.0428967432945312
2.36,-0.0432932233317346
2.365,-0.0436942667843208
2.37,-0.0440999423033855
2.375,-0.0445103197331334
2.38,-0.0449254701398151
2.385,-0.0453454658414205
2.39,-0.0457703804381844
2.395,-0.0462002888438535
2.4,-0.046635267317825
2.405,-0.0470753934981031
2.41,-0.0475207464351572
2.415,-0.0479714066266738
2.42,-0.0484274560532483
2.425,-0.0488889782150174
2.43,-0.0493560581693127
2.435,-0.0498287825692953
2.44,-0.0503072397036734
2.445,-0.050791519537474
2.45,-0.0512817137539406
2.455,-0.0517779157975866
2.46,-0.0522802209184004
2.465,-0.0527887262173075
2.47,-0.053303530692861
2.475,-0.0538247352892372
2.48,-0.0543524429455614
2.485,-0.0548867586466138
2.49,-0.0554277894749446
2.495,-0.055975644664461
2.5,-0.0565304356555124
2.505,-0.0570922761515377
2.51,-0.0576612821773058
2.515,-0.0582375721388169
2.52,-0.0588212668849078
2.525,-0.0594124897706124
2.53,-0.0600113667223413
2.535,-0.0606180263049211
2.54,-0.0612325997905731
2.545,-0.0618552212299018
2.55,-0.0624860275248982
2.555,-0.0631251585040956
2.56,-0.0637727569999196
2.565,-0.064428968928268
2.57,-0.0650939433704535
2.575,-0.0657678326575319
2.58,-0.0664507924571434
2.585,-0.067142981862881
2.59,-0.0678445634863603
2.595,-0.0685557035519753
2.6,-0.0692765719945185
2.605,-0.0700073425596963
2.61,-0.0707481929076864
2.615,-0.0714993047197725
2.62,-0.0722608638082296
2.625,-0.0730330602295179
2.63,-0.0738160884009158
2.635,-0.0746101472207037
2.64,-0.0754154401920023
2.645,-0.0762321755504311
2.65,-0.077060566395638
2.655,-0.0779008308269258
2.66,-0.0787531920830379
2.665,-0.0796178786862639
2.67,-0.0804951245910509
2.675,-0.0813851693371996
2.68,-0.0822882582078798
2.685,-0.0832046423925625
2.69,-0.0841345791550829
2.695,-0.0850783320069937
2.7,-0.0860361708863812
2.705,-0.0870083723423413
2.71,-0.0879952197253257
2.715,-0.0889970033835231
2.72,-0.0900140208655246
2.725,-0.0910465771294636
2.73,-0.0920949847588745
2.735,-0.0931595641854828
2.74,-0.0942406439191903
2.745,-0.095338560785507
2.75,-0.0964536601706442
2.755,-0.0975862962746323
2.76,-0.0987368323726373
2.765,-0.0999056410848398
2.77,-0.101093104655162
2.775,-0.102299615239121
2.78,-0.103525575201199
2.785,-0.104771397421991
2.79,-0.106037505615535
2.795,-0.107324334657165
2.8,-0.108632330922263
2.805,-0.109961952636302
2.81,-0.111313670236565
2.815,-0.112687966746006
2.82,-0.114085338159631
2.825,-0.115506293843875
2.83,-0.116951356949455
2.835,-0.118421064838148
2.84,-0.119915969524031
2.845,-0.121436638129676
2.85,-0.122983653357851
2.855,-0.124557613979297
2.86,-0.126159135337115
2.865,-0.127788849868434
2.87,-0.129447407643908
2.875,-0.131135476925744
2.88,-0.132853744744886
2.885,-0.134602917498073
2.89,-0.136383721565477
2.895,-0.138196903949657
2.9,-0.140043232936611
2.905,-0.141923498779696
2.91,-0.143838514407255
2.915,-0.145789116154804
2.92,-0.147776164522644
2.925,-0.149800544959814
2.93,-0.151863168675319
2.935,-0.153964973477605
2.94,-0.156106924643299
2.945,-0.158290015816213
2.95,-0.160515269937723
2.955,-0.162783740209577
2.96,-0.165096511090311
2.965,-0.167454699326433
2.97,-0.169859455019526
2.975,-0.172311962730628
2.98,-0.174813442623018
2.985,-0.177365151644849
2.99,-0.179968384752887
2.995,-0.182624476178782
3,-0.185334800739288
