"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0198532229007154
2.005,-0.0199833448270972
2.01,-0.0201139801627814
2.015,-0.0202451415501185
2.02,-0.0203768417301801
2.025,-0.0205090935513556
2.03,-0.0206419099784479
2.035,-0.0207753041022652
2.04,-0.0209092891497906
2.045,-0.0210438784949553
2.05,-0.0211790856700508
2.055,-0.0213149243778618
2.06,-0.0214514085045489
2.065,-0.0215885521333467
2.07,-0.0217263695591735
2.075,-0.0218648753041576
2.08,-0.022004084134259
2.085,-0.022144011076963
2.09,-0.0222846714402342
2.095,-0.0224260808327701
2.1,-0.022568255185712
2.105,-0.0227112107759117
2.11,-0.0228549642508852
2.115,-0.0229995326556462
2.12,-0.0231449334615343
2.125,-0.0232911845972521
2.13,-0.0234383044823019
2.135,-0.0235863120630517
2.14,-0.0237352268516497
2.145,-0.0238850689681233
2.15,-0.0240358591858541
2.155,-0.0241876189809048
2.16,-0.0243403705854211
2.165,-0.0244941370456466
2.17,-0.0246489422848992
2.175,-0.0248048111721294
2.18,-0.0249617695965178
2.185,-0.0251198445488361
2.19,-0.0252790642102397
2.195,-0.0254394580492769
2.2,-0.0256010569280457
2.205,-0.0257638932184843
2.21,-0.0259280009298969
2.215,-0.0260934158490238
2.22,-0.0262601756940851
2.225,-0.0264283202843824
2.23,-0.0265978917273534
2.235,-0.0267689346250885
2.24,-0.0269414963027671
2.245,-0.0271156270615996
2.25,-0.0272913804594406
2.255,-0.0274688136225058
2.26,-0.0276479875922683
2.265,-0.0278289677120835
2.27,-0.0280118240588823
2.275,-0.0281966319259952
2.28,-0.0283834723641704
2.285,-0.02857243278891
2.29,-0.0287636076635972
2.295,-0.0289570992693661
2.3,-0.0291530185745485
2.305,-0.029351486218633
2.31,-0.0295526336283171
2.315,-0.0297566042861851
2.32,-0.029963555176392
2.325,-0.0301736584359619
2.33,-0.0303871032458532
2.335,-0.030604098002163
2.34,-0.0308248728159518
2.345,-0.0310496823994779
2.35,-0.0312788094085006
2.355,-0.0315125683246784
2.36,-0.0317513099797625
2.365,-0.0319954268454483
2.37,-0.0322453592401033
2.375,-0.0325016026379306
2.38,-0.0327647163094858
2.385,-0.0330353335769644
2.39,-0.0333141740374377
2.395,-0.0336020581960205
2.4,-0.0338999250656539
2.405,-0.0342088534385437
2.41,-0.0345300877278986
2.415,-0.0348650695328783
2.42,-0.0352154764161931
2.425,-0.0355832698327649
2.43,-0.0359707547516432
2.435,-0.0363806543328032
2.44,-0.0368162041428924
2.445,-0.0372812719468213
2.45,-0.037780511282983
2.455,-0.0383195600995468
2.46,-0.0389053001214931
2.465,-0.0395461989840897
2.47,-0.0402527665222967
