"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0280463043973696
2.005,-0.0283645912568204
2.01,-0.0286861692057788
2.015,-0.0290110757760533
2.02,-0.0293393492689695
2.025,-0.0296710287692878
2.03,-0.0300061541595129
2.035,-0.0303447661345265
2.04,-0.0306869062165992
2.045,-0.0310326167707677
2.05,-0.031381941020615
2.055,-0.0317349230644189
2.06,-0.0320916078917329
2.065,-0.032452041400364
2.07,-0.0328162704137763
2.075,-0.0331843426989544
2.08,-0.033556306984686
2.085,-0.0339322129803317
2.09,-0.0343121113950547
2.095,-0.0346960539575406
2.1,-0.0350840934362316
2.105,-0.0354762836600422
2.11,-0.0358726795396421
2.115,-0.0362733370892671
2.12,-0.0366783134490604
2.125,-0.0370876669080486
2.13,-0.0375014569276412
2.135,-0.0379197441657934
2.14,-0.0383425905017499
2.145,-0.0387700590614617
2.15,-0.0392022142436486
2.155,-0.0396391217465242
2.16,-0.0400808485952707
2.165,-0.0405274631701771
2.17,-0.0409790352355457
2.175,-0.0414356359693585
2.18,-0.0418973379937286
2.185,-0.0423642154061456
2.19,-0.04283634381157
2.195,-0.0433138003553785
2.2,-0.043796663757179
2.205,-0.0442850143455464
2.21,-0.0447789340936994
2.215,-0.0452785066561262
2.22,-0.0457838174062037
2.225,-0.0462949534748641
2.23,-0.0468120037902812
2.235,-0.0473350591186738
2.24,-0.0478642121062163
2.245,-0.0483995573221021
2.25,-0.0489411913028131
2.255,-0.0494892125976107
2.26,-0.0500437218152823
2.265,-0.0506048216722237
2.27,-0.0511726170418499
2.275,-0.0517472150053977
2.28,-0.0523287249041793
2.285,-0.0529172583933166
2.29,-0.0535129294969841
2.295,-0.0541158546652758
2.3,-0.0547261528326534
2.305,-0.0553439454781244
2.31,-0.055969356687132
2.315,-0.0566025132152544
2.32,-0.0572435445537619
2.325,-0.0578925829970803
2.33,-0.0585497637122642
2.335,-0.0592152248104933
2.34,-0.0598891074206915
2.345,-0.0605715557653533
2.35,-0.0612627172386034
2.355,-0.0619627424866368
2.36,-0.0626717854905419
2.365,-0.0633900036516328
2.37,-0.0641175578794146
2.375,-0.0648546126821699
2.38,-0.0656013362603432
2.385,-0.0663579006028144
2.39,-0.0671244815861034
2.395,-0.0679012590766723
2.4,-0.0686884170364239
2.405,-0.0694861436314619
2.41,-0.070294631344286
2.415,-0.0711140770895275
2.42,-0.0719446823333288
2.425,-0.0727866532165359
2.43,-0.0736402006818145
2.435,-0.0745055406048382
2.44,-0.0753828939297141
2.445,-0.0762724868087684
2.45,-0.0771745507469044
2.455,-0.0780893227506297
2.46,-0.0790170454820003
2.465,-0.0799579674176207
2.47,-0.0809123430128929
2.475,-0.0818804328717408
2.48,-0.0828625039219734
2.485,-0.0838588295965415
2.49,-0.0848696900208859
2.495,-0.0858953722066318
2.5,-0.0869361702518475
2.505,-0.0879923855481616
2.51,-0.0890643269949476
2.515,-0.0901523112209124
2.52,-0.0912566628133422
2.525,-0.0923777145553117
2.53,-0.0935158076711847
2.535,-0.0946712920807309
2.54,-0.0958445266621803
2.545,-0.0970358795246182
2.55,-0.0982457282900709
2.555,-0.0994744603856452
2.56,-0.100722473346202
2.565,-0.101990175127928
2.57,-0.103277984433302
2.575,-0.10458633104786
2.58,-0.105915656189352
2.585,-0.107266412869694
2.59,-0.108639066270318
2.595,-0.110034094131488
2.6,-0.111451987156107
2.605,-0.112893249428715
2.61,-0.114358398850269
2.615,-0.115847967589376
2.62,-0.117362502550744
2.625,-0.118902565861523
2.63,-0.120468735376371
2.635,-0.122061605202035
2.64,-0.123681786242305
2.645,-0.125329906764243
2.65,-0.12700661298663
2.655,-0.128712569691624
2.66,-0.130448460860655
2.665,-0.132214990335659
2.67,-0.134012882506791
2.675,-0.135842883027818
2.68,-0.137705759560459
2.685,-0.139602302549003
2.69,-0.141533326026575
2.695,-0.143499668454573
2.7,-0.145502193596736
2.705,-0.147541791429561
2.71,-0.14961937909069
2.715,-0.151735901867133
2.72,-0.153892334225155
2.725,-0.156089680883893
2.73,-0.158328977934715
2.735,-0.160611294008614
2.74,-0.162937731493898
2.745,-0.165309427806677
2.75,-0.167727556716703
2.755,-0.170193329731322
2.76,-0.172707997540373
2.765,-0.175272851525121
2.77,-0.177889225334393
2.775,-0.180558496531308
2.78,-0.183282088314169
2.785,-0.186061471315335
2.79,-0.188898165481966
2.795,-0.191793742042961
2.8,-0.194749825566455
2.805,-0.19776809611265
2.81,-0.200850291486905
2.815,-0.203998209598413
2.82,-0.207213710929984
2.825,-0.210498721124891
2.83,-0.213855233697
2.835,-0.217285312870794
2.84,-0.220791096558377
2.845,-0.224374799480804
2.85,-0.228038716441692
2.855,-0.231785225761452
2.86,-0.235616792880993
2.865,-0.239535974144362
2.87,-0.24354542077026
2.875,-0.247647883023081
2.88,-0.251846214594737
2.885,-0.256143377209233
2.89,-0.260542445462736
2.895,-0.26504661191266
2.9,-0.269659192430155
2.905,-0.274383631831338
2.91,-0.279223509803501
2.915,-0.284182547143718
2.92,-0.289264612328241
2.925,-0.294473728432435
2.93,-0.299814080422149
2.935,-0.30529002283893
2.94,-0.310906087902859
2.945,-0.316666994058462
2.95,-0.322577654990813
2.955,-0.328643189140739
2.96,-0.33486892975009
2.965,-0.341260435470042
2.97,-0.347823501567725
2.975,-0.354564171768871
2.98,-0.361488750776783
2.985,-0.368603817510731
2.99,-0.375916239109891
2.995,-0.383433185752213
3,-0.391162146341009
