"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.013753364483644
2.005,-0.0137895817603268
2.01,-0.0138260886567742
2.015,-0.0138628875226569
2.02,-0.0138999807161148
2.025,-0.0139373706037687
2.03,-0.013975059560755
2.035,-0.0140130499707615
2.04,-0.0140513442260353
2.045,-0.0140899447274271
2.05,-0.0141288538844125
2.055,-0.0141680741151069
2.06,-0.0142076078463249
2.065,-0.0142474575135734
2.07,-0.0142876255611041
2.075,-0.0143281144419324
2.08,-0.0143689266178764
2.085,-0.0144100645595649
2.09,-0.0144515307464918
2.095,-0.0144933276670355
2.1,-0.014535457818487
2.105,-0.0145779237070823
2.11,-0.0146207278480349
2.115,-0.0146638727655679
2.12,-0.0147073609929398
2.125,-0.0147511950724832
2.13,-0.0147953775556276
2.135,-0.0148399110029456
2.14,-0.014884797984171
2.145,-0.0149300410782336
2.15,-0.0149756428733099
2.155,-0.015021605966827
2.16,-0.015067932965517
2.165,-0.0151146264854448
2.17,-0.0151616891520421
2.175,-0.015209123600139
2.18,-0.0152569324740027
2.185,-0.0153051184273701
2.19,-0.0153536841234769
2.195,-0.015402632235106
2.2,-0.0154519654446082
2.205,-0.0155016864439446
2.21,-0.0155517979347291
2.215,-0.0156023026282476
2.22,-0.0156532032455089
2.225,-0.015704502517271
2.23,-0.01575620318409
2.235,-0.0158083079963422
2.24,-0.015860819714271
2.245,-0.015913741108018
2.25,-0.0159670749576717
2.255,-0.0160208240532879
2.26,-0.0160749911949417
2.265,-0.0161295791927592
2.27,-0.0161845908669577
2.275,-0.0162400290478841
2.28,-0.0162958965760486
2.285,-0.0163521963021767
2.29,-0.0164089310872307
2.295,-0.0164661038024626
2.3,-0.0165237173294518
2.305,-0.0165817745601344
2.31,-0.0166402783968598
2.315,-0.0166992317524121
2.32,-0.0167586375500678
2.325,-0.016818498723622
2.33,-0.0168788182174432
2.335,-0.0169395989865005
2.34,-0.017000843996412
2.345,-0.017062556223488
2.35,-0.0171247386547651
2.355,-0.0171873942880526
2.36,-0.0172505261319798
2.365,-0.0173141372060271
2.37,-0.0173782305405715
2.375,-0.0174428091769381
2.38,-0.0175078761674262
2.385,-0.0175734345753703
2.39,-0.0176394874751656
2.395,-0.0177060379523309
2.4,-0.017773089103532
2.405,-0.0178406440366375
2.41,-0.0179087058707578
2.415,-0.0179772777362948
2.42,-0.0180463627749741
2.425,-0.0181159641399091
2.43,-0.0181860849956219
2.435,-0.0182567285181058
2.44,-0.0183278978948666
2.445,-0.0183995963249534
2.45,-0.0184718270190293
