"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0203719746027971
2.005,-0.0204904560520063
2.01,-0.0206095928480979
2.015,-0.0207293847458023
2.02,-0.0208498316272679
2.025,-0.0209709335012145
2.03,-0.0210926905021033
2.035,-0.0212151028893209
2.04,-0.0213381710463614
2.045,-0.02146189548003
2.05,-0.0215862768196656
2.055,-0.0217113158163492
2.06,-0.0218370133421486
2.065,-0.0219633703893658
2.07,-0.0220903880697829
2.075,-0.0222180676139397
2.08,-0.0223464103704132
2.085,-0.0224754178050966
2.09,-0.0226050915005099
2.095,-0.0227354331551127
2.1,-0.0228664445826071
2.105,-0.0229981277113007
2.11,-0.0231304845834196
2.115,-0.0232635173544867
2.12,-0.0233972282926708
2.125,-0.0235316197781671
2.13,-0.023666694302586
2.135,-0.0238024544683402
2.14,-0.0239389029880634
2.145,-0.0240760426840213
2.15,-0.0242138764875311
2.155,-0.024352407438412
2.16,-0.0244916386844287
2.165,-0.0246315734807439
2.17,-0.0247722151893982
2.175,-0.0249135672787674
2.18,-0.0250556333230787
2.185,-0.0251984170018827
2.19,-0.0253419220995775
2.195,-0.0254861525049233
2.2,-0.025631112210558
2.205,-0.0257768053125595
2.21,-0.0259232360099685
2.215,-0.0260704086043513
2.22,-0.0262183274993776
2.225,-0.0263669972003826
2.23,-0.0265164223139598
2.235,-0.0266666075475471
2.24,-0.0268175577090429
2.245,-0.0269692777064081
2.25,-0.0271217725472919
2.255,-0.0272750473386675
2.26,-0.0274291072864668
2.265,-0.0275839576952302
2.27,-0.0277396039677676
2.275,-0.0278960516048285
2.28,-0.0280533062047701
2.285,-0.0282113734632524
2.29,-0.0283702591729154
2.295,-0.028529969223105
2.3,-0.0286905095995642
2.305,-0.0288518863841623
2.31,-0.0290141057546154
2.315,-0.0291771739842389
2.32,-0.0293410974416696
2.325,-0.0295058825906348
2.33,-0.0296715359897151
2.335,-0.0298380642920977
2.34,-0.0300054742453707
2.345,-0.0301737726913041
2.35,-0.0303429665656402
2.355,-0.0305130628978991
2.36,-0.0306840688111834
2.365,-0.030855991522002
2.37,-0.0310288383400917
2.375,-0.031202616668249
2.38,-0.0313773340021736
2.385,-0.0315529979303231
2.39,-0.0317296161337486
2.395,-0.0319071963859821
2.4,-0.032085746552889
2.405,-0.0322652745925574
2.41,-0.0324457885551769
2.415,-0.0326272965829383
2.42,-0.0328098069099218
2.425,-0.0329933278620236
2.43,-0.0331778678568477
2.435,-0.0333634354036411
2.44,-0.0335500391032204
2.445,-0.0337376876479066
2.45,-0.0339263898214621
2.455,-0.0341161544990491
2.46,-0.0343069906471726
2.465,-0.0344989073236591
2.47,-0.0346919136776105
2.475,-0.0348860189493931
2.48,-0.0350812324706096
2.485,-0.0352775636640871
2.49,-0.0354750220438899
2.495,-0.0356736172152906
2.5,-0.0358733588748189
2.505,-0.0360742568102346
2.51,-0.0362763209005796
2.515,-0.0364795611161866
2.52,-0.0366839875187208
2.525,-0.0368896102612107
2.53,-0.0370964395881136
2.535,-0.0373044858353422
2.54,-0.0375137594303354
2.545,-0.0377242708921147
2.55,-0.0379360308313694
2.555,-0.0381490499505083
2.56,-0.0383633390437552
2.565,-0.038578908997239
2.57,-0.0387957707890689
2.575,-0.039013935489451
2.58,-0.0392334142607751
2.585,-0.0394542183577397
2.59,-0.0396763591274568
2.595,-0.0398998480095653
2.6,-0.0401246965363822
2.605,-0.0403509163329977
2.61,-0.0405785191174392
2.615,-0.0408075167007989
2.62,-0.0410379209873895
2.625,-0.0412697439748839
2.63,-0.0415029977544848
2.635,-0.0417376945110721
2.64,-0.0419738465233846
2.645,-0.0422114661641874
2.65,-0.0424505659004436
2.655,-0.0426911582935015
2.66,-0.0429332559992739
2.665,-0.0431768717684439
2.67,-0.0434220184466486
2.675,-0.0436687089746834
2.68,-0.0439169563887115
2.685,-0.0441667738204664
2.69,-0.0444181744974797
2.695,-0.0446711717432846
2.7,-0.0449257789776564
2.705,-0.0451820097168285
2.71,-0.0454398775737351
2.715,-0.0456993962582368
2.72,-0.0459605795773767
2.725,-0.0462234414356182
2.73,-0.0464879958350904
2.735,-0.0467542568758646
2.74,-0.0470222387561795
2.745,-0.0472919557727354
2.75,-0.0475634223209429
2.755,-0.0478366528952046
2.76,-0.0481116620891813
2.765,-0.0483884645960818
2.77,-0.0486670752089291
2.775,-0.0489475088208684
2.78,-0.0492297804254488
2.785,-0.0495139051169096
2.79,-0.0497998980904906
2.795,-0.0500877746427316
2.8,-0.0503775501717767
2.805,-0.0506692401776822
2.81,-0.0509628602627338
2.815,-0.0512584261317619
2.82,-0.0515559535924652
2.825,-0.051855458555725
2.83,-0.0521569570359397
2.835,-0.0524604651513572
2.84,-0.0527659991244059
2.845,-0.0530735752820282
2.85,-0.0533832100560312
2.855,-0.0536949199834204
2.86,-0.0540087217067511
2.865,-0.054324631974476
2.87,-0.0546426676413094
2.875,-0.0549628456685641
2.88,-0.055285183124526
2.885,-0.0556096971848114
2.89,-0.0559364051327358
2.895,-0.0562653243596732
2.9,-0.0565964723654375
2.905,-0.0569298667586485
2.91,-0.0572655252571099
2.915,-0.0576034656881941
2.92,-0.0579437059892159
2.925,-0.0582862642078235
2.93,-0.0586311585023775
2.935,-0.0589784071423514
2.94,-0.0593280285087152
2.945,-0.0596800410943333
2.95,-0.0600344635043557
2.955,-0.0603913144566307
2.96,-0.0607506127820842
2.965,-0.0611123774251525
2.97,-0.0614766274441535
2.975,-0.0618433820117291
2.98,-0.0622126604152308
2.985,-0.0625844820571389
2.99,-0.0629588664554835
2.995,-0.0633358332442475
3,-0.0637154021737958
